Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
CreateSpace,8/1/15,8/31/15,1,5.89,EUR,United States,,,9781620156476,,1620156474,,,15.95,,, 5.89 ,A Soldier's Wish,,,
CreateSpace,8/1/15,8/31/15,1,5.89,USD,United States,,,9781620156476,,1620156474,,,15.95,,, 5.89 ,A Soldier's Wish,,,
CreateSpace,8/1/15,8/31/15,1,5.89,USD,United States,,,9781620156476,,1620156474,,,15.95,,, 5.89 ,A Soldier's Wish,,,
CreateSpace,8/1/15,8/31/15,1,5.22,USD,United States,,,9781935961819,,1935961810,,,17.95,,, 5.22 ,The Water Sign,,,
CreateSpace,8/1/15,8/31/15,1,5.89,USD,United States,,,9781620156476,,1620156474,,,15.95,,, 5.89 ,A Soldier's Wish,,,
CreateSpace,8/1/15,8/31/15,1,6.11,USD,United States,,,9781513700793,,1513700790,,,16.95,,, 6.11 ,The Dark Side of the Rainbow,,,
CreateSpace,8/1/15,8/31/15,1,6.54,USD,United States,,,9781620154601,,1620154609,,,16.95,,, 6.54 ,Blue Midnight,,,
CreateSpace,8/1/15,8/31/15,1,5.24,USD,United States,,,9781620154014,,1620154013,,,12.95,,, 5.24 ,Along the Wheel of Time: Sacred Stories for Nature Lovers,,,
CreateSpace,8/1/15,8/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,, 8.48 ,Invisible Ink,,,
CreateSpace,8/1/15,8/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,, 8.48 ,Invisible Ink,,,
CreateSpace,8/1/15,8/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,, 4.74 ,Kindness Wins,,,
CreateSpace,8/1/15,8/31/15,1,5.65,USD,United States,,,9781935961260,,1935961268,,,14.95,,, 5.65 ,The Essential Stay-at-Home Mom Manual,,,
CreateSpace,8/1/15,8/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,, 8.48 ,Invisible Ink,,,
CreateSpace,8/1/15,8/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,, 6.49 ,The Art of Selling Real Estate,,,
CreateSpace,8/1/15,8/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,, 4.74 ,Kindness Wins,,,
CreateSpace,8/1/15,8/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,, 8.48 ,Invisible Ink,,,
CreateSpace,8/1/15,8/31/15,1,2.78,GBP,United Kingdom,,,9781620158883,,1620158884,,,8.01,,, 4.28 ,Kindness Wins,,,
CreateSpace,8/1/15,8/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,, 4.74 ,Kindness Wins,,,
CreateSpace,8/1/15,8/31/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,, 6.56 ,Stigma Fighters Anthology,,,
