Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Sale Date
CreateSpace,7/1/15,7/31/15,1,6.16,USD,United States,,,9781620153451,,1620153459,,,15.95,,,6.16,Willful Avoidance,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.16,USD,United States,,,9781620153451,,1620153459,,,15.95,,,6.16,Willful Avoidance,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.16,USD,United States,,,9781620153451,,1620153459,,,15.95,,,6.16,Willful Avoidance,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.48,USD,United States,,,9780984178674,,984178678,,,12.95,,,5.48,The Golden Theme,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.32,USD,United States,,,9781620155899,,1620155893,,,13.95,,,5.32,Ride of Your Life,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.66,USD,United States,,,9781620156919,,1620156911,,,18.95,,,6.66,This Thing We Call Sex: A Radically Sensible Look at Sex in America,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.12,USD,United States,,,9781620151761,,1620151766,,,13.95,,,5.12,Of Stardust,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.16,USD,United States,,,9781620153451,,1620153459,,,15.95,,,6.16,Willful Avoidance,,7/1/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.17,USD,United States,,,9781620155844,,1620155842,,,14.95,,,5.17,Bloodletting,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/1/15
CreateSpace,7/1/15,7/31/15,1,3.35,USD,United States,,,9781935961758,,1935961756,,,9.95,,,3.35,Ink Spots,,7/1/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/1/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/1/15
CreateSpace,7/1/15,7/31/15,1,3.35,USD,United States,,,9781935961758,,1935961756,,,9.95,,,3.35,Ink Spots,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.48,USD,United States,,,9780984178674,,984178678,,,12.95,,,5.48,The Golden Theme,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,7/1/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781513700205,,1513700200,,,11.95,,,4.43,The Devil Within,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620159637,,1620159635,,,18.95,,,6.3,The Anonymous Source,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620153598,,1620153599,,,16.95,,,6.3,Autumn Getaway,,7/1/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781513700205,,1513700200,,,11.95,,,4.43,The Devil Within,,7/1/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.68,USD,United States,,,9781935961291,,1935961292,,,15.95,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,7/1/15
CreateSpace,7/1/15,7/31/15,1,4.98,USD,United States,,,9781620157602,,1620157608,,,13.95,,,4.98,Fall of Knight,,7/1/15
CreateSpace,7/1/15,7/31/15,1,4.48,USD,United States,,,9781513700397,,1513700391,,,11.95,,,4.48,Falling,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620159637,,1620159635,,,18.95,,,6.3,The Anonymous Source,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620159637,,1620159635,,,18.95,,,6.3,The Anonymous Source,,7/1/15
CreateSpace,7/1/15,7/31/15,1,10.55,USD,United States,,,9781935961918,,1935961918,,,22.95,,,10.55,The Art of Grant Writing,,7/1/15
CreateSpace,7/1/15,7/31/15,1,5.1,USD,United States,,,9781620157992,,1620157993,,,13.99,,,5.1,Inhuman Interest,,7/1/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620159637,,1620159635,,,18.95,,,6.3,The Anonymous Source,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.56,USD,United States,,,9781620154854,,1620154854,,,15.95,,,5.56,My Fair Lily,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.01,USD,United States,,,9781620155110,,1620155117,,,15.95,,,6.01,Spring Shadows,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.3,USD,United States,,,9781620159637,,1620159635,,,18.95,,,6.3,The Anonymous Source,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.81,USD,United States,,,9781620158852,,162015885X,,,12.95,,,4.81,A Stunning Accusation,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.81,USD,United States,,,9781620158852,,162015885X,,,12.95,,,4.81,A Stunning Accusation,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.81,USD,United States,,,9781620158852,,162015885X,,,12.95,,,4.81,A Stunning Accusation,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.48,USD,United States,,,9780984178674,,984178678,,,12.95,,,5.48,The Golden Theme,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.24,USD,United States,,,9781620154649,,1620154641,,,13.95,,,5.24,Dangled Carat,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.65,USD,United States,,,9781620159415,,1620159414,,,16.95,,,5.65,Rules for Reforming a Rake,,7/2/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/2/15
CreateSpace,7/1/15,7/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.24,USD,United States,,,9781620154649,,1620154641,,,13.95,,,5.24,Dangled Carat,,7/2/15
CreateSpace,7/1/15,7/31/15,1,5.24,USD,United States,,,9781620154649,,1620154641,,,13.95,,,5.24,Dangled Carat,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.18,USD,United States,,,9781620156728,,1620156725,,,16.95,,,6.18,Summer Champagne,,7/2/15
CreateSpace,7/1/15,7/31/15,1,3.82,USD,United States,,,9781620158494,,1620158493,,,9.95,,,3.82,Tea and Madness,,7/2/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/2/15
CreateSpace,7/1/15,7/31/15,1,3.88,USD,United States,,,9781935961574,,1935961578,,,16.95,,,3.88,Touched (The Marnie Baranuik Files),,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,7/2/15
CreateSpace,7/1/15,7/31/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.23,USD,United States,,,9781620157985,,1620157985,,,17.95,,,6.23,Guessing at Normal,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/2/15
CreateSpace,7/1/15,7/31/15,1,6.16,USD,United States,,,9781620155332,,1620155338,,,16.95,,,6.16,Tag,,7/3/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.03,USD,United States,,,9781620151730,,1620151731,,,14.95,,,5.03,The Dark Light of Day,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,10.55,USD,United States,,,9781935961918,,1935961918,,,22.95,,,10.55,The Art of Grant Writing,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.18,USD,United States,,,9781620156728,,1620156725,,,16.95,,,6.18,Summer Champagne,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.01,USD,United States,,,9781620155110,,1620155117,,,15.95,,,6.01,Spring Shadows,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.44,USD,United States,,,9781513700885,,151370088X,,,17.95,,,6.44,Women in Red: A Novel,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.58,USD,United States,,,9781620154403,,1620154404,,,14.95,,,5.58,Winter Hopes,,7/3/15
CreateSpace,7/1/15,7/31/15,1,6.04,USD,United States,,,9781620151181,,1620151189,,,17.95,,,6.04,A Tainted Mind,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.08,USD,United States,,,9781935961338,,1935961330,,,14.95,,,5.08,Bumbling Into Body Hair: A Transsexual's Memoir,,7/3/15
CreateSpace,7/1/15,7/31/15,1,4.43,USD,United States,,,9781513700205,,1513700200,,,11.95,,,4.43,The Devil Within,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.82,USD,United States,,,9781620151891,,1620151898,,,15.95,,,5.82,Revontuli,,7/3/15
CreateSpace,7/1/15,7/31/15,1,10.55,USD,United States,,,9781935961918,,1935961918,,,22.95,,,10.55,The Art of Grant Writing,,7/3/15
CreateSpace,7/1/15,7/31/15,1,5.05,USD,United States,,,9781620157718,,1620157713,,,13.95,,,5.05,Underwater Secrets,,7/3/15
CreateSpace,7/1/15,7/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,7/3/15
