Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Sale Date
CreateSpace,6/1/15,6/30/15,1,4.72,USD,United States,,,9781620157244,,1620157241,,,11.95,,,4.72,By the River,,6/1/15
CreateSpace,6/1/15,6/30/15,1,2.72,USD,United States,,,9781620155486,,1620155486,,,26.95,,,2.72,Blue Moon Vegan,,6/1/15
CreateSpace,6/1/15,6/30/15,1,4.86,USD,United States,,,9781620159460,,1620159465,,,12.95,,,4.86,Fearless in Euroclydon,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.42,USD,United States,,,9781620153987,,162015398X,,,18.95,,,6.42,Dating Bradford - A Memoir,,6/1/15
CreateSpace,6/1/15,6/30/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.08,USD,United States,,,9781620154007,,1620154005,,,16.95,,,6.08,A Decent Woman,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.75,USD,United States,,,9781620155066,,1620155060,,,15.95,,,5.75,Believing in Bigfoot,,6/1/15
CreateSpace,6/1/15,6/30/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,6/1/15
CreateSpace,6/1/15,6/30/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,6/1/15
CreateSpace,6/1/15,6/30/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.84,USD,United States,,,9781620156261,,1620156261,,,15.95,,,5.84,Rules for the Perpetual Diet,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.48,USD,United States,,,9780984178674,,984178678,,,12.95,,,5.48,The Golden Theme,,6/1/15
CreateSpace,6/1/15,6/30/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.7,USD,United States,,,9781620159453,,1620159457,,,15.95,,,5.7,The Broken Half,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.68,USD,United States,,,9781935961291,,1935961292,,,15.95,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.29,USD,United States,,,9781935961642,,1935961640,,,15.95,,,5.29,Scars From a Memoir,,6/1/15
CreateSpace,6/1/15,6/30/15,1,4.72,USD,United States,,,9781620157244,,1620157241,,,11.95,,,4.72,By the River,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.8,USD,United States,,,9781620158418,,1620158418,,,15.95,,,5.8,The Reaper's Daughter,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.56,USD,United States,,,9781620158111,,1620158116,,,16.95,,,6.56,Stigma Fighters Anthology,,6/1/15
CreateSpace,6/1/15,6/30/15,1,4.76,USD,United States,,,9781620158746,,1620158744,,,13.95,,,4.76,Shades of Blue,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.65,USD,United States,,,9781935961260,,1935961268,,,14.95,,,5.65,The Essential Stay-at-Home Mom Manual,,6/1/15
CreateSpace,6/1/15,6/30/15,1,6.18,USD,United States,,,9781620156728,,1620156725,,,16.95,,,6.18,Summer Champagne,,6/1/15
CreateSpace,6/1/15,6/30/15,1,5.58,USD,United States,,,9781620154403,,1620154404,,,14.95,,,5.58,Winter Hopes,,6/1/15
