Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,7/1/15,7/31/15,85,113.51,USD,United States,,,,,B00OA9GDDA,,KINDLE,,,,113.51,Tess Thompson,Tea and Primroses
Encore,7/1/15,7/31/15,11,14.69,USD,United States,,,,,B00OA9GDDA,,KOLL,,,,14.69,Tess Thompson,Tea and Primroses
Encore,7/1/15,7/31/15,162,216.34,USD,United States,,,,,B00OA9GDDA,,KU,,,,216.34,Tess Thompson,Tea and Primroses
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDA,,KU,,,,1.5915366,Tess Thompson,Tea and Primroses
Encore,7/1/15,7/31/15,9,12.57,USD,United States,,,,,B00OA9GDCQ,,KU,,,,12.57,D.E.L. Connor,The Concealing
Encore,7/1/15,7/31/15,1,1.4,USD,United States,,,,,B00OA9GDCQ,,KOLL,,,,1.4,D.E.L. Connor,The Concealing
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00OA9GDCQ,,KINDLE,,,,2.79,D.E.L. Connor,The Concealing
Encore,7/1/15,7/31/15,70,95.74,USD,United States,,,,,B00OA9GDGW,,KU,,,,95.74,Marni Mann,Pulled Beneath
Encore,7/1/15,7/31/15,7,9.58,USD,United States,,,,,B00OA9GDGW,,KOLL,,,,9.58,Marni Mann,Pulled Beneath
Encore,7/1/15,7/31/15,19,25.99,USD,United States,,,,,B00OA9GDGW,,KINDLE,,,,25.99,Marni Mann,Pulled Beneath
Encore,7/1/15,7/31/15,1,1.39,USD,Canada,,,,,B00OA9GDGW,,KINDLE,,,,1.39,Marni Mann,Pulled Beneath
Encore,7/1/15,7/31/15,1,1.19,EUR,Italy,,,,,B00OA9GDGW,,KU,,,,1.3033356,Marni Mann,Pulled Beneath
Encore,7/1/15,7/31/15,66,71.67,USD,United States,,,,,B00OA9GDCG,,KINDLE,,,,71.67,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,47,51.04,USD,United States,,,,,B00OA9GDCG,,KU,,,,51.04,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,6,6.52,USD,United States,,,,,B00OA9GDCG,,KOLL,,,,6.52,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,1,1.34,USD,Canada,,,,,B00OA9GDCG,,KU,,,,1.34,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,1,1.35,USD,Australia,,,,,B00OA9GDCG,,KINDLE,,,,1.35,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,11,11.18,GBP,United Kingdom,,,,,B00OA9GDCG,,KINDLE,,,,17.4444894,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,7,7.12,GBP,United Kingdom,,,,,B00OA9GDCG,,KU,,,,11.1095496,Meredith Schorr,A State of Jane
Encore,7/1/15,7/31/15,128,174.93,USD,United States,,,,,B00OA9GDD0,,KU,,,,174.93,Laura Kilmartin,Next Year I'll be Perfect
Encore,7/1/15,7/31/15,8,10.93,USD,United States,,,,,B00OA9GDD0,,KOLL,,,,10.93,Laura Kilmartin,Next Year I'll be Perfect
Encore,7/1/15,7/31/15,40,54.67,USD,United States,,,,,B00OA9GDD0,,KINDLE,,,,54.67,Laura Kilmartin,Next Year I'll be Perfect
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDD0,,KOLL,,,,1.5915366,Laura Kilmartin,Next Year I'll be Perfect
Encore,7/1/15,7/31/15,3,4.07,USD,United States,,,,,B00OA9GDFI,,KOLL,,,,4.07,Meredith Schorr,Blogger Girl
Encore,7/1/15,7/31/15,32,43.45,USD,United States,,,,,B00OA9GDFI,,KU,,,,43.45,Meredith Schorr,Blogger Girl
Encore,7/1/15,7/31/15,39,52.95,USD,United States,,,,,B00OA9GDFI,,KINDLE,,,,52.95,Meredith Schorr,Blogger Girl
Encore,7/1/15,7/31/15,4,4.07,GBP,United Kingdom,,,,,B00OA9GDFI,,KOLL,,,,6.3505431,Meredith Schorr,Blogger Girl
Encore,7/1/15,7/31/15,5,5.09,GBP,United Kingdom,,,,,B00OA9GDFI,,KU,,,,7.9420797,Meredith Schorr,Blogger Girl
Encore,7/1/15,7/31/15,7,7.13,GBP,United Kingdom,,,,,B00OA9GDFI,,KINDLE,,,,11.1251529,Meredith Schorr,Blogger Girl
Encore,7/1/15,7/31/15,198,274.22,USD,United States,,,,,B00OA9GDEY,,KINDLE,,,,274.22,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,169,234.06,USD,United States,,,,,B00OA9GDEY,,KU,,,,234.06,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,47,65.09,USD,United States,,,,,B00OA9GDEY,,KOLL,,,,65.09,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,1,1.37,USD,Canada,,,,,B00OA9GDEY,,KU,,,,1.37,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,3,4.11,USD,Canada,,,,,B00OA9GDEY,,KINDLE,,,,4.11,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,1,1.3,USD,Brazil,,,,,B00OA9GDEY,,KINDLE,,,,1.3,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,3,3.9,USD,Australia,,,,,B00OA9GDEY,,KINDLE,,,,3.9,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDEY,,KU,,,,3.1830732,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEY,,KINDLE,,,,1.5915366,Will North,"Water, Stone, Heart"
Encore,7/1/15,7/31/15,125,172.86,USD,United States,,,,,B00OA9GDDK,,KOLL,,,,172.86,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,363,501.99,USD,United States,,,,,B00OA9GDDK,,KINDLE,,,,501.99,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,334,461.89,USD,United States,,,,,B00OA9GDDK,,KU,,,,461.89,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,6,7.94,USD,Canada,,,,,B00OA9GDDK,,KINDLE,,,,7.94,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,4,5.25,USD,Australia,,,,,B00OA9GDDK,,KINDLE,,,,5.25,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDDK,,KINDLE,,,,3.1830732,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KU,,,,1.5915366,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KOLL,,,,1.5915366,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,1,1,USD,United States,,,,,B004WDRYVE,,KU,,,,1,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,18,15.17,EUR,Germany,,,,,B004WDRYVE,,KOLL,,,,16.6147908,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,74,62.37,EUR,Germany,,,,,B004WDRYVE,,KU,,,,68.3101188,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,45,37.93,EUR,Germany,,,,,B004WDRYVE,,KINDLE,,,,41.5424532,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,1,0.89,EUR,France,,,,,B004WDRYVE,,KOLL,,,,0.9747636,Tess Thompson,Riversong
