Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,5/1/15,5/31/15,79,105.14,USD,United States,,,,,B00OA9GDDA,,KU,,,,105.14,Tess Thompson,Tea and Primroses
Encore,5/1/15,5/31/15,53,70.54,USD,United States,,,,,B00OA9GDDA,,KINDLE,,,,70.54,Tess Thompson,Tea and Primroses
Encore,5/1/15,5/31/15,5,6.65,USD,United States,,,,,B00OA9GDDA,,KOLL,,,,6.65,Tess Thompson,Tea and Primroses
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDA,,KU,,,,1.558917,Tess Thompson,Tea and Primroses
Encore,5/1/15,5/31/15,1,1.19,EUR,Germany,,,,,B00OA9GDDA,,KINDLE,,,,1.3075482,Tess Thompson,Tea and Primroses
Encore,5/1/15,5/31/15,1,1.4,USD,United States,,,,,B00OA9GDCQ,,KINDLE,,,,1.4,D.E.L. Connor,The Concealing
Encore,5/1/15,5/31/15,6,8.38,USD,United States,,,,,B00OA9GDCQ,,KU,,,,8.38,D.E.L. Connor,The Concealing
Encore,5/1/15,5/31/15,19,26.53,USD,United States,,,,,B00OA9GDGW,,KOLL,,,,26.53,Marni Mann,Pulled Beneath
Encore,5/1/15,5/31/15,166,231.82,USD,United States,,,,,B00OA9GDGW,,KU,,,,231.82,Marni Mann,Pulled Beneath
Encore,5/1/15,5/31/15,86,120.1,USD,United States,,,,,B00OA9GDGW,,KINDLE,,,,120.1,Marni Mann,Pulled Beneath
Encore,5/1/15,5/31/15,1,1.4,USD,Canada,,,,,B00OA9GDGW,,KU,,,,1.4,Marni Mann,Pulled Beneath
Encore,5/1/15,5/31/15,93,109.96,USD,United States,,,,,B00OA9GDCG,,KINDLE,,,,109.96,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,19,22.47,USD,United States,,,,,B00OA9GDCG,,KOLL,,,,22.47,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,94,111.14,USD,United States,,,,,B00OA9GDCG,,KU,,,,111.14,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,1,1.41,USD,Canada,,,,,B00OA9GDCG,,KINDLE,,,,1.41,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,1,1.36,USD,Australia,,,,,B00OA9GDCG,,KINDLE,,,,1.36,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,14,14.23,GBP,United Kingdom,,,,,B00OA9GDCG,,KINDLE,,,,21.7484205,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,5,5.08,GBP,United Kingdom,,,,,B00OA9GDCG,,KU,,,,7.764018,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,2,2.03,GBP,United Kingdom,,,,,B00OA9GDCG,,KOLL,,,,3.1025505,Meredith Schorr,A State of Jane
Encore,5/1/15,5/31/15,217,157.85,USD,United States,,,,,B00OA9GDD0,,KU,,,,157.85,Laura Kilmartin,Next Year I'll be Perfect
Encore,5/1/15,5/31/15,601,437.18,USD,United States,,,,,B00OA9GDD0,,KINDLE,,,,437.18,Laura Kilmartin,Next Year I'll be Perfect
Encore,5/1/15,5/31/15,46,33.46,USD,United States,,,,,B00OA9GDD0,,KOLL,,,,33.46,Laura Kilmartin,Next Year I'll be Perfect
Encore,5/1/15,5/31/15,1,0.7,USD,Mexico,,,,,B00OA9GDD0,,KINDLE,,,,0.7,Laura Kilmartin,Next Year I'll be Perfect
Encore,5/1/15,5/31/15,20,28.03,USD,China,,,,,B00OA9GDD0,,KINDLE,,,,28.03,Laura Kilmartin,Next Year I'll be Perfect
Encore,5/1/15,5/31/15,10,8.45,USD,United States,,,,,B00OA9GDFI,,KOLL,,,,8.45,Meredith Schorr,Blogger Girl
Encore,5/1/15,5/31/15,122,103.09,USD,United States,,,,,B00OA9GDFI,,KINDLE,,,,103.09,Meredith Schorr,Blogger Girl
Encore,5/1/15,5/31/15,100,84.5,USD,United States,,,,,B00OA9GDFI,,KU,,,,84.5,Meredith Schorr,Blogger Girl
Encore,5/1/15,5/31/15,1,1.37,USD,Australia,,,,,B00OA9GDFI,,KINDLE,,,,1.37,Meredith Schorr,Blogger Girl
Encore,5/1/15,5/31/15,5,5.09,GBP,United Kingdom,,,,,B00OA9GDFI,,KINDLE,,,,7.7793015,Meredith Schorr,Blogger Girl
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDFI,,KU,,,,1.558917,Meredith Schorr,Blogger Girl
Encore,5/1/15,5/31/15,386,509.34,USD,United States,,,,,B00OA9GDEY,,KINDLE,,,,509.34,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,54,71.26,USD,United States,,,,,B00OA9GDEY,,KOLL,,,,71.26,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,282,372.11,USD,United States,,,,,B00OA9GDEY,,KU,,,,372.11,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,1,1.4,USD,Canada,,,,,B00OA9GDEY,,KINDLE,,,,1.4,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,3,4.21,USD,Canada,,,,,B00OA9GDEY,,KU,,,,4.21,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,1,1.36,USD,Australia,,,,,B00OA9GDEY,,KINDLE,,,,1.36,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEY,,KINDLE,,,,1.558917,Will North,"Water, Stone, Heart"
Encore,5/1/15,5/31/15,3133,2269.25,USD,United States,,,,,B00OA9GDDK,,KINDLE,,,,2269.25,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,731,529.47,USD,United States,,,,,B00OA9GDDK,,KU,,,,529.47,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,298,215.84,USD,United States,,,,,B00OA9GDDK,,KOLL,,,,215.84,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,2,1.4,USD,India,,,,,B00OA9GDDK,,KINDLE,,,,1.4,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,3,4.24,USD,Canada,,,,,B00OA9GDDK,,KINDLE,,,,4.24,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,2,2.83,USD,Canada,,,,,B00OA9GDDK,,KU,,,,2.83,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,6,8.08,USD,Australia,,,,,B00OA9GDDK,,KINDLE,,,,8.08,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,4,4.07,GBP,United Kingdom,,,,,B00OA9GDDK,,KINDLE,,,,6.2203845,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KOLL,,,,1.558917,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,1,0.97,USD,Mexico,,,,,B004WDRYVE,,KU,,,,0.97,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,1,0.93,EUR,Italy,,,,,B004WDRYVE,,KINDLE,,,,1.0218654,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,343,165.8,EUR,Germany,,,,,B004WDRYVE,,KU,,,,182.177724,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,1140,551.05,EUR,Europe,,,,,B004WDRYVE,,KINDLE,,,,605.482719,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,66,31.9,EUR,Europe,,,,,B004WDRYVE,,KOLL,,,,35.051082,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,1,0.75,EUR,Europe,,,,,B004WDRYVE,,Amazon Website,,,,0.824085,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,90,63.69,USD,United States,,,,,B00OA9GFPQ,,KU,,,,63.69,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,14,9.91,USD,United States,,,,,B00OA9GFPQ,,KOLL,,,,9.91,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,396,280.23,USD,United States,,,,,B00OA9GFPQ,,KINDLE,,,,280.23,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,1,1.41,USD,Canada,,,,,B00OA9GFPQ,,KINDLE,,,,1.41,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,1,1.35,USD,Australia,,,,,B00OA9GFPQ,,KINDLE,,,,1.35,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,8,11.17,USD,United States,,,,,B00OA9GDGM,,KOLL,,,,11.17,Mike McNeff,GOTU
Encore,5/1/15,5/31/15,19,26.53,USD,United States,,,,,B00OA9GDGM,,KINDLE,,,,26.53,Mike McNeff,GOTU
Encore,5/1/15,5/31/15,32,44.69,USD,United States,,,,,B00OA9GDGM,,KU,,,,44.69,Mike McNeff,GOTU
Encore,5/1/15,5/31/15,24,33.56,USD,United States,,,,,B00OA9GDEO,,KU,,,,33.56,Mike McNeff,Necessary Retribution
