Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (usd),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprints,Sale Date
Inscribe,8/1/15,8/31/15,1,4.9973,,Australia,,9781620155189,,,,,,9.99,,,5.00,The Immortal Rapture Collection,Lilian Roberts,,
Inscribe,8/1/15,8/31/15,1,3.4958,,Australia,,9781620152829,,,,,,6.99,,,3.50,Zips Goes Wandering,Chris Marsh,,
Inscribe,8/1/15,8/31/15,1,2.9953,,United States,,9781620155158,,,,,,5.99,,,3.00,My Fair Lily,Meara Platt,,
Inscribe,8/1/15,8/31/15,1,3.4958,,United States,,9781620156711,,,,,,6.99,,,3.50,The Duke I'm Going to Marry,Meara Platt,,
Inscribe,8/1/15,8/31/15,1,3.4,,New Zealand,,9781620156292,,,,,,7.99,,,3.40,Auggie Appleby's Trouble in Toyland,"Billie Morton, Robin Maxwell",,
Inscribe,8/1/15,8/31/15,1,4.675,,New Zealand,,9781620157008,,,,,,10.99,,,4.68,Broken Places,Rachel Thompson,,
Inscribe,8/1/15,8/31/15,1,1.275,,United States,,9781620153345,,,,,,2.99,,,1.28,Cold Company,A.J. Aalto,,
Inscribe,8/1/15,8/31/15,1,2.975,,New Zealand,,9781620154151,,,,,,6.99,,,2.98,Dangerous Reflections,Shay West,,
Inscribe,8/1/15,8/31/15,1,1.275,,Canada,,9781620156827,,,,,,2.99,,,1.28,Death of a Tango Dancer,Lisa Fernow,,
Inscribe,8/1/15,8/31/15,1,1.275,,United States,,9781620156827,,,,,,2.99,,,1.28,Death of a Tango Dancer,Lisa Fernow,,
Inscribe,8/1/15,8/31/15,1,1.275,,New Zealand,,9781620155424,,,,,,2.99,,,1.28,Desperate Reflections,Shay West,,
Inscribe,8/1/15,8/31/15,1,2.975,,Canada,,9781620157404,,,,,,6.99,,,2.98,Duet for Three Hands,Tess Thompson,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620157817,,,,,,6.99,,,2.98,Fall of Knight,Steven Cross,,
Inscribe,8/1/15,8/31/15,2,5.1,,United States,,9781620152478,,,,,,5.99,,,5.10,Fool's Game,Heather Huffman,,
Inscribe,8/1/15,8/31/15,2,6.8,,United States,,9781620153093,,,,,,7.99,,,6.80,Harm None,Will North,,
Inscribe,8/1/15,8/31/15,5,12.75,,United States,,9781620150344,,,,,,5.99,,,12.75,Jailbird,Heather Huffman,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620154243,,,,,,6.99,,,2.98,Last Impressions,A.J. Aalto,,
Inscribe,8/1/15,8/31/15,1,3.4,,New Zealand,,9781620155721,,,,,,7.99,,,3.40,Misadventures of Princess Sydney,Chris Minich,,
Inscribe,8/1/15,8/31/15,1,2.55,,United States,,9781620155158,,,,,,5.99,,,2.55,My Fair Lily,Meara Platt,,
Inscribe,8/1/15,8/31/15,1,2.975,,Canada,,9781620157732,,,,,,6.99,,,2.98,Rachel's Folly,Monica Bruno,,
Inscribe,8/1/15,8/31/15,1,2.55,,Canada,,9781620157848,,,,,,5.99,,,2.55,Rock Star's Girl,Jennifer Farwell,,
Inscribe,8/1/15,8/31/15,1,2.975,,New Zealand,,9781620157749,,,,,,6.99,,,2.98,Roses are Red...Violet is Dead,Monica-Marie Vincent,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620157749,,,,,,6.99,,,2.98,Roses are Red...Violet is Dead,Monica-Marie Vincent,,
Inscribe,8/1/15,8/31/15,2,5.1,,United States,,9781620150573,,,,,,5.99,,,5.10,Roses in Ecuador,Heather Huffman,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620152652,,,,,,6.99,,,2.98,Seasons' End,Will North,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620150696,,,,,,6.99,,,2.98,Sex and Death in the American Novel,Sarah Martinez,,
Inscribe,8/1/15,8/31/15,2,5.1,,United States,,9781620150313,,,,,,5.99,,,5.10,Suddenly a Spy,Heather Huffman,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620152690,,,,,,6.99,,,2.98,The Dark Light of Day,T.M. Frazier,,
Inscribe,8/1/15,8/31/15,1,2.975,,Germany,,9781620156711,,,,,,6.99,,,2.98,The Duke I'm Going to Marry,Meara Platt,,
Inscribe,8/1/15,8/31/15,2,5.1,,United States,,9781620151273,,,,,,5.99,,,5.10,The Fiery Hearts Collection,Heather Huffman,,
Inscribe,8/1/15,8/31/15,1,3.4,,United States,,9781620150580,,,,,,7.99,,,3.40,The Girls: Sappho Goes to Hollywood,Diana McLellan,,
Inscribe,8/1/15,8/31/15,1,2.975,,New Zealand,,9781620157824,,,,,,6.99,,,2.98,The Legend of the Light Keeper,Kelly Hall,,
Inscribe,8/1/15,8/31/15,1,0.425,,United States,,9781620155172,,,,,,0.99,,,0.43,The Lost Eyes,Elise Stephens,,
Inscribe,8/1/15,8/31/15,1,2.55,,United States,,9781620150283,,,,,,5.99,,,2.55,Throwaway,Heather Huffman,,
Inscribe,8/1/15,8/31/15,1,2.55,,New Zealand,,9781620154236,,,,,,5.99,,,2.55,Twisted Reflections,Shay West,,
Inscribe,8/1/15,8/31/15,2,4.25,,United States,,9781620155165,,,,,,4.99,,,4.25,Waiting,Bonnie Dodge,,
Inscribe,8/1/15,8/31/15,1,2.975,,Germany,,9781620152669,,,,,,6.99,,,2.98,"Water, Stone, Heart",Will North,,
Inscribe,8/1/15,8/31/15,1,3.4,,United States,,9781620154168,,,,,,7.99,,,3.40,Zeus is Dead,Michael G. Munz,,
Inscribe,8/1/15,8/31/15,1,3.4958,,Australia,,9781620156315,,,,,,6.99,,,3.50,Left to Chance,C.D. Taylor,,
Inscribe,8/1/15,8/31/15,1,1.9943,,Australia,,9781620155141,,,,,,3.99,,,1.99,Our Second Chance,C.D. Taylor,,
Inscribe,8/1/15,8/31/15,1,3.4958,,Australia,,9781620154885,,,,,,6.99,,,3.50,What I Really Learned in College,Addison Winters,,
Inscribe,8/1/15,8/31/15,1,2.975,,United States,,9781620156612,,,,,,6.99,,,2.98,A Soldier's Wish,Tammy Godfrey,,
Inscribe,8/1/15,8/31/15,1,2.55,,Canada,,9781620152416,,,,,,5.99,,,2.55,Seductive Shadows,Marni Mann,,
Inscribe,8/1/15,8/31/15,1,4.25,,South Africa,,9781620150115,,,,,,9.99,,,4.25,Skull Dance,"Gerd Balke, Michael Larocca",,
