Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,7/1/15,7/31/15,1,3.47,USD,US,,,,,B00408A724,70%,Standard,4.99,,,3.47,Home Field: Writers Remember Baseball,Sherman Alexie
KDP,7/1/15,7/31/15,6,9.59,USD,US,,,,,B00408ASDM,35%,Standard,4.67,,,9.59,Invisible Ink,Brian McDonald
KDP,7/1/15,7/31/15,89,302.51,USD,US,,,,,B00408ASDM,70%,Standard,4.9,,,302.51,Invisible Ink,Brian McDonald
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00408ASDM,35% - promo,Kindle MatchBook,4.05,,,0.00,Invisible Ink,Brian McDonald
KDP,7/1/15,7/31/15,5,0,USD,US,,,,,B00408ASDM,70% - promo,Kindle MatchBook,4.99,,,0.00,Invisible Ink,Brian McDonald
KDP,7/1/15,7/31/15,4,5.94,USD,US,,,,,B004A14QHI,35%,Standard,4.24,,,5.94,The Golden Theme,Brian McDonald
KDP,7/1/15,7/31/15,26,71.74,USD,US,,,,,B004A14QHI,70%,Standard,4.95,,,71.74,The Golden Theme,Brian McDonald
KDP,7/1/15,7/31/15,1,2.05,USD,US,,,,,B004I43SO4,70%,Standard,2.99,,,2.05,Dove Creek,Paula Marie Coomer
KDP,7/1/15,7/31/15,2,2.1,USD,US,,,,,B004WDRYVE,35%,Standard,2.99,,,2.10,Riversong,Tess Thompson
KDP,7/1/15,7/31/15,124,252.44,USD,US,,,,,B004WDRYVE,70%,Standard,2.99,,,252.44,Riversong,Tess Thompson
KDP,7/1/15,7/31/15,1,2.08,USD,US,,,,,B004Y76MFW,70%,Standard,2.99,,,2.08,Lark Eden,Natalie Symons
KDP,7/1/15,7/31/15,453,0,USD,US,,,,,B005J6GYIM,N/A,Free - Price Match,2.99,,,0.00,Throwaway,Heather Huffman
KDP,7/1/15,7/31/15,7,14.35,USD,US,,,,,B005M780C6,70%,Standard,2.99,,,14.35,Suddenly a Spy,Heather Huffman
KDP,7/1/15,7/31/15,8,16.52,USD,US,,,,,B005S19K1G,70%,Standard,3,,,16.52,Ties That Bind,Heather Huffman
KDP,7/1/15,7/31/15,1,6.78,USD,US,,,,,B005UG3GPU,70%,Standard,9.99,,,6.78,Bottom-Line Selling: The Sales Professional's Guide to Improving Customer Profits,Jack Malcolm
KDP,7/1/15,7/31/15,1,2.05,USD,US,,,,,B0065U78MC,70%,Standard,2.99,,,2.05,Moonlight and Oranges,Elise Stephens
KDP,7/1/15,7/31/15,3,8.07,USD,US,,,,,B0066DYMJU,70%,Standard,3.99,,,8.07,"Don Juan in Hankey, PA",Gale Martin
KDP,7/1/15,7/31/15,9,18.18,USD,US,,,,,B006GWDUHQ,70%,Standard,2.96,,,18.18,Jailbird,Heather Huffman
KDP,7/1/15,7/31/15,19,38.81,USD,US,,,,,B006JGFE32,70%,Standard,2.99,,,38.81,Ring of Fire,Heather Huffman
KDP,7/1/15,7/31/15,4,5.6,USD,US,,,,,B006OO7L58,35%,Standard,3.99,,,5.60,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann
KDP,7/1/15,7/31/15,99,270.31,USD,US,,,,,B006OO7L58,70%,Standard,3.97,,,270.31,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann
KDP,7/1/15,7/31/15,0,0,USD,US,,,,,B006P899VC,70%,Standard,4.99,,,0.00,Primary Sources,Ann Staley
