Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,6/1/15,6/30/15,8,13.46,USD,US,,,,,B00408ASDM,35%,Standard,4.8,,,13.46,Invisible Ink,Brian McDonald
KDP,6/1/15,6/30/15,75,254.69,USD,US,,,,,B00408ASDM,70%,Standard,4.9,,,254.69,Invisible Ink,Brian McDonald
KDP,6/1/15,6/30/15,6,0,USD,US,,,,,B00408ASDM,70% - promo,Kindle MatchBook,4.99,,,0.00,Invisible Ink,Brian McDonald
KDP,6/1/15,6/30/15,1,2.8,USD,US,,,,,B00413PU02,35%,Standard,7.99,,,2.80,The First Father Abraham,Henry Hanoch Abramovitch
KDP,6/1/15,6/30/15,2,3.5,USD,US,,,,,B004A14QHI,35%,Standard,4.99,,,3.50,The Golden Theme,Brian McDonald
KDP,6/1/15,6/30/15,34,91.55,USD,US,,,,,B004A14QHI,70%,Standard,4.91,,,91.55,The Golden Theme,Brian McDonald
KDP,6/1/15,6/30/15,2,0,USD,US,,,,,B004A14QHI,70% - promo,Kindle MatchBook,4.99,,,0.00,The Golden Theme,Brian McDonald
KDP,6/1/15,6/30/15,3,6,USD,US,,,,,B004SRC4YG,70%,Standard,2.99,,,6.00,Sweet Song,Terry Persun
KDP,6/1/15,6/30/15,3,3.15,USD,US,,,,,B004WDRYVE,35%,Standard,2.99,,,3.15,Riversong,Tess Thompson
KDP,6/1/15,6/30/15,154,314.31,USD,US,,,,,B004WDRYVE,70%,Standard,2.99,,,314.31,Riversong,Tess Thompson
KDP,6/1/15,6/30/15,1,3.42,USD,US,,,,,B00546COTU,70%,Standard,4.99,,,3.42,The Printer's Devil,Chico Kidd
KDP,6/1/15,6/30/15,1,2,USD,US,,,,,B0058UNN8I,70%,Standard,2.99,,,2.00,Thank You For Flying Air Zoe,Erik Atwell
KDP,6/1/15,6/30/15,424,0,USD,US,,,,,B005J6GYIM,N/A,Free - Price Match,2.99,,,0.00,Throwaway,Heather Huffman
KDP,6/1/15,6/30/15,5,10.34,USD,US,,,,,B005M780C6,70%,Standard,3.02,,,10.34,Suddenly a Spy,Heather Huffman
KDP,6/1/15,6/30/15,1,1.05,USD,US,,,,,B005S19K1G,35%,Standard,2.99,,,1.05,Ties That Bind,Heather Huffman
KDP,6/1/15,6/30/15,4,8.24,USD,US,,,,,B005S19K1G,70%,Standard,2.99,,,8.24,Ties That Bind,Heather Huffman
KDP,6/1/15,6/30/15,301,111.6,USD,US,,,,,B005UG3GPU,35%,Standard,1.05,,,111.60,Bottom-Line Selling: The Sales Professional's Guide to Improving Customer Profits,Jack Malcolm
KDP,6/1/15,6/30/15,4,14.52,USD,US,,,,,B005UG3GPU,70%,Standard,9.99,,,14.52,Bottom-Line Selling: The Sales Professional's Guide to Improving Customer Profits,Jack Malcolm
KDP,6/1/15,6/30/15,2,4.1,USD,US,,,,,B0065U78MC,70%,Standard,2.99,,,4.10,Moonlight and Oranges,Elise Stephens
KDP,6/1/15,6/30/15,5,13.45,USD,US,,,,,B0066DYMJU,70%,Standard,3.99,,,13.45,"Don Juan in Hankey, PA",Gale Martin
KDP,6/1/15,6/30/15,6,12.24,USD,US,,,,,B006GWDUHQ,70%,Standard,2.99,,,12.24,Jailbird,Heather Huffman
KDP,6/1/15,6/30/15,20,40.94,USD,US,,,,,B006JGFE32,70%,Standard,3,,,40.94,Ring of Fire,Heather Huffman
KDP,6/1/15,6/30/15,3,4.2,USD,US,,,,,B006OO7L58,35%,Standard,3.99,,,4.20,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann
KDP,6/1/15,6/30/15,124,337.2,USD,US,,,,,B006OO7L58,70%,Standard,3.96,,,337.20,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann
KDP,6/1/15,6/30/15,1,3.44,USD,US,,,,,B0076OEJP0,70%,Standard,4.99,,,3.44,The Essential Stay-at-Home Mom Manual: How to Have a Wondrous Life Amidst Kids and Chaos,Shannon Hyland-Tassava
KDP,6/1/15,6/30/15,3,6,USD,US,,,,,B007E5A0SQ,70%,Standard,2.99,,,6.00,"Eat In, Not Out:  The Learn-How-to-Cook Book, Without the Recipes",Melinda Hinson Neely
KDP,6/1/15,6/30/15,30,10.59,USD,US,,,,,B007G04KK8,35%,Standard,1,,,10.59,Tumbleweed,Heather Huffman
KDP,6/1/15,6/30/15,11,22.06,USD,US,,,,,B007MFTIVS,70%,Standard,3,,,22.06,Bumbling into Body Hair: A Transsexual's Memoir,Everett Maroon
KDP,6/1/15,6/30/15,1,2.04,USD,US,,,,,B007W4DMWU,70%,Standard,2.99,,,2.04,Tulip Season:  A Mitra Basu Mystery,Bharti Kirchner
KDP,6/1/15,6/30/15,1,2.57,USD,US,,,,,B008840PCI,70%,Standard,3.99,,,2.57,How to Market a Book,Lori Culwell
KDP,6/1/15,6/30/15,9,18.45,USD,US,,,,,B008AK8TQY,70%,Standard,2.99,,,18.45,Devil in Disguise,Heather Huffman
KDP,6/1/15,6/30/15,4,5.416737,USD,US,,,,,B008AK8TQY,N/A,KU/KOLL Units,N/A,,,5.42,Devil in Disguise,Heather Huffman
KDP,6/1/15,6/30/15,9,24.57,USD,US,,,,,B008BW98WA,70%,Standard,3.99,,,24.57,The Key to Everything,Alex Kimmell
KDP,6/1/15,6/30/15,3,4.2,USD,US,,,,,B008RDGGNM,35%,Standard,3.99,,,4.20,Scars from a Memoir,Marni Mann
KDP,6/1/15,6/30/15,66,176.78,USD,US,,,,,B008RDGGNM,70%,Standard,3.89,,,176.78,Scars from a Memoir,Marni Mann
KDP,6/1/15,6/30/15,1,2.04,USD,US,,,,,B008RH5IUK,70%,Standard,2.99,,,2.04,"Run, River Currents",Ginger Marcinkowski
KDP,6/1/15,6/30/15,1,0.35,USD,US,,,,,B008RPSD0Y,35%,Standard,0.99,,,0.35,One Week,Nikki Van De Car
KDP,6/1/15,6/30/15,17,11.9,USD,US,,,,,B008RSGGMI,35%,Standard,1.99,,,11.90,Joe Vampire,Steven Luna
KDP,6/1/15,6/30/15,14,18.9585795,USD,US,,,,,B008RSGGMI,N/A,KU/KOLL Units,N/A,,,18.96,Joe Vampire,Steven Luna
KDP,6/1/15,6/30/15,2,7,USD,US,,,,,B008V3W0HY,35%,Standard,9.99,,,7.00,Strategic Sales Presentations,Jack Malcolm
KDP,6/1/15,6/30/15,1,6.82,USD,US,,,,,B008V3W0HY,70%,Standard,9.99,,,6.82,Strategic Sales Presentations,Jack Malcolm
KDP,6/1/15,6/30/15,2,2.7083685,USD,US,,,,,B008V3W0HY,N/A,KU/KOLL Units,N/A,,,2.71,Strategic Sales Presentations,Jack Malcolm
KDP,6/1/15,6/30/15,1,0,USD,US,,,,,B008V3W0HY,70% - promo,Kindle MatchBook,9.99,,,0.00,Strategic Sales Presentations,Jack Malcolm
KDP,6/1/15,6/30/15,1,2.04,USD,US,,,,,B009D6JCWO,70%,Standard,2.99,,,2.04,Always and Forever,Karla J. Nellenbach
KDP,6/1/15,6/30/15,2,4.08,USD,US,,,,,B009RV2402,70%,Standard,2.99,,,4.08,Summer Melody,Toddie Downs
KDP,6/1/15,6/30/15,2,6.88,USD,US,,,,,B009WYLJ3W,70%,Standard,4.99,,,6.88,The Dead Boy's Legacy,Cassius Shuman
KDP,6/1/15,6/30/15,0,0,USD,US,,,,,B009YN22GE,70%,Standard,3.99,,,0.00,Scars from a Memoir (Young Adult Edition),Marni Mann
KDP,6/1/15,6/30/15,0,0,USD,US,,,,,B00A5FET02,70%,Standard,2.99,,,0.00,Running in Darkness,James Daly
KDP,6/1/15,6/30/15,1,2.78,USD,US,,,,,B00AAMJOR8,35%,Standard,7.95,,,2.78,Ink Spots,Brian McDonald
KDP,6/1/15,6/30/15,6,33.12,USD,US,,,,,B00AAMJOR8,70%,Standard,7.95,,,33.12,Ink Spots,Brian McDonald
KDP,6/1/15,6/30/15,3,20.19,USD,US,,,,,B00AFJGMYO,70%,Standard,9.95,,,20.19,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman
KDP,6/1/15,6/30/15,3,7.98,USD,US,,,,,B00ATIK0WG,70%,Standard,4.99,,,7.98,Princesses can be Pirates Too!,Christi Zellerhoff
KDP,6/1/15,6/30/15,1,0,USD,US,,,,,B00ATIK0WG,70% - promo,Kindle MatchBook,4.99,,,0.00,Princesses can be Pirates Too!,Christi Zellerhoff
KDP,6/1/15,6/30/15,0,0,USD,US,,,,,B00AV877N4,70%,Standard,5.99,,,0.00,Fiery Hearts Collection,Heather Huffman
KDP,6/1/15,6/30/15,16,100,USD,US,,,,,B00AVNS9S6,70%,Standard,8.99,,,100.00,The Art of Selling Real Estate,Patricia Cliff
KDP,6/1/15,6/30/15,4,8.24,USD,US,,,,,B00B2DTDLG,70%,Standard,2.99,,,8.24,Freeman - A Novella in Screenplay Form,Brian McDonald
KDP,6/1/15,6/30/15,11,22.44,USD,US,,,,,B00B7OVK9I,70%,Standard,2.99,,,22.44,Joe Vampire: The Afterlife,Steven Luna
KDP,6/1/15,6/30/15,9,12.18765825,USD,US,,,,,B00B7OVK9I,N/A,KU/KOLL Units,N/A,,,12.19,Joe Vampire: The Afterlife,Steven Luna
KDP,6/1/15,6/30/15,2,4.25,USD,US,,,,,B00B8XY8FG,70%,Standard,3.1,,,4.25,Roses in Ecuador,Heather Huffman
KDP,6/1/15,6/30/15,3,6.12,USD,US,,,,,B00BD9HLAY,70%,Standard,2.99,,,6.12,The Romance of Grace,Jim McNeely III
KDP,6/1/15,6/30/15,1,4.82,USD,US,,,,,B00BLS5E2Y,70%,Standard,6.99,,,4.82,The Water Sign,C.S. Samulski
KDP,6/1/15,6/30/15,1,2.06,USD,US,,,,,B00BLTV08U,70%,Standard,2.99,,,2.06,"I Kidnap Girls: Stealing from traffickers, restoring their victims",Pamela Ravan-Pyne
KDP,6/1/15,6/30/15,2,6.64,USD,US,,,,,B00BM9SERY,70%,Standard,4.99,,,6.64,"Heart and Sole: How 26 Ran A Marathon (And You Can, Too)",Melinda Hinson Neely
KDP,6/1/15,6/30/15,0,0,USD,US,,,,,B00BME08C8,70%,Standard,2.99,,,0.00,Holding True,Emily Dietrich
KDP,6/1/15,6/30/15,1,5.54,USD,US,,,,,B00BPD5M8G,70%,Standard,7.95,,,5.54,Write Within Yourself: An Author's Companion,William Kenower
KDP,6/1/15,6/30/15,1,0,USD,US,,,,,B00BPD5M8G,70% - promo,Kindle MatchBook,7.95,,,0.00,Write Within Yourself: An Author's Companion,William Kenower
KDP,6/1/15,6/30/15,7,14.44,USD,US,,,,,B00BR1L8I4,70%,Standard,3.02,,,14.44,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood
KDP,6/1/15,6/30/15,0,0,USD,US,,,,,B00CD4AYVG,70%,Standard,2.99,,,0.00,"Mocha, Moonlight, and Murder",MaryAnn Kempher
KDP,6/1/15,6/30/15,5,16.95,USD,US,,,,,B00CHO4AW6,70%,Standard,4.99,,,16.95,Suitcase Filled with Nails: Lessons Learned from Teaching Art in Kuwait,Yvonne Wakefield
KDP,6/1/15,6/30/15,2,2.8,USD,US,,,,,B00CLDQT2W,35%,Standard,3.99,,,2.80,Riverbend,Tess Thompson
KDP,6/1/15,6/30/15,141,384.12,USD,US,,,,,B00CLDQT2W,70%,Standard,3.97,,,384.12,Riverbend,Tess Thompson
KDP,6/1/15,6/30/15,5,18.75,USD,US,,,,,B00CLDQTQ8,70%,Standard,5.49,,,18.75,The River Valley Collection Boxed Set,Tess Thompson
KDP,6/1/15,6/30/15,1,2.25,USD,US,,,,,B00CNXMNMK,35%,Standard,6.43,,,2.25,Redesigning Education: Shaping Learning Systems Around the Globe,Innovation Unit for The Global Education Leadersâ€™ Program
KDP,6/1/15,6/30/15,2,13.18,USD,US,,,,,B00CNXMNMK,70%,Standard,9.99,,,13.18,Redesigning Education: Shaping Learning Systems Around the Globe,Innovation Unit for The Global Education Leadersâ€™ Program
KDP,6/1/15,6/30/15,1,1.99,USD,US,,,,,B00CUETVF4,70%,Standard,2.99,,,1.99,Charis: Journey to Pandora's Jar,Nicole Y. Walters
KDP,6/1/15,6/30/15,2,2.8,USD,US,,,,,B00CY22D84,35%,Standard,3.99,,,2.80,Riverstar,Tess Thompson
KDP,6/1/15,6/30/15,127,346.92,USD,US,,,,,B00CY22D84,70%,Standard,3.99,,,346.92,Riverstar,Tess Thompson
KDP,6/1/15,6/30/15,2,5.48,USD,US,,,,,B00CY22GOU,70%,Standard,3.99,,,5.48,Seductive Shadows,Marni Mann
KDP,6/1/15,6/30/15,5,6.77092125,USD,US,,,,,B00CY22GOU,N/A,KU/KOLL Units,N/A,,,6.77,Seductive Shadows,Marni Mann
KDP,6/1/15,6/30/15,5,3.1,USD,US,,,,,B00D1VWA4O,70%,Standard,2.99,,,3.10,Changeling Eyes,L.A. Catron
KDP,6/1/15,6/30/15,1,2.05,USD,US,,,,,B00D8GWS80,70%,Standard,2.99,,,2.05,Unsettled Spirits,Sophie Weeks
KDP,6/1/15,6/30/15,2,4.1,USD,US,,,,,B00DIKHGFQ,70%,Standard,2.99,,,4.10,Godspeed,February Grace
KDP,6/1/15,6/30/15,2,4.08,USD,US,,,,,B00DLTOKYE,70%,Standard,2.99,,,4.08,Fool's Game,Heather Huffman
KDP,6/1/15,6/30/15,1,2.04,USD,US,,,,,B00DZTZGEI,70%,Standard,2.99,,,2.04,Forecast,Elise Stephens
KDP,6/1/15,6/30/15,1,3.42,USD,US,,,,,B00E0NIHBM,70%,Standard,4.99,,,3.42,Dead of Knight,Nicole J. Persun
KDP,6/1/15,6/30/15,1,0.44,USD,US,,,,,B00E220RAK,35%,Standard,1.25,,,0.44,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto
KDP,6/1/15,6/30/15,123,0,USD,US,,,,,B00E220RAK,N/A,Free - Price Match,0.99,,,0.00,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto
KDP,6/1/15,6/30/15,1,2.73,USD,US,,,,,B00E67MB5A,70%,Standard,3.99,,,2.73,The Summer of Long Knives,Jim Snowden
KDP,6/1/15,6/30/15,4,10.96,USD,US,,,,,B00E8OQ9R2,70%,Standard,3.99,,,10.96,Seductive Secrecy,Marni Mann
KDP,6/1/15,6/30/15,3,4.06255275,USD,US,,,,,B00E8OQ9R2,N/A,KU/KOLL Units,N/A,,,4.06,Seductive Secrecy,Marni Mann
KDP,6/1/15,6/30/15,4,10.94,USD,US,,,,,B00ENIFS8O,70%,Standard,3.99,,,10.94,Seducer Fey,Cullyn Royson
KDP,6/1/15,6/30/15,22,29.7920535,USD,US,,,,,B00ENIFS8O,N/A,KU/KOLL Units,N/A,,,29.79,Seducer Fey,Cullyn Royson
KDP,6/1/15,6/30/15,63,40.16,USD,US,,,,,B00ENIFS8O,70% - promo,Kindle Countdown Deals,3.99,,,40.16,Seducer Fey,Cullyn Royson
KDP,6/1/15,6/30/15,2,4.12,USD,US,,,,,B00EWU3X76,70%,Standard,2.99,,,4.12,Songs from the Phenomenal Nothing,Steven Luna
KDP,6/1/15,6/30/15,5,5.25,USD,US,,,,,B00EYMYBXW,35%,Standard,2.99,,,5.25,Just Friends with Benefits,Meredith Schorr
KDP,6/1/15,6/30/15,128,259.77,USD,US,,,,,B00EYMYBXW,70%,Standard,2.99,,,259.77,Just Friends with Benefits,Meredith Schorr
KDP,6/1/15,6/30/15,13,17.82,USD,US,,,,,B00F8KMR8A,35%,Standard,3.91,,,17.82,The Dark Light of Day,T.M. Frazier
KDP,6/1/15,6/30/15,500,1357.29,USD,US,,,,,B00F8KMR8A,70%,Standard,3.97,,,1357.29,The Dark Light of Day,T.M. Frazier
KDP,6/1/15,6/30/15,3,10.02,USD,US,,,,,B00FSFKK5C,70%,Standard,4.99,,,10.02,Bending Time,Charles Johnson
KDP,6/1/15,6/30/15,5,34.6,USD,US,,,,,B00FZ2FI46,70%,Standard,9.95,,,34.60,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne S. Black
KDP,6/1/15,6/30/15,-1,-3.45,USD,US,,,,,B00G042QFC,70%,Standard,4.99,,,-3.45,Dancing on the Edge,Kit Bakke
KDP,6/1/15,6/30/15,77,26.86,USD,US,,,,,B00G17HT6E,35%,Standard,0.99,,,26.86,Dirt Nap (A Marnie Baranuik â€œBetween the Filesâ€ù Story),A.J. Aalto
KDP,6/1/15,6/30/15,22,74.51,USD,US,,,,,B00G3JI518,70%,Standard,4.94,,,74.51,These Sorrows We See (A Windsor Series Novel),Tamsen Schultz
KDP,6/1/15,6/30/15,8,38.56,USD,US,,,,,B00G4E050G,70%,Standard,6.99,,,38.56,The Shadows Series,Marni Mann
KDP,6/1/15,6/30/15,19,25.72950075,USD,US,,,,,B00G4E050G,N/A,KU/KOLL Units,N/A,,,25.73,The Shadows Series,Marni Mann
KDP,6/1/15,6/30/15,61,165.34,USD,US,,,,,B00G9AWTJU,70%,Standard,3.98,,,165.34,The Old Cape House,Barbara Eppich Struna
KDP,6/1/15,6/30/15,1,3.44,USD,US,,,,,B00GHZA4JE,70%,Standard,4.99,,,3.44,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet",Paula Marie Coomer
KDP,6/1/15,6/30/15,4,10.89,USD,US,,,,,B00GJ1XZSS,70%,Standard,3.98,,,10.89,Between Boyfriends,SÃ¡rka-Jonae Miller
KDP,6/1/15,6/30/15,7,9.47928975,USD,US,,,,,B00GJ1XZSS,N/A,KU/KOLL Units,N/A,,,9.48,Between Boyfriends,SÃ¡rka-Jonae Miller
KDP,6/1/15,6/30/15,1,2.74,USD,US,,,,,B00GS7GVHK,70%,Standard,3.99,,,2.74,Paradigm Shift,Bill Ellis
KDP,6/1/15,6/30/15,1,0.35,USD,US,,,,,B00H4EICT6,35%,Standard,0.99,,,0.35,The River Valley Trilogy,Tess Thompson
KDP,6/1/15,6/30/15,16,109.6,USD,US,,,,,B00H4EICT6,70%,Standard,9.99,,,109.60,The River Valley Trilogy,Tess Thompson
KDP,6/1/15,6/30/15,4,5.416737,USD,US,,,,,B00H7ML3FA,N/A,KU/KOLL Units,N/A,,,5.42,Between the Sheets,SÃ¡rka-Jonae Miller
KDP,6/1/15,6/30/15,1002,0,USD,US,,,,,B00H7ML3FA,N/A,Free - Promotion,3.98,,,0.00,Between the Sheets,SÃ¡rka-Jonae Miller
KDP,6/1/15,6/30/15,10,20.06,USD,US,,,,,B00HAHFDO4,70%,Standard,2.94,,,20.06,Swimming Upstream,Ruth Mancini
KDP,6/1/15,6/30/15,31,41.97971175,USD,US,,,,,B00HAHFDO4,N/A,KU/KOLL Units,N/A,,,41.98,Swimming Upstream,Ruth Mancini
KDP,6/1/15,6/30/15,1,0.64,USD,US,,,,,B00HAHFDO4,70% - promo,Kindle Countdown Deals,2.99,,,0.64,Swimming Upstream,Ruth Mancini
KDP,6/1/15,6/30/15,2,2.45,USD,US,,,,,B00HRCI56K,35%,Standard,3.49,,,2.45,Seasons' End,Will North
KDP,6/1/15,6/30/15,156,645.44,USD,US,,,,,B00HRCI56K,70%,Standard,5.99,,,645.44,Seasons' End,Will North
KDP,6/1/15,6/30/15,2,3.5,USD,US,,,,,B00I4XAMB2,35%,Standard,4.99,,,3.50,The Girls: Sappho Goes to Hollywood,Diana McLellan
KDP,6/1/15,6/30/15,17,53.24,USD,US,,,,,B00I4XAMB2,70%,Standard,4.93,,,53.24,The Girls: Sappho Goes to Hollywood,Diana McLellan
KDP,6/1/15,6/30/15,7,23.93,USD,US,,,,,B00I9UQE26,70%,Standard,4.96,,,23.93,Arielle Immortal Awakening,Lilian Roberts
KDP,6/1/15,6/30/15,43,58.22992275,USD,US,,,,,B00I9UQE26,N/A,KU/KOLL Units,N/A,,,58.23,Arielle Immortal Awakening,Lilian Roberts
KDP,6/1/15,6/30/15,3,5.91,USD,US,,,,,B00II40EFG,70%,Standard,2.99,,,5.91,Zips Goes Wandering,Chris Marsh
KDP,6/1/15,6/30/15,1,2.04,USD,US,,,,,B00IIUX9I4,70%,Standard,2.99,,,2.04,The Unintentional Time Traveler,Everett Maroon
KDP,6/1/15,6/30/15,5,10.25,USD,US,,,,,B00IPL70NG,70%,Standard,2.99,,,10.25,Hard Justice,Mike McNeff
KDP,6/1/15,6/30/15,9,12.18765825,USD,US,,,,,B00IPL70NG,N/A,KU/KOLL Units,N/A,,,12.19,Hard Justice,Mike McNeff
KDP,6/1/15,6/30/15,1,0.35,USD,US,,,,,B00IRL8O2U,35%,Standard,0.99,,,0.35,Exodus 2022,Kenneth G. Bennett
KDP,6/1/15,6/30/15,1,1.35418425,USD,US,,,,,B00IRL8O2U,N/A,KU/KOLL Units,N/A,,,1.35,Exodus 2022,Kenneth G. Bennett
KDP,6/1/15,6/30/15,5,17.2,USD,US,,,,,B00IZNNXAS,70%,Standard,4.99,,,17.20,Arielle Immortal Seduction,Lilian Roberts
KDP,6/1/15,6/30/15,14,18.9585795,USD,US,,,,,B00IZNNXAS,N/A,KU/KOLL Units,N/A,,,18.96,Arielle Immortal Seduction,Lilian Roberts
KDP,6/1/15,6/30/15,1,4.81,USD,US,,,,,B00J4YIKN2,70%,Standard,6.99,,,4.81,Memoirs Collection,Marni Mann
KDP,6/1/15,6/30/15,2,5.52,USD,US,,,,,B00J6ELEX8,70%,Standard,3.99,,,5.52,Is This All There Is?,Patricia Mann
KDP,6/1/15,6/30/15,8,10.833474,USD,US,,,,,B00J6ELEX8,N/A,KU/KOLL Units,N/A,,,10.83,Is This All There Is?,Patricia Mann
KDP,6/1/15,6/30/15,10,27.4,USD,US,,,,,B00J8OLGUW,70%,Standard,3.99,,,27.40,Enlightened,A.L. Waddington
KDP,6/1/15,6/30/15,1,3.44,USD,US,,,,,B00J9U9OZO,70%,Standard,4.99,,,3.44,Memory Tower,Terry Persun
KDP,6/1/15,6/30/15,1,2.74,USD,US,,,,,B00JATQ1DM,70%,Standard,3.99,,,2.74,Leaving the Beach,Mary Rowen
KDP,6/1/15,6/30/15,47,128.78,USD,US,,,,,B00JBR808W,70%,Standard,4.5,,,128.78,Unbreakable Bonds,Carolyn Ridder Aspenson
KDP,6/1/15,6/30/15,1,1.35418425,USD,US,,,,,B00JBR808W,N/A,KU/KOLL Units,N/A,,,1.35,Unbreakable Bonds,Carolyn Ridder Aspenson
KDP,6/1/15,6/30/15,1,1.35418425,USD,US,,,,,B00JCEXDPY,N/A,KU/KOLL Units,N/A,,,1.35,Unfinished Business,Carolyn Ridder Aspenson
KDP,6/1/15,6/30/15,59,161.2,USD,US,,,,,B00JG8TRGA,70%,Standard,3.98,,,161.20,Pulled Within,Marni Mann
KDP,6/1/15,6/30/15,96,130.001688,USD,US,,,,,B00JG8TRGA,N/A,KU/KOLL Units,N/A,,,130.00,Pulled Within,Marni Mann
KDP,6/1/15,6/30/15,11,14.89602675,USD,US,,,,,B00JG8U6TC,N/A,KU/KOLL Units,N/A,,,14.90,Fractured Dream,K.M. Randall
KDP,6/1/15,6/30/15,1,1.75,USD,US,,,,,B00JPS6NJA,35%,Standard,4.99,,,1.75,The Joe Vampire Collection,Steven Luna
KDP,6/1/15,6/30/15,1,3.39,USD,US,,,,,B00JPS6NJA,70%,Standard,4.99,,,3.39,The Joe Vampire Collection,Steven Luna
KDP,6/1/15,6/30/15,4,5.416737,USD,US,,,,,B00JPS6NJA,N/A,KU/KOLL Units,N/A,,,5.42,The Joe Vampire Collection,Steven Luna
KDP,6/1/15,6/30/15,1,2.14,USD,US,,,,,B00JXWYORG,70%,Standard,3.12,,,2.14,If I Say Yes,Brandy Jellum
