Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,5/1/15,5/31/15,6,10.5,USD,US,,,,,B00408ASDM,35%,Standard,4.99,,,10.5,Invisible Ink,Brian McDonald
KDP,5/1/15,5/31/15,91,313.02,USD,US,,,,,B00408ASDM,70%,Standard,4.96,,,313.02,Invisible Ink,Brian McDonald
KDP,5/1/15,5/31/15,9,0,USD,US,,,,,B00408ASDM,70% - promo,Kindle MatchBook,4.99,,,0,Invisible Ink,Brian McDonald
KDP,5/1/15,5/31/15,1,1.5,USD,US,,,,,B004A14QHI,35%,Standard,4.29,,,1.5,The Golden Theme,Brian McDonald
KDP,5/1/15,5/31/15,29,79.99,USD,US,,,,,B004A14QHI,70%,Standard,4.92,,,79.99,The Golden Theme,Brian McDonald
KDP,5/1/15,5/31/15,2,0,USD,US,,,,,B004A14QHI,70% - promo,Kindle MatchBook,4.99,,,0,The Golden Theme,Brian McDonald
KDP,5/1/15,5/31/15,2,4,USD,US,,,,,B004SRC4YG,70%,Standard,2.99,,,4,Sweet Song,Terry Persun
KDP,5/1/15,5/31/15,1,1.05,USD,US,,,,,B004WDRYVE,35%,Standard,2.99,,,1.05,Riversong,Tess Thompson
KDP,5/1/15,5/31/15,126,257.77,USD,US,,,,,B004WDRYVE,70%,Standard,3,,,257.77,Riversong,Tess Thompson
KDP,5/1/15,5/31/15,2,4.16,USD,US,,,,,B004Y76MFW,70%,Standard,2.99,,,4.16,Lark Eden,Natalie Symons
KDP,5/1/15,5/31/15,2,5.48,USD,US,,,,,B005F7ENVU,70%,Standard,3.99,,,5.48,Cathedral of Dreams,Terry Persun
KDP,5/1/15,5/31/15,1,2.04,USD,US,,,,,B005F7G33G,70%,Standard,2.99,,,2.04,A Kingdom's Possession,Nicole J. Persun
KDP,5/1/15,5/31/15,488,0,USD,US,,,,,B005J6GYIM,N/A,Free - Price Match,2.99,,,0,Throwaway,Heather Huffman
