Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
KDP,8/1/15,8/31/15,2,6.94,USD,US,,,,,B00408A724,70%,Standard,4.99,,, 6.94 ,Home Field: Writers Remember Baseball,Sherman Alexie,,
KDP,8/1/15,8/31/15,8,13.04,USD,US,,,,,B00408ASDM,35%,Standard,4.65,,, 13.04 ,Invisible Ink,Brian McDonald,,
KDP,8/1/15,8/31/15,85,289.35,USD,US,,,,,B00408ASDM,70%,Standard,4.9,,, 289.35 ,Invisible Ink,Brian McDonald,,
KDP,8/1/15,8/31/15,8,0,USD,US,,,,,B00408ASDM,70% - promo,Kindle MatchBook,4.99,,, -   ,Invisible Ink,Brian McDonald,,
KDP,8/1/15,8/31/15,1,5.56,USD,US,,,,,B00413PU02,70%,Standard,7.99,,, 5.56 ,The First Father Abraham,Henry Hanoch Abramovitch,,
KDP,8/1/15,8/31/15,2,3.5,USD,US,,,,,B004A14QHI,35%,Standard,4.99,,, 3.50 ,The Golden Theme,Brian McDonald,,
KDP,8/1/15,8/31/15,25,64.12,USD,US,,,,,B004A14QHI,70%,Standard,4.91,,, 64.12 ,The Golden Theme,Brian McDonald,,
KDP,8/1/15,8/31/15,1,0,USD,US,,,,,B004A14QHI,70% - promo,Kindle MatchBook,4.99,,, -   ,The Golden Theme,Brian McDonald,,
KDP,8/1/15,8/31/15,0,0,USD,US,,,,,B004GXAYCQ,70%,Standard,6.95,,, -   ,Spots Blind,Linda Lavid,,
KDP,8/1/15,8/31/15,0,0,USD,US,,,,,B004I43SO4,70%,Standard,2.99,,, -   ,Dove Creek,Paula Marie Coomer,,
KDP,8/1/15,8/31/15,5,10,USD,US,,,,,B004SRC4YG,70%,Standard,2.99,,, 10.00 ,Sweet Song,Terry Persun,,
KDP,8/1/15,8/31/15,77,156.55,USD,US,,,,,B004WDRYVE,70%,Standard,2.98,,, 156.55 ,Riversong,Tess Thompson,,
KDP,8/1/15,8/31/15,0,0,USD,US,,,,,B004WDYFWK,70%,Standard,2.99,,, -   ,Giver of Gifts,Terry Persun,,
KDP,8/1/15,8/31/15,1,2.08,USD,US,,,,,B004Y76MFW,70%,Standard,2.99,,, 2.08 ,Lark Eden,Natalie Symons,,
KDP,8/1/15,8/31/15,1,2,USD,US,,,,,B0058UNN8I,70%,Standard,2.99,,, 2.00 ,Thank You For Flying Air Zoe,Erik Atwell,,
KDP,8/1/15,8/31/15,1,2.74,USD,US,,,,,B005F7ENVU,70%,Standard,3.99,,, 2.74 ,Cathedral of Dreams,Terry Persun,,
KDP,8/1/15,8/31/15,391,0,USD,US,,,,,B005J6GYIM,,Free - Price Match,2.99,,, -   ,Throwaway,Heather Huffman,,
KDP,8/1/15,8/31/15,4,8.2,USD,US,,,,,B005M780C6,70%,Standard,2.99,,, 8.20 ,Suddenly a Spy,Heather Huffman,,
KDP,8/1/15,8/31/15,2,4.12,USD,US,,,,,B005S19K1G,70%,Standard,2.99,,, 4.12 ,Ties That Bind,Heather Huffman,,
KDP,8/1/15,8/31/15,1,6.78,USD,US,,,,,B005UG3GPU,70%,Standard,9.99,,, 6.78 ,Bottom-Line Selling: The Sales Professional's Guide to Improving Customer Profits,Jack Malcolm,,
KDP,8/1/15,8/31/15,3,8.07,USD,US,,,,,B0066DYMJU,70%,Standard,3.99,,, 8.07 ,"Don Juan in Hankey, PA",Gale Martin,,
KDP,8/1/15,8/31/15,9,18.19,USD,US,,,,,B006GWDUHQ,70%,Standard,2.96,,, 18.19 ,Jailbird,Heather Huffman,,
KDP,8/1/15,8/31/15,16,32.64,USD,US,,,,,B006JGFE32,70%,Standard,2.99,,, 32.64 ,Ring of Fire,Heather Huffman,,
KDP,8/1/15,8/31/15,3,4.2,USD,US,,,,,B006OO7L58,35%,Standard,3.99,,, 4.20 ,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,,
KDP,8/1/15,8/31/15,101,273.98,USD,US,,,,,B006OO7L58,70%,Standard,3.95,,, 273.98 ,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,,
KDP,8/1/15,8/31/15,4,13.76,USD,US,,,,,B0076OEJP0,70%,Standard,4.99,,, 13.76 ,The Essential Stay-at-Home Mom Manual: How to Have a Wondrous Life Amidst Kids and Chaos,Shannon Hyland-Tassava,,
KDP,8/1/15,8/31/15,-1,-0.35,USD,US,,,,,B007E5A0SQ,35%,Standard,0.99,,,-0.35 ,"Eat In, Not Out:  The Learn-How-to-Cook Book, Without the Recipes",Melinda Hinson Neely,,
KDP,8/1/15,8/31/15,37,13.04,USD,US,,,,,B007G04KK8,35%,Standard,1,,, 13.04 ,Tumbleweed,Heather Huffman,,
KDP,8/1/15,8/31/15,2,3.71,USD,US,,,,,B007MFTIVS,70%,Standard,2.78,,, 3.71 ,Bumbling into Body Hair: A Transsexual's Memoir,Everett Maroon,,
