Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,Imprint
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9780984178605,,,,,16.95,,0,0,Unoriginal Misunderstanding - Press Freedom in Early America and Interpretation of the First Amendment,"Shear, Kenneth",Libertary Co.
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9780984178612,,,,,6.99,,0,0,Luscious Chocolate Smoothies: An Irresistible Collection of Healthy Cocoa Delights,"Constans, Gabriel",Libertary Co.
LSI,7/1/15,7/31/15,59,316.67,USD,United States,,,9780984178629,,,,,18.95,,5.367288136,316.67,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.
LSI,7/1/15,7/31/15,1,8.41,USD,United States,,,9780984178650,,,,,14.95,,8.41,8.41,The First Father Abraham: The Psychology and Culture of a Spiritual Revolutionary,"Abramovitch, Henry Hanoch",Libertary Co.
LSI,7/1/15,7/31/15,2,4.84,USD,United States,,,9780984178667,,,,,13.95,,2.42,4.84,Home Field: Writers Remember Baseball,"Alexie, Sherman",Libertary Co.
LSI,7/1/15,7/31/15,5,16.7,USD,United States,,,9780984178674,,,,,12.95,,3.34,16.7,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.
LSI,7/1/15,7/31/15,1,2.33,USD,United States,,,9780984178681,,,,,12.95,,2.33,2.33,"Paging Dr. Leff: Pride, Patriotism and Protest","Constans, Gabriel",Libertary Co.
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9781513700014,,,,,16.95,,0,0,"Blood, Spirit & Bone","Thompson, Camela",Booktrope Editions
LSI,7/1/15,7/31/15,3,10.59,USD,United States,,,9781513700052,,,,,16.95,,3.53,10.59,Red Nights,"Ryan, Shari J.",Booktrope Editions
LSI,7/1/15,7/31/15,2,4.8,USD,United States,,,9781513700205,,,,,11.95,,2.4,4.8,The Devil Within,"Greene, Lauren",Booktrope Editions
LSI,7/1/15,7/31/15,1,2.67,USD,United States,,,9781513700342,,,,,12.95,,2.67,2.67,The Dead Cat Paradox,"Rise, S.E.",Forsaken
LSI,7/1/15,7/31/15,2,6.8,USD,United States,,,9781513700427,,,,,19.95,,3.4,6.8,Devil's Nightmare,"Pruneda, Robert",Forsaken
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9781513700755,,,,,20.95,,0,0,Josie Jameson and the Fourth Tombstone,"Hotes, Jennifer",Booktrope Editions
LSI,7/1/15,7/31/15,1,2.58,USD,United States,,,9781513700809,,,,,11.95,,2.58,2.58,Falling for Him,"Stephens, Amy",Booktrope Editions
LSI,7/1/15,7/31/15,5,17.05,USD,United States,,,9781513700885,,,,,17.95,,3.41,17.05,Women in Red,"Rosenfeld, Jordan",Booktrope Editions
LSI,7/1/15,7/31/15,13,34.97,USD,United States,,,9781513701219,,,,,12.95,,2.69,34.97,Kolea,"Cahill, Russell",Booktrope Editions
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9781620151181,,,,,17.95,,0,0,A Tainted Mind (a Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions
LSI,7/1/15,7/31/15,7,9.38,USD,United States,,,9781620151242,,,,,9.95,,1.34,9.38,Write Within Yourself: An Author's Companion,"Kenower, William",Booktrope Editions
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9781620151259,,,,,29.95,,0,0,The Art of Selling Real Estate,"Cliff, Patricia",Booktrope Editions
LSI,7/1/15,7/31/15,0,0,USD,United States,,,9781620151310,,,,,10.95,,0,0,Haunted,"Maksym, Eileen",Booktrope Editions
