Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,Imprint
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9780984178605,,,,,16.95,,0,0,Unoriginal Misunderstanding - Press Freedom in Early America and Interpretation of the First Amendment,"Shear, Kenneth",Libertary Co.
LSI,6/1/15,6/30/15,1,1.89,USD,United States,,,9780984178612,,,,,6.99,,1.89,1.89,Luscious Chocolate Smoothies: An Irresistible Collection of Healthy Cocoa Delights,"Constans, Gabriel",Libertary Co.
LSI,6/1/15,6/30/15,19,102.98,USD,United States,,,9780984178629,,,,,18.95,,5.42,102.98,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9780984178650,,,,,14.95,,0,0,The First Father Abraham: The Psychology and Culture of a Spiritual Revolutionary,"Abramovitch, Henry Hanoch",Libertary Co.
LSI,6/1/15,6/30/15,5,12.1,USD,United States,,,9780984178667,,,,,13.95,,2.42,12.1,Home Field: Writers Remember Baseball,"Alexie, Sherman",Libertary Co.
LSI,6/1/15,6/30/15,9,30.06,USD,United States,,,9780984178674,,,,,12.95,,3.34,30.06,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9781513700014,,,,,16.95,,0,0,"Blood, Spirit & Bone","Thompson, Camela",Booktrope Editions
LSI,6/1/15,6/30/15,20,70.6,USD,United States,,,9781513700052,,,,,16.95,,3.53,70.6,Red Nights,"Ryan, Shari J.",Booktrope Editions
LSI,6/1/15,6/30/15,1,3.67,USD,United States,,,9781513700755,,,,,20.95,,3.67,3.67,Josie Jameson and the Fourth Tombstone,"Hotes, Jennifer",Booktrope Editions
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9781620151181,,,,,17.95,,0,0,A Tainted Mind (a Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions
LSI,6/1/15,6/30/15,18,24.12,USD,United States,,,9781620151242,,,,,9.95,,1.34,24.12,Write Within Yourself: An Author's Companion,"Kenower, William",Booktrope Editions
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9781620151259,,,,,29.95,,0,0,The Art of Selling Real Estate,"Cliff, Patricia",Booktrope Editions
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9781620151310,,,,,10.95,,0,0,Haunted,"Maksym, Eileen",Booktrope Editions
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9781620151334,,,,,12.95,,0,0,A Sliver of Hope,"Nellenbach, Karla J.",Booktrope Editions
LSI,6/1/15,6/30/15,1,3.23,USD,United States,,,9781620151372,,,,,14.95,,3.23,3.23,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet","Coomer, Paula Marie",Booktrope Editions
LSI,6/1/15,6/30/15,2,6.12,USD,United States,,,9781620151419,,,,,16.95,,3.06,6.12,Seducer Fey,"Royson, Cullyn",Booktrope Editions
LSI,6/1/15,6/30/15,2,6.38,USD,United States,,,9781620151426,,,,,16.95,,3.19,6.38,Riverbend,"Thompson, Tess",Booktrope Editions
LSI,6/1/15,6/30/15,0,0,USD,United States,,,9781620151440,,,,,14.95,,0,0,Country Music's Jim Owen: An Amazing Life (an Unauthorized Autobiography),"Owen, Jim",Booktrope Editions
