Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type, KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Nook,5/1/15,5/31/15,2,6.48,USD,US,2940150100022,9781620157404,,,,,,4.99,,3.24,6.48,Duet for Three Hands,,Booktrope,5/1/15
Nook,5/1/15,5/31/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,5/1/15
Nook,5/1/15,5/31/15,1,3.89,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,3.89,Seasons' End,,Booktrope,5/1/15
Nook,5/1/15,5/31/15,2,5.18,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,5.18,The Duke Im Going to Marry,,Booktrope,5/1/15
Nook,5/1/15,5/31/15,1,1.94,USD,US,2940148213123,9781620153031,,,,,,2.99,,1.94,1.94,The Unintentional Time Traveler,,Booktrope,5/1/15
Nook,5/1/15,5/31/15,1,0.4,USD,US,2940149368563,9781620153789,,,,,,0.99,,0.4,0.4,Unbreakable Bonds,,Booktrope,5/1/15
Nook,5/1/15,5/31/15,1,0.4,USD,US,2940149744619,9781620154748,,,,,,0.99,,0.4,0.4,Dangled Carat,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,3.24,USD,US,2940150100022,9781620157404,,,,,,4.99,,3.24,3.24,Duet for Three Hands,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,2.59,USD,US,2940148141921,9781620151068,,,,,,3.99,,2.59,2.59,"Hear No Evil (for fans of Arthur C. Clarke, Isaac Asimov, and Eric Flint)",,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,3.24,USD,US,2940012218018,9781620150016,,,,,,4.99,,3.24,3.24,Invisible Ink,,Libertary,5/2/15
Nook,5/1/15,5/31/15,1,3.24,USD,US,2940151556224,9781620157374,,,,,,4.99,,3.24,3.24,Red Tide,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,2.59,USD,US,2940150658936,9781620155271,,,,,,3.99,,2.59,2.59,Spring Shadows,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,2.59,USD,US,2940150183667,9781620156834,,,,,,3.99,,2.59,2.59,Summer Champagne,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,2,5.18,USD,US,2940148596806,9781620152638,,,,,,3.99,,2.59,5.18,The Old Cape House,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,2.59,USD,US,2940149696833,9781620154502,,,,,,3.99,,2.59,2.59,Winter Hopes,,Booktrope,5/2/15
Nook,5/1/15,5/31/15,1,3.24,USD,US,2940150100022,9781620157404,,,,,,4.99,,3.24,3.24,Duet for Three Hands,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,1,3.89,USD,US,2940016164779,9781620151174,,,,,,5.99,,3.89,3.89,Fiery Hearts Collection,,Booktrope Editions,5/3/15
Nook,5/1/15,5/31/15,1,0.4,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.4,Ghosts,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,1,1.94,USD,US,2940150661530,9781620154557,,,,,,2.99,,1.94,1.94,Heart of a Rocky,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,1,2.59,USD,US,2940150719804,9781620155158,,,,,,3.99,,2.59,2.59,My Fair Lily,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,2,3.88,USD,US,2940151442640,9781620158579,,,,,,2.99,,1.94,3.88,Netherworld,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,4,15.56,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,15.56,Seasons' End,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,1,2.59,USD,US,2940150658936,9781620155271,,,,,,3.99,,2.59,2.59,Spring Shadows,,Booktrope,5/3/15
Nook,5/1/15,5/31/15,1,1.94,USD,US,2940151632232,9781620157329,,,,,,2.99,,1.94,1.94,The Daring Assignment,,Entice by Booktrope,5/3/15
Nook,5/1/15,5/31/15,2,5.18,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,5.18,The Duke Im Going to Marry,,Booktrope,5/3/15
