Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type, KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Nook,8/1/15,8/31/15,1,3.24,USD,US,2940151252423,9781620154106,,,,,,4.99,,3.24,3.24,A Decent Woman,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,2.59,USD,US,2940149328000,9781620153857,,,,,,3.99,,2.59,2.59,Emerald Destiny,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,1.94,USD,US,2940150820227,9781513701011,,,,,,2.99,,1.94,1.94,Falling for Him,,Booktrope Editions,8/1/15
Nook,8/1/15,8/31/15,1,0.4,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.4,Ghosts,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,2,3.88,USD,US,2940148525332,9781620152546,,,,,,2.99,,1.94,3.88,Just Friends with Benefits,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,2.59,USD,US,2940150719804,9781620155158,,,,,,3.99,,2.59,2.59,My Fair Lily,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,2.59,USD,US,2940151592222,9781620158142,,,,,,3.99,,2.59,2.59,Never Forgotten Love,,Entice by Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,0.8,USD,US,2940151333085,9781513700113,,,,,,1.99,,0.8,0.8,Red Nights,,Booktrope Editions,8/1/15
Nook,8/1/15,8/31/15,1,3.24,USD,US,2940151556224,9781620157374,,,,,,4.99,,3.24,3.24,Red Tide,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,2.59,USD,US,2940151373791,9781620157749,,,,,,3.99,,2.59,2.59,Roses are Red Violet is Dead,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,3.89,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,3.89,Seasons' End,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,2.59,USD,US,2940150183667,9781620156834,,,,,,3.99,,2.59,2.59,Summer Champagne,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,2.59,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,2.59,The Duke Im Going to Marry,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,0.4,USD,US,2940150717589,9781620155660,,,,,,0.99,,0.4,0.4,The Inn at Laurel Creek,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,3.89,USD,US,2940149952182,9781620157053,,,,,,5.99,,3.89,3.89,Uncharted Territory,,Booktrope,8/1/15
Nook,8/1/15,8/31/15,1,1.94,USD,US,2940151645966,9781620159323,,,,,,2.99,,1.94,1.94,Alien Love,,Booktrope,8/2/15
Nook,8/1/15,8/31/15,1,1.94,USD,US,2940149744619,9781620154748,,,,,,2.99,,1.94,1.94,Dangled Carat,,Booktrope,8/2/15
Nook,8/1/15,8/31/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,8/2/15
Nook,8/1/15,8/31/15,1,1.94,USD,US,2940150794856,9781513701431,,,,,,2.99,,1.94,1.94,Macyn's Awakening,,Booktrope Editions,8/2/15
