Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Oyster,8/1/15,,1,1.5,USD,US,,9781620150283,,,,,,2.99,,1.5,1.5,Throwaway,Heather Huffman,Booktrope Editions,
Oyster,8/1/15,,2,3,USD,US,,9781620150436,,,,,,2.99,,1.5,3,Ring of Fire,Heather Huffman,Booktrope Editions,
Oyster,8/1/15,,1,1.5,USD,US,,9781620151037,,,,,,2.99,,1.5,1.5,Dizzy in Karachi,Maliha Masood,Booktrope Editions,
Oyster,8/1/15,,12,18,USD,US,,9781620150337,,,,,,2.99,,1.5,18,Memoirs Aren't Fairytales,Marni Mann,Booktrope Editions,
Oyster,8/1/15,,18,27,USD,US,,9781620152546,,,,,,2.99,,1.5,27,Just Friends with Benefits,Meredith Schorr,Booktrope Editions,
Oyster,8/1/15,,4,8,USD,US,,9781620152690,,,,,,3.99,,2,8,The Dark Light of Day,T.M. Frazier,Booktrope Editions,
Oyster,8/1/15,,2,5,USD,US,,9781620150016,,,,,,4.99,,2.5,5,Invisible Ink,Brian McDonald,Booktrope Editions,
Oyster,8/1/15,,1,2,USD,US,,9781620150054,,,,,,3.99,,2,2,The Golden Theme,Brian McDonald,Booktrope Editions,
Oyster,8/1/15,,1,2.5,USD,US,,9781620150795,,,,,,4.99,,2.5,2.5,Ink Spots,Brian McDonald,Booktrope Editions,
Oyster,8/1/15,,1,1.5,USD,US,,9781620150344,,,,,,2.99,,1.5,1.5,Jailbird,Heather Huffman,Booktrope Editions,
Oyster,8/1/15,,11,5.5,USD,US,,9781620150467,,,,,,0.99,,0.5,5.5,Tumbleweed,Heather Huffman,Booktrope Editions,
Oyster,8/1/15,,7,14,USD,US,,9781620150689,,,,,,3.99,,2,14,Scars from a Memoir,Marni Mann,Booktrope Editions,
Oyster,8/1/15,,4,14,USD,US,,9781620153628,,,,,,6.99,,3.5,14,Memoirs Collection,Marni Mann,Booktrope Editions,
Oyster,8/1/15,,1,2,USD,US,,9781620154243,,,,,,3.99,,2,2,Last Impressions,A.J. Aalto,Booktrope Editions,
Oyster,8/1/15,,4,10,USD,US,,9781620153093,,,,,,4.99,,2.5,10,Harm None,Will North,Booktrope Editions,
Oyster,8/1/15,,5,12.5,USD,US,,9781620154168,,,,,,4.99,,2.5,12.5,Zeus is Dead,Michael G. Munz,Booktrope Editions,
Oyster,8/1/15,,1,2.5,USD,US,,9781620155684,,,,,,4.99,,2.5,2.5,A Shadow in the Flames,Michael G. Munz,Booktrope Editions,
Oyster,8/1/15,,1,2,USD,US,,9781620157732,,,,,,3.99,,2,2,Rachel's Folly,Monica Bruno,Booktrope Editions,
