Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,7/1/15,7/31/15,,2.5,usd,Canada,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,7/1/15,7/31/15,,1.5,usd,Canada,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,7/1/15,7/31/15,,1.5,usd,South Africa,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,7/1/15,7/31/15,,1.5,usd,Australia,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,7/1/15,7/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,7/1/15,7/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,7/1/15,7/31/15,,1.5,usd,United States,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,7/1/15,7/31/15,,2,usd,United States,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,Booktrope Publishing
Scribd,7/1/15,7/31/15,,2,usd,United States,,9781620150689,,,,,,3.99,,2,,Scars from a Memoir,Marni Mann,Booktrope Publishing
Scribd,6/1/15,6/30/15,,4.5,usd,United States,,9781620150931,,,,,,8.99,,4.5,,The Art of Selling Real Estate,,
Scribd,6/1/15,6/30/15,,2.5,usd,United States,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,6/1/15,6/30/15,,1.5,usd,United States,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,6/1/15,6/30/15,,1.5,usd,Italy,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,6/1/15,6/30/15,,1.5,usd,Singapore,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,6/1/15,6/30/15,,1.5,usd,United States,,9781620151037,,,,,,2.99,,1.5,,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,Booktrope Publishing
