Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
iTunes,7/1/15,7/31/15,5,21,USD,US,,9781620152652,,794142892,,,,5.99,,,21,Seasons' End,Will North,
iTunes,7/1/15,7/31/15,98,68.6,USD,US,,9781620159712,,991483836,,,,0.99,,,68.6,The Broken Road,Melissa Huie,
iTunes,7/1/15,7/31/15,3,16.8,USD,US,,9781620150795,,582311219,,,,7.99,,,16.8,Ink Spots,Brian McDonald,
iTunes,7/1/15,7/31/15,1,3.5,USD,US,,9781513700991,,1017133759,,,,4.99,,,3.5,Disenchanted,Janet Ursel,
iTunes,7/1/15,7/31/15,28,19.6,USD,US,,9781620150351,,532579654,,,,0.99,,,19.6,How to Market a Book,"Lori Culwell,Katherine Sears",
iTunes,7/1/15,7/31/15,1,2.1,USD,US,,9781620150665,,579110075,,,,2.99,,,2.1,Running in Darkness,James Daly,
iTunes,7/1/15,7/31/15,8,22.4,USD,US,,9781620150689,,549635648,,,,3.99,,,22.4,Scars from a Memoir,Marni Mann,
iTunes,7/1/15,7/31/15,1,3.5,USD,US,,9781620156650,,962247664,,,,4.99,,,3.5,Earth,Caroline Allen,
iTunes,7/1/15,7/31/15,1,3.5,USD,US,,9781935961260,,501027628,,,,4.99,,,3.5,The Essential Stay-at-Home Mom Manual,Shannon Hyland-Tassava,
iTunes,7/1/15,7/31/15,4,11.2,USD,US,,9781620159712,,991483836,,,,3.99,,,11.2,The Broken Road,Melissa Huie,
iTunes,7/1/15,7/31/15,2,7,USD,US,,9781620154748,,903086856,,,,4.99,,,7,Dangled Carat,Hilary Grossman,
iTunes,7/1/15,7/31/15,2,9.8,USD,US,,9781620157091,,978750571,,,,6.99,,,9.8,This Thing We Call Sex,David Steinberg,
iTunes,7/1/15,7/31/15,1,0.7,USD,US,,9781620155165,,914288632,,,,0.99,,,0.7,Waiting,Bonnie Dodge,
iTunes,7/1/15,7/31/15,2,5.6,USD,US,,9781620159057,,999965266,,,,3.99,,,5.6,Shades of Blue,Dana Tanaro Britt,
iTunes,7/1/15,7/31/15,2,5.6,USD,US,,9781620154243,,887560589,,,,3.99,,,5.6,Last Impressions,AJ Aalto,
