Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
iTunes,6/1/15,6/30/15,1,1.4,USD,US,,9781620159804,,994369352,,,,1.99,,,1.4,Unblocked - Episode Three,Marni Mann,
iTunes,6/1/15,6/30/15,14,58.8,USD,US,,9781620159873,,1000255300,,,,5.99,,,58.8,Too Clever By Half,Will North,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620154885,,899402894,,,,3.99,,,2.8,What I Really Learned In College,Addison Winters,
iTunes,6/1/15,6/30/15,3,8.4,USD,US,,9781620159859,,994374810,,,,3.99,,,8.4,Downcast,Cait Reynolds,
iTunes,6/1/15,6/30/15,1,0.7,USD,US,,9781620150832,,657392206,,,,0.99,,,0.7,Changeling Eyes,L.A. Catron,
iTunes,6/1/15,6/30/15,29,20.3,USD,US,,9781620157367,,983129457,,,,0.99,,,20.3,Three-Year-Olds Are A**holes,Sarah Fader,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620159941,,1008147951,,,,4.99,,,3.5,The Anonymous Source,A.C. Fuller,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620157800,,982060735,,,,3.99,,,2.8,Catching Tatum,Lucy H. Delaney,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620156087,,947175435,,,,3.99,,,2.8,How Do You Know?,Meredith Schorr,
iTunes,6/1/15,6/30/15,1,2.1,USD,US,,9781620156667,,982102834,,,,2.99,,,2.1,The Opposite of Love,Dahlia Salvatore,
iTunes,6/1/15,6/30/15,25,17.5,USD,US,,9781620156575,,942808622,,,,0.99,,,17.5,Ghosts,Heather Huffman,
iTunes,6/1/15,6/30/15,2,5.6,USD,US,,9781620157923,,992002124,,,,3.99,,,5.6,Underwater Secrets,EJ Hanagan,
iTunes,6/1/15,6/30/15,57,119.7,USD,US,,9781620150436,,487424092,,,,2.99,,,119.7,Ring of Fire,Heather Huffman,
iTunes,6/1/15,6/30/15,4,2.8,USD,US,,9781620157909,,980483809,,,,0.99,,,2.8,Unblocked - Episode Two,Marni Mann,
iTunes,6/1/15,6/30/15,6,12.6,USD,US,,9781620150313,,480519951,,,,2.99,,,12.6,Suddenly a Spy,Heather Huffman,
iTunes,6/1/15,6/30/15,3,8.4,USD,US,,9781620156834,,961839095,,,,3.99,,,8.4,Summer Champagne,Jennifer Gracen,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620158258,,992289838,,,,3.99,,,2.8,Frozen Dreams,Cori Williams,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620158654,,989501841,,,,4.99,,,3.5,Designing Samantha's Love,PJ Fiala,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620158593,,1008154608,,,,4.99,,,3.5,Forget Me Knot,Ruth Silver,
iTunes,6/1/15,6/30/15,8,22.4,USD,US,,9781620152423,,691556724,,,,3.99,,,22.4,Riverstar,Tess Thompson,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620152713,,795058166,,,,4.99,,,3.5,Living and Dying with Dogs,Duke Miller,
iTunes,6/1/15,6/30/15,71,49.7,USD,US,,9781620153093,,904181911,,,,0.99,,,49.7,Harm None,Will North,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620156551,,989503311,,,,4.99,,,3.5,A Thirty-Something Girl,Lisa M. Gott,
iTunes,6/1/15,6/30/15,21,14.7,USD,US,,9781620159293,,980489152,,,,0.99,,,14.7,Sins,Heather Huffman,
iTunes,6/1/15,6/30/15,10,21,USD,US,,9781620154700,,894711760,,,,2.99,,,21,Blue Midnight,Tess Thompson,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620150580,,811613539,,,,4.99,,,3.5,The Girls: Sappho Goes to Hollywood,Diana McLellan,
iTunes,6/1/15,6/30/15,11,30.8,USD,US,,9781620155158,,930738587,,,,3.99,,,30.8,My Fair Lily,Meara Platt,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620158548,,998801998,,,,3.99,,,2.8,Crossover,Mireille Chester,
iTunes,6/1/15,6/30/15,2,2.8,USD,US,,9781620155165,,914288632,,,,1.99,,,2.8,Waiting,Bonnie Dodge,
iTunes,6/1/15,6/30/15,6,12.6,USD,US,,9781935961147,,440610146,,,,2.99,,,12.6,Riversong,Tess Thompson,
iTunes,6/1/15,6/30/15,1,4.2,USD,US,,9781620156094,,954738191,,,,5.99,,,4.2,"Last Stop, The Twilight Zone: The Biography of Rod Serling",Joel Engel,
iTunes,6/1/15,6/30/15,8,16.8,USD,US,,9781620152478,,666120396,,,,2.99,,,16.8,Fool's Game,Heather Huffman,
iTunes,6/1/15,6/30/15,1,2.1,USD,US,,9781620151228,,680187496,,,,2.99,,,2.1,A Sliver of Hope,Karla J. Nellenbach,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781513700472,,1004865711,,,,4.99,,,3.5,Dog Days of Summer,PJ Fiala,
iTunes,6/1/15,6/30/15,4,16.8,USD,US,,9781620152652,,794142892,,,,5.99,,,16.8,Seasons' End,Will North,
iTunes,6/1/15,6/30/15,2,1.4,USD,US,,9781620159804,,994369352,,,,0.99,,,1.4,Unblocked - Episode Three,Marni Mann,
iTunes,6/1/15,6/30/15,1,0.7,USD,US,,9781620158661,,990676605,,,,0.99,,,0.7,Unexpected Chances,A.M. Willard,
iTunes,6/1/15,6/30/15,1,2.1,USD,US,,9781620150511,,521124832,,,,2.99,,,2.1,Tulip Season,Bharti Kirchner,
iTunes,6/1/15,6/30/15,2,1.4,USD,US,,9781620157053,,964404454,,,,0.99,,,1.4,Uncharted Territory,Carolyn Ridder Aspenson,
iTunes,6/1/15,6/30/15,3,10.5,USD,US,,9781620150054,,665100611,,,,4.99,,,10.5,The Golden Theme,Brian McDonald,
iTunes,6/1/15,6/30/15,8,39.2,USD,US,,9781620153093,,904181911,,,,6.99,,,39.2,Harm None,Will North,
iTunes,6/1/15,6/30/15,8,33.6,USD,US,,9781620151273,,591472124,,,,5.99,,,33.6,Fiery Hearts Collection,Heather Huffman,
