Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Sale Date
CreateSpace,5/1/15,5/31/15,1,5.29,USD,United States,,,9781935961642,,1935961640,,,15.95,,,5.29,Scars From a Memoir,,5/1/15
CreateSpace,5/1/15,5/31/15,1,5.29,USD,United States,,,9781935961642,,1935961640,,,15.95,,,5.29,Scars From a Memoir,,5/1/15
CreateSpace,5/1/15,5/31/15,1,6.18,USD,United States,,,9781620152133,,1620152134,,,16.95,,,6.18,Harm None,,5/1/15
CreateSpace,5/1/15,5/31/15,1,4.55,USD,United States,,,9781935961970,,1935961977,,,11.95,,,4.55,The Romance of Grace,,5/1/15
CreateSpace,5/1/15,5/31/15,1,4.74,USD,United States,,,9781620157152,,1620157152,,,13.95,,,4.74,Red Tide,,5/1/15
CreateSpace,5/1/15,5/31/15,1,5.94,USD,United States,,,9781620156513,,1620156512,,,15.95,,,5.94,Earth,,5/1/15
CreateSpace,5/1/15,5/31/15,1,3.84,USD,United States,,,9781620151815,,1620151812,,,9.99,,,3.84,Bending Time,,5/1/15
CreateSpace,5/1/15,5/31/15,1,5.29,USD,United States,,,9781935961642,,1935961640,,,15.95,,,5.29,Scars From a Memoir,,5/1/15
CreateSpace,5/1/15,5/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,5/1/15
CreateSpace,5/1/15,5/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,5/1/15
CreateSpace,5/1/15,5/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,5/1/15
CreateSpace,5/1/15,5/31/15,1,5.68,USD,United States,,,9781935961291,,1935961292,,,15.95,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,5/1/15
CreateSpace,5/1/15,5/31/15,1,5.48,USD,United States,,,9781620155950,,1620155958,,,14.95,,,5.48,Blood & Spirits,,5/1/15
CreateSpace,5/1/15,5/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,5/1/15
CreateSpace,5/1/15,5/31/15,1,5.29,USD,United States,,,9781935961642,,1935961640,,,15.95,,,5.29,Scars From a Memoir,,5/1/15
CreateSpace,5/1/15,5/31/15,1,4.62,USD,United States,,,9781620159422,,1620159422,,,11.95,,,4.62,Walk on the Wild Side; The Reinvention of Violet Monte,,5/1/15
CreateSpace,5/1/15,5/31/15,1,6.52,USD,United States,,,9781620151693,,1620151693,,,16.95,,,6.52,Seasons' End,,5/2/15
CreateSpace,5/1/15,5/31/15,1,4.98,USD,United States,,,9781620157602,,1620157608,,,13.95,,,4.98,Fall of Knight,,5/2/15
CreateSpace,5/1/15,5/31/15,1,6.13,USD,United States,,,9781620154618,,1620154617,,,16.95,,,6.13,The Paragraph Ranch,,5/2/15
CreateSpace,5/1/15,5/31/15,1,6.49,USD,United States,,,9781935961895,,1935961896,,,16.95,,,6.49,The Art of Selling Real Estate,,5/2/15
CreateSpace,5/1/15,5/31/15,1,1.74,USD,United States,,,9781935961956,,1935961950,,,8.99,,,1.74,Princesses Can Be Pirates Too!,,5/2/15
CreateSpace,5/1/15,5/31/15,1,6.95,USD,United States,,,9781620157183,,1620157187,,,19.95,,,6.95,Duet for Three Hands,,5/2/15
CreateSpace,5/1/15,5/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,5/2/15
CreateSpace,5/1/15,5/31/15,1,5.58,USD,United States,,,9781620157930,,1620157934,,,14.95,,,5.58,The Garden of Unfortunate Souls,,5/2/15
CreateSpace,5/1/15,5/31/15,1,6.64,USD,United States,,,9781620151747,,162015174X,,,18.95,,,6.64,A Medical Affair,,5/2/15
CreateSpace,5/1/15,5/31/15,1,6.37,USD,United States,,,9781620158036,,1620158035,,,16.95,,,6.37,Walking Home,,5/2/15
CreateSpace,5/1/15,5/31/15,1,10.55,USD,United States,,,9781935961918,,1935961918,,,22.95,,,10.55,The Art of Grant Writing,,5/2/15
CreateSpace,5/1/15,5/31/15,1,5.7,USD,United States,,,9781620154410,,1620154412,,,14.95,,,5.7,My Fluorescent God,,5/2/15
CreateSpace,5/1/15,5/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,5/2/15
CreateSpace,5/1/15,5/31/15,1,5.68,USD,United States,,,9781935961291,,1935961292,,,15.95,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,5/2/15
CreateSpace,5/1/15,5/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,5/2/15
CreateSpace,5/1/15,5/31/15,1,3.73,USD,United States,,,9781620151853,,1620151855,,,9.95,,,3.73,Instructions for the Wishing Light,,5/3/15
CreateSpace,5/1/15,5/31/15,1,8.48,USD,United States,,,9780984178629,,984178627,,,18.95,,,8.48,Invisible Ink,,5/3/15
CreateSpace,5/1/15,5/31/15,1,5.08,USD,United States,,,9781620154434,,1620154439,,,13.95,,,5.08,OFFSIDE: A Mystery,,5/3/15
CreateSpace,5/1/15,5/31/15,1,5.44,USD,United States,,,9781620156896,,162015689X,,,12.95,,,5.44,Broken Places,,5/3/15
CreateSpace,5/1/15,5/31/15,1,4.98,USD,United States,,,9781620157602,,1620157608,,,13.95,,,4.98,Fall of Knight,,5/3/15
CreateSpace,5/1/15,5/31/15,1,6.37,USD,United States,,,9781935961826,,1935961829,,,16.95,,,6.37,Caramel and Magnolias,,5/3/15
CreateSpace,5/1/15,5/31/15,1,3.73,USD,United States,,,9781620151853,,1620151855,,,9.95,,,3.73,Instructions for the Wishing Light,,5/3/15
CreateSpace,5/1/15,5/31/15,1,4.42,USD,United States,,,9781620151600,,162015160X,,,10.95,,,4.42,Broken Pieces,,5/3/15
CreateSpace,5/1/15,5/31/15,1,6.11,USD,United States,,,9781620155875,,1620155877,,,16.95,,,6.11,How Do You Know?,,5/3/15
CreateSpace,5/1/15,5/31/15,1,3.88,USD,United States,,,9781620157145,,1620157144,,,13.95,,,3.88,Three-Year-Olds Are A**holes,,5/3/15
CreateSpace,5/1/15,5/31/15,1,4.62,USD,United States,,,9781620159422,,1620159422,,,11.95,,,4.62,Walk on the Wild Side; The Reinvention of Violet Monte,,5/4/15
CreateSpace,5/1/15,5/31/15,1,4.62,USD,United States,,,9781620159422,,1620159422,,,11.95,,,4.62,Walk on the Wild Side; The Reinvention of Violet Monte,,5/4/15
CreateSpace,5/1/15,5/31/15,1,4.74,USD,United States,,,9781620158883,,1620158884,,,11.95,,,4.74,Kindness Wins,,5/4/15
