Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,Imprint
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9780984178605,,,,,16.95,,0,0,Unoriginal Misunderstanding - Press Freedom in Early America and Interpretation of the  First Amendment,"Shear, Kenneth",Libertary Co.
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9780984178612,,,,,6.99,,0,0,Luscious Chocolate Smoothies: An Irresistible Collection of Healthy Cocoa Delights,"Constans, Gabriel",Libertary Co.
LSI,5/1/15,5/31/15,14,75.88,USD,United States,,,9780984178629,,,,,18.95,,5.42,75.88,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9780984178650,,,,,14.95,,0,0,The First Father Abraham: The Psychology and Culture of a Spiritual Revolutionary,"Abramovitch, Henry Hanoch",Libertary Co.
LSI,5/1/15,5/31/15,-10,-66.66,USD,United States,,,9780984178667,,,,,13.95,,6.666,-66.66,Home Field: Writers Remember Baseball,"Alexie, Sherman",Libertary Co.
LSI,5/1/15,5/31/15,5,16.7,USD,United States,,,9780984178674,,,,,12.95,,3.34,16.7,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.
LSI,5/1/15,5/31/15,15,46.8,USD,United States,,,9781513700014,,,,,16.95,,3.12,46.8,"Blood, Spirit & Bone","Thompson, Camela",Booktrope Editions
LSI,5/1/15,5/31/15,-1,-10.08,USD,United States,,,9781620151181,,,,,17.95,,10.08,-10.08,A Tainted Mind (a Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions
LSI,5/1/15,5/31/15,2,2.68,USD,United States,,,9781620151242,,,,,9.95,,1.34,2.68,Write Within Yourself: An Author's Companion,"Kenower, William",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151259,,,,,29.95,,0,0,The Art of Selling Real Estate,"Cliff, Patricia",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151310,,,,,10.95,,0,0,Haunted,"Maksym, Eileen",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151334,,,,,12.95,,0,0,A Sliver of Hope,"Nellenbach, Karla J.",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151372,,,,,14.95,,0,0,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet","Coomer, Paula Marie",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151419,,,,,16.95,,0,0,Seducer Fey,"Royson, Cullyn",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151426,,,,,16.95,,0,0,Riverbend,"Thompson, Tess",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151440,,,,,14.95,,0,0,Country Music's Jim Owen: An Amazing Life (an Unauthorized Autobiography),"Owen, Jim",Booktrope Editions
LSI,5/1/15,5/31/15,1,3.25,USD,United States,,,9781620151457,,,,,54.95,,3.25,3.25,Redesigning Education: Shaping Learning Systems Around the Globe,"Innovation Unit for GELP,",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151464,,,,,16.95,,0,0,Riverstar (the River Valley Collection),"Thompson, Tess",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151563,,,,,20.95,,0,0,Dead of Knight,"Persun, Nicole J.",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151587,,,,,14.95,,0,0,Just Friends with Benefits,"Schorr, Meredith",Booktrope Editions
LSI,5/1/15,5/31/15,2,5.26,USD,United States,,,9781620151600,,,,,10.95,,2.63,5.26,Broken Pieces,"Thompson, Rachel",Booktrope Editions
LSI,5/1/15,5/31/15,5,14.65,USD,United States,,,9781620151624,,,,,19.95,,2.93,14.65,Behind the Shades: Hope Beyond the Darkness,"Charles, Sheila Raye",Vox Dei
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151631,,,,,20.95,,0,0,Josie Jameson and the Fourth Tombstone,"Hotes, Jennifer L.",Booktrope Editions
LSI,5/1/15,5/31/15,22,53.46,USD,United States,,,9781620151679,,,,,15.95,,2.43,53.46,The Old Cape House,"Eppich Struna, Barbara",Booktrope Editions
LSI,5/1/15,5/31/15,6,21.96,USD,United States,,,9781620151693,,,,,16.95,,3.66,21.96,Seasons' End,"North, Will",Booktrope Editions
LSI,5/1/15,5/31/15,3,8.49,USD,United States,,,9781620151709,,,,,16.95,,2.83,8.49,"Water, Stone, Heart","North, Will",Booktrope Editions
LSI,5/1/15,5/31/15,2,6.34,USD,United States,,,9781620151716,,,,,16.95,,3.17,6.34,The Long Walk Home,"North, Will",Booktrope Editions
LSI,5/1/15,5/31/15,1,3.51,USD,United States,,,9781620151723,,,,,16.95,,3.51,3.51,Seductive Secrecy,"Mann, Marni",Booktrope Entice
LSI,5/1/15,5/31/15,1,2.48,USD,United States,,,9781620151730,,,,,14.95,,2.48,2.48,The Dark Light of Day,"Frazier, T. M.",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151747,,,,,18.95,,0,0,A Medical Affair,"McCarthy Strauss, Anne",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151761,,,,,13.95,,0,0,Of Stardust,"Grace, February",Booktrope Editions
LSI,5/1/15,5/31/15,-1,-11.43,USD,United States,,,9781620151778,,,,,20.95,,11.43,-11.43,These Sorrows We See (A Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions
LSI,5/1/15,5/31/15,1,3.71,USD,United States,,,9781620151785,,,,,19.95,,3.71,3.71,The Secrets of Casanova,"Michaels, Greg",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151792,,,,,21.99,,0,0,The Werewolf of Lisbon,"Kidd, Chico",Booktrope Editions
LSI,5/1/15,5/31/15,-30,-248.4,USD,United States,,,9781620151808,,,,,13.95,,8.28,-248.4,Spirit Warriors: The Concealing,"Connor, D.E.L.",Booktrope Editions
LSI,5/1/15,5/31/15,26,56.42,USD,United States,,,9781620151815,,,,,9.99,,2.17,56.42,"The Adventures of Emery Jones, Boy Science Wonder: Bending Time","Johnson, Charles",Booktrope Editions
LSI,5/1/15,5/31/15,21,69.93,USD,United States,,,9781620151822,,,,,17.95,,3.33,69.93,Between Boyfriends,"Miller, SÃƒÂ¡rka-Jonae",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151839,,,,,13.95,,0,0,A Chorus of Wolves,"Kimmell, Alex",Booktrope Editions
LSI,5/1/15,5/31/15,2,4.26,USD,United States,,,9781620151860,,,,,12.95,,2.13,4.26,Zips Goes Wandering,"Marsh, Chris",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151884,,,,,34.95,,0,0,The Girls: Sappho Goes to Hollywood,"McLellan, Diana",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151891,,,,,15.95,,0,0,Revontuli,"Eddy, Andrew",Booktrope Editions
LSI,5/1/15,5/31/15,-1,-9.63,USD,United States,,,9781620151914,,,,,16.95,,9.63,-9.63,Running Secrets,"Williams, Arleen",Booktrope Editions
LSI,5/1/15,5/31/15,1,2.76,USD,United States,,,9781620151921,,,,,14.95,,2.76,2.76,Swimming Upstream,"Mancini, Ruth",Booktrope Editions
LSI,5/1/15,5/31/15,1,3.54,USD,United States,,,9781620151938,,,,,17.95,,3.54,3.54,Dead on her Feet: A Tango Mystery,"Fernow, Lisa",Booktrope Editions
LSI,5/1/15,5/31/15,0,0,USD,United States,,,9781620151945,,,,,6.99,,0,0,"Be Strong, Be Smart: A Father Talks to His Daughter About Sex","Wood, John Thomas",Booktrope Editions
LSI,5/1/15,5/31/15,-9,-70.47,USD,United States,,,9781620151952,,,,,12.95,,7.83,-70.47,One Day in Lubbock,"Wright, Daniel Lance",Booktrope Editions
