Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
iTunes,5/1/15,5/31/15,1,4.2,USD,US,,9781620153352,,648865275,,,,5.99,,,4.2,The River Valley Collection,Tess Thompson,
iTunes,5/1/15,5/31/15,9,18.9,USD,US,,9781620150344,,485468555,,,,2.99,,,18.9,Jailbird,Heather Huffman,
iTunes,5/1/15,5/31/15,4,14,USD,US,,9781620154748,,903086856,,,,4.99,,,14,Dangled Carat,Hilary Grossman,
iTunes,5/1/15,5/31/15,1,2.1,USD,US,,9781935961178,,454345569,,,,2.99,,,2.1,Thank You for Flying Air Zoe,Erik Atwell,
iTunes,5/1/15,5/31/15,1,2.1,USD,US,,9781620154557,,930287455,,,,2.99,,,2.1,Heart of a Rocky,Kelsey Jordan,
iTunes,5/1/15,5/31/15,2,8.4,USD,US,,9781620153949,,840589202,,,,5.99,,,8.4,Unbridled Hearts Collection,Heather Huffman,
iTunes,5/1/15,5/31/15,61,128.1,USD,US,,9781620150436,,487424092,,,,2.99,,,128.1,Ring of Fire,Heather Huffman,
iTunes,5/1/15,5/31/15,17,11.9,USD,US,,9781620159293,,980489152,,,,0.99,,,11.9,Sins,Heather Huffman,
iTunes,5/1/15,5/31/15,18,12.6,USD,US,,9781620157329,,972960554,,,,0.99,,,12.6,The Daring Assignment,Victoria Bright,
iTunes,5/1/15,5/31/15,3,2.1,USD,US,,9781620157732,,974190092,,,,0.99,,,2.1,Rachel's Folly,Monica Bruno,
iTunes,5/1/15,5/31/15,1,2.8,USD,US,,9781620156599,,952856417,,,,3.99,,,2.8,Chasing Ravens,Jessica E. Paige,
iTunes,5/1/15,5/31/15,2,1.4,USD,US,,9781620153161,,731996879,,,,0.99,,,1.4,Dirt Nap,AJ Aalto,
iTunes,5/1/15,5/31/15,1,0.7,USD,US,,9781620154724,,924156420,,,,0.99,,,0.7,The Music Book,Dave O'Leary,
iTunes,5/1/15,5/31/15,3,6.3,USD,US,,9781620159279,,994810869,,,,2.99,,,6.3,Simmering,S.E. Rise,
iTunes,5/1/15,5/31/15,1,2.8,USD,US,,9781620156117,,930966919,,,,3.99,,,2.8,The Old Cape Teapot,Barbara Eppich Struna,
