Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,6/1/15,6/30/15,163,117.98,USD,United States,,,,,B00OA9GDDA,,KU,,,,117.98,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,7,5.07,USD,United States,,,,,B00OA9GDDA,,KOLL,,,,5.07,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,673,487.14,USD,United States,,,,,B00OA9GDDA,,KINDLE,,,,487.14,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,1,1.38,USD,Canada,,,,,B00OA9GDDA,,KINDLE,,,,1.38,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDA,,KINDLE,,,,1.6031748,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,1,1.03,EUR,Germany,,,,,B00OA9GDDA,,KU,,,,1.1427232,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,2,2.05,EUR,Germany,,,,,B00OA9GDDA,,KINDLE,,,,2.274352,Tess Thompson,Tea and Primroses
Encore,6/1/15,6/30/15,41,29.61,USD,United States,,,,,B00OA9GDCQ,,KINDLE,,,,29.61,D.E.L. Connor,The Concealing
Encore,6/1/15,6/30/15,3,2.17,USD,United States,,,,,B00OA9GDCQ,,KOLL,,,,2.17,D.E.L. Connor,The Concealing
Encore,6/1/15,6/30/15,11,7.94,USD,United States,,,,,B00OA9GDCQ,,KU,,,,7.94,D.E.L. Connor,The Concealing
Encore,6/1/15,6/30/15,193,139.88,USD,United States,,,,,B00OA9GDGW,,KU,,,,139.88,Marni Mann,Pulled Beneath
Encore,6/1/15,6/30/15,17,12.32,USD,United States,,,,,B00OA9GDGW,,KOLL,,,,12.32,Marni Mann,Pulled Beneath
Encore,6/1/15,6/30/15,293,212.36,USD,United States,,,,,B00OA9GDGW,,KINDLE,,,,212.36,Marni Mann,Pulled Beneath
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDGW,,KINDLE,,,,1.6031748,Marni Mann,Pulled Beneath
Encore,6/1/15,6/30/15,63,69.08,USD,United States,,,,,B00OA9GDCG,,KU,,,,69.08,Meredith Schorr,A State of Jane
Encore,6/1/15,6/30/15,6,6.58,USD,United States,,,,,B00OA9GDCG,,KOLL,,,,6.58,Meredith Schorr,A State of Jane
Encore,6/1/15,6/30/15,49,53.72,USD,United States,,,,,B00OA9GDCG,,KINDLE,,,,53.72,Meredith Schorr,A State of Jane
Encore,6/1/15,6/30/15,1,1.41,USD,Australia,,,,,B00OA9GDCG,,KINDLE,,,,1.41,Meredith Schorr,A State of Jane
Encore,6/1/15,6/30/15,14,14.26,GBP,United Kingdom,,,,,B00OA9GDCG,,KINDLE,,,,22.4130124,Meredith Schorr,A State of Jane
Encore,6/1/15,6/30/15,3,3.06,GBP,United Kingdom,,,,,B00OA9GDCG,,KU,,,,4.8095244,Meredith Schorr,A State of Jane
Encore,6/1/15,6/30/15,83,107.98,USD,United States,,,,,B00OA9GDD0,,KINDLE,,,,107.98,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,240,312.24,USD,United States,,,,,B00OA9GDD0,,KU,,,,312.24,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,17,22.12,USD,United States,,,,,B00OA9GDD0,,KOLL,,,,22.12,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,8,11.16,USD,China,,,,,B00OA9GDD0,,KINDLE,,,,11.16,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,1,1.42,USD,Brazil,,,,,B00OA9GDD0,,KU,,,,1.42,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,0,0,USD,Brazil,,,,,B00OA9GDD0,,KINDLE,,,,0,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,1,1.39,USD,Australia,,,,,B00OA9GDD0,,KINDLE,,,,1.39,Laura Kilmartin,Next Year I'll be Perfect
Encore,6/1/15,6/30/15,46,63.34,USD,United States,,,,,B00OA9GDFI,,KU,,,,63.34,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,21,28.92,USD,United States,,,,,B00OA9GDFI,,KINDLE,,,,28.92,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,5,6.88,USD,United States,,,,,B00OA9GDFI,,KOLL,,,,6.88,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,0,0,USD,Canada,,,,,B00OA9GDFI,,KINDLE,,,,0,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,1,1.41,USD,Canada,,,,,B00OA9GDFI,,KU,,,,1.41,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,1,1.38,USD,Australia,,,,,B00OA9GDFI,,KINDLE,,,,1.38,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,21,21.39,GBP,United Kingdom,,,,,B00OA9GDFI,,KINDLE,,,,33.6195186,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,4,4.07,GBP,United Kingdom,,,,,B00OA9GDFI,,KU,,,,6.3969818,Meredith Schorr,Blogger Girl
Encore,6/1/15,6/30/15,57,78.73,USD,United States,,,,,B00OA9GDEY,,KOLL,,,,78.73,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,233,321.84,USD,United States,,,,,B00OA9GDEY,,KINDLE,,,,321.84,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,257,354.99,USD,United States,,,,,B00OA9GDEY,,KU,,,,354.99,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,2,2.8,USD,Canada,,,,,B00OA9GDEY,,KU,,,,2.8,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,3,4.2,USD,Canada,,,,,B00OA9GDEY,,KINDLE,,,,4.2,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,2,2.74,USD,Australia,,,,,B00OA9GDEY,,KINDLE,,,,2.74,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,4,4.07,GBP,United Kingdom,,,,,B00OA9GDEY,,KINDLE,,,,6.3969818,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEY,,KOLL,,,,1.6031748,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEY,,KU,,,,1.6031748,Will North,"Water, Stone, Heart"
Encore,6/1/15,6/30/15,683,919.95,USD,United States,,,,,B00OA9GDDK,,KU,,,,919.95,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,489,658.64,USD,United States,,,,,B00OA9GDDK,,KOLL,,,,658.64,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,552,743.5,USD,United States,,,,,B00OA9GDDK,,KINDLE,,,,743.5,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,3,4.23,USD,Canada,,,,,B00OA9GDDK,,KINDLE,,,,4.23,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,3,4.23,USD,Canada,,,,,B00OA9GDDK,,KU,,,,4.23,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,3,4.15,USD,Australia,,,,,B00OA9GDDK,,KINDLE,,,,4.15,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KU,,,,1.6031748,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,6,6.11,GBP,United Kingdom,,,,,B00OA9GDDK,,KINDLE,,,,9.6033314,Will North,The Long Walk Home
Encore,6/1/15,6/30/15,98,80.57,EUR,Germany,,,,,B004WDRYVE,,KINDLE,,,,89.3875808,Tess Thompson,Riversong
Encore,6/1/15,6/30/15,35,28.77,EUR,Germany,,,,,B004WDRYVE,,KOLL,,,,31.9185888,Tess Thompson,Riversong
Encore,6/1/15,6/30/15,148,121.67,EUR,Germany,,,,,B004WDRYVE,,KU,,,,134.9855648,Tess Thompson,Riversong
Encore,6/1/15,6/30/15,1,0.75,EUR,Germany,,,,,B004WDRYVE,,Amazon Website,,,,0.83208,Tess Thompson,Riversong
Encore,6/1/15,6/30/15,35,46.77,USD,United States,,,,,B00OA9GFPQ,,KINDLE,,,,46.77,Gale Martin,Grace Unexpected
Encore,6/1/15,6/30/15,8,10.69,USD,United States,,,,,B00OA9GFPQ,,KOLL,,,,10.69,Gale Martin,Grace Unexpected
Encore,6/1/15,6/30/15,123,164.36,USD,United States,,,,,B00OA9GFPQ,,KU,,,,164.36,Gale Martin,Grace Unexpected
Encore,6/1/15,6/30/15,28,39.09,USD,United States,,,,,B00OA9GDGM,,KINDLE,,,,39.09,Mike McNeff,GOTU
Encore,6/1/15,6/30/15,30,41.89,USD,United States,,,,,B00OA9GDGM,,KU,,,,41.89,Mike McNeff,GOTU
Encore,6/1/15,6/30/15,3,4.19,USD,United States,,,,,B00OA9GDGM,,KOLL,,,,4.19,Mike McNeff,GOTU
Encore,6/1/15,6/30/15,8,3.78,GBP,United Kingdom,,,,,B00OA9GDGM,,KU,,,,5.9411772,Mike McNeff,GOTU
Encore,6/1/15,6/30/15,164,77.49,GBP,United Kingdom,,,,,B00OA9GDGM,,KINDLE,,,,121.7941326,Mike McNeff,GOTU
Encore,6/1/15,6/30/15,18,25.14,USD,United States,,,,,B00OA9GDEO,,KU,,,,25.14,Mike McNeff,Necessary Retribution
Encore,6/1/15,6/30/15,2,2.79,USD,United States,,,,,B00OA9GDEO,,KOLL,,,,2.79,Mike McNeff,Necessary Retribution
Encore,6/1/15,6/30/15,19,26.54,USD,United States,,,,,B00OA9GDEO,,KINDLE,,,,26.54,Mike McNeff,Necessary Retribution
Encore,6/1/15,6/30/15,3,3.06,GBP,United Kingdom,,,,,B00OA9GDEO,,KU,,,,4.8095244,Mike McNeff,Necessary Retribution
Encore,6/1/15,6/30/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDEO,,KINDLE,,,,3.2063496,Mike McNeff,Necessary Retribution
Encore,6/1/15,6/30/15,26,21.79,USD,United States,,,,,B00OA9GE34,,KU,,,,21.79,Tamsen Schultz,The Puppeteer
Encore,6/1/15,6/30/15,54,45.27,USD,United States,,,,,B00OA9GE34,,KINDLE,,,,45.27,Tamsen Schultz,The Puppeteer
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GE34,,KU,,,,1.6031748,Tamsen Schultz,The Puppeteer
Encore,6/1/15,6/30/15,54,44.26,USD,United States,,,,,B00OA9GDYY,,KINDLE,,,,44.26,Tamsen Schultz,A Tainted Mind
Encore,6/1/15,6/30/15,24,19.67,USD,United States,,,,,B00OA9GDYY,,KU,,,,19.67,Tamsen Schultz,A Tainted Mind
Encore,6/1/15,6/30/15,1,0.82,USD,United States,,,,,B00OA9GDYY,,KOLL,,,,0.82,Tamsen Schultz,A Tainted Mind
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDYY,,KU,,,,1.6031748,Tamsen Schultz,A Tainted Mind
Encore,6/1/15,6/30/15,135,184.93,USD,United States,,,,,B00OA9GDWG,,KU,,,,184.93,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,8,10.96,USD,United States,,,,,B00OA9GDWG,,KOLL,,,,10.96,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,29,39.72,USD,United States,,,,,B00OA9GDWG,,KINDLE,,,,39.72,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,1,1.35,USD,Canada,,,,,B00OA9GDWG,,KU,,,,1.35,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,3,4.14,USD,Australia,,,,,B00OA9GDWG,,KINDLE,,,,4.14,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDWG,,KOLL,,,,1.6031748,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,27,27.5,GBP,United Kingdom,,,,,B00OA9GDWG,,KU,,,,43.22285,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,9,9.17,GBP,United Kingdom,,,,,B00OA9GDWG,,KINDLE,,,,14.4128558,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,2,2.05,EUR,Germany,,,,,B00OA9GDWG,,KU,,,,2.274352,A.J. Aalto,Touched
Encore,6/1/15,6/30/15,16,11.49,USD,United States,,,,,B00OA9GE3E,,KOLL,,,,11.49,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,284,203.99,USD,United States,,,,,B00OA9GE3E,,KU,,,,203.99,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,1279,918.68,USD,United States,,,,,B00OA9GE3E,,KINDLE,,,,918.68,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,1,1.41,USD,Canada,,,,,B00OA9GE3E,,KU,,,,1.41,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,1,1.41,USD,Canada,,,,,B00OA9GE3E,,KINDLE,,,,1.41,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GE3E,,KINDLE,,,,1.6031748,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GE3E,,KOLL,,,,1.6031748,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,2,2.05,EUR,Germany,,,,,B00OA9GE3E,,KINDLE,,,,2.274352,Tess Thompson,Caramel and Magnolias
Encore,6/1/15,6/30/15,47,65.46,USD,United States,,,,,B00TG14YPQ,,KINDLE,,,,65.46,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,6/1/15,6/30/15,133,185.25,USD,United States,,,,,B00TG14YPQ,,KU,,,,185.25,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,6/1/15,6/30/15,12,16.71,USD,United States,,,,,B00TG14YPQ,,KOLL,,,,16.71,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,6/1/15,6/30/15,1,1.02,EUR,Germany,,,,,B00TG14YPQ,,KU,,,,1.1316288,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,6/1/15,6/30/15,110,153.54,USD,United States,,,,,B00TG14YOW,,KU,,,,153.54,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,8,11.17,USD,United States,,,,,B00TG14YOW,,KOLL,,,,11.17,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,59,82.36,USD,United States,,,,,B00TG14YOW,,KINDLE,,,,82.36,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,1,0.56,USD,Canada,,,,,B00TG14YOW,,KU,,,,0.56,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,KU,,,,1.6031748,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,KINDLE,,,,1.6031748,Jennifer Gracen,Autumn Getaway
Encore,6/1/15,6/30/15,15,11.78,USD,United States,,,,,B00U9WWUAC,,KINDLE,,,,11.78,Heather Huffman,Waiting for You
Encore,6/1/15,6/30/15,16,12.56,USD,United States,,,,,B00U9WWUAC,,KU,,,,12.56,Heather Huffman,Waiting for You
