Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type, KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940149940677,9781620156094,,,,,,5.99,,3.89,3.89," Last Stop, The Twilight Zone: The Biography of Rod Serling",,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940149080823,9781620152928,,,,,,3.99,,2.59,2.59,Backyard Aliens,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940149726790,9781620154700,,,,,,2.99,,1.94,1.94,Blue Midnight,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940013152380,9781620150245,,,,,,3.99,,2.59,2.59,Cathedral of Dreams,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.4,Ghosts,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,2,5.18,USD,US,2940148141921,9781620151068,,,,,,3.99,,2.59,5.18,"Hear No Evil (for fans of Arthur C. Clarke, Isaac Asimov, and Eric Flint)",,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940151532532,9781513701202,,,,,,3.99,,2.59,2.59,Rules for Reforming a Rake,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,3.89,Seasons' End,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940151520973,9781620159293,,,,,,0.99,,0.4,0.4,Sins,,Booktrope Editions,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150658936,9781620155271,,,,,,3.99,,2.59,2.59,Spring Shadows,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150183667,9781620156834,,,,,,3.99,,2.59,2.59,Summer Champagne,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,2.59,The Duke Im Going to Marry,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940149183555,9781620154212,,,,,,3.99,,2.59,2.59,The Lycan Hunter,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940151448482,9781620159828,,,,,,2.99,,1.94,1.94,"The Widow's Game, Another Horrific Adventure of Maddie Holliday Von Stark",,Forsaken,6/1/15
Nook,6/1/15,6/30/15,2,7.78,USD,US,2940151419215,9781620159873,,,,,,5.99,,3.89,7.78,Too Clever By Half,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940149696833,9781620154502,,,,,,3.99,,2.59,2.59,Winter Hopes,,Booktrope,6/1/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940149940677,9781620156094,,,,,,5.99,,3.89,3.89," Last Stop, The Twilight Zone: The Biography of Rod Serling",,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150719804,9781620155158,,,,,,3.99,,2.59,2.59,My Fair Lily,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940016497440,9781620152386,,,,,,3.99,,2.59,2.59,Riverbend,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,2,3.88,USD,US,2940012509062,9781620150474,,,,,,2.99,,1.94,3.88,Riversong,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940148467137,9781620152379,,,,,,0.99,,0.4,0.4,Riverstar,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150658936,9781620155271,,,,,,3.99,,2.59,2.59,Spring Shadows,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,2.59,The Duke Im Going to Marry,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150205123,9781620155202,,,,,,3.99,,2.59,2.59,The Fourth Lion,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940151419215,9781620159873,,,,,,5.99,,3.89,3.89,Too Clever By Half,,Booktrope,6/2/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940016424194,9781620151228,,,,,,2.99,,1.94,1.94,A Sliver of Hope,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,3.24,USD,US,2940150027831,9781620156162,,,,,,4.99,,3.24,3.24,Blood & Spirits,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940151578349,9781620157466,,,,,,3.99,,2.59,2.59,By the River,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,3.24,USD,US,2940149744619,9781620154748,,,,,,4.99,,3.24,3.24,Dangled Carat,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,3.24,USD,US,2940150100022,9781620157404,,,,,,4.99,,3.24,3.24,Duet for Three Hands,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,2,0.8,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.8,Ghosts,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,2,9.08,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,9.08,Harm None,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,2,5.18,USD,US,2940151532532,9781513701202,,,,,,3.99,,2.59,5.18,Rules for Reforming a Rake,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940151520973,9781620159293,,,,,,0.99,,0.4,0.4,Sins,,Booktrope Editions,6/3/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,2.59,The Duke Im Going to Marry,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940151419215,9781620159873,,,,,,5.99,,3.89,3.89,Too Clever By Half,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940149952182,9781620157053,,,,,,5.99,,3.89,3.89,Uncharted Territory,,Booktrope,6/3/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940016114651,9781620150641,,,,,,2.99,,1.94,1.94,Always and Forever,,Booktrope Editions,6/4/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940151561518,9781620159859,,,,,,3.99,,2.59,2.59,Downcast,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.4,Ghosts,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,2,5.18,USD,US,2940151652148,9781620157985,,,,,,3.99,,2.59,5.18,Guessing at Normal,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940150661530,9781620154557,,,,,,2.99,,1.94,1.94,Heart of a Rocky,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150191693,9781620156087,,,,,,3.99,,2.59,2.59,How Do You Know?,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940151592222,9781620158142,,,,,,3.99,,2.59,2.59,Never Forgotten Love,,Entice by Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940012509062,9781620150474,,,,,,2.99,,1.94,1.94,Riversong,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,3.89,Seasons' End,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940151520973,9781620159293,,,,,,0.99,,0.4,0.4,Sins,,Booktrope Editions,6/4/15
Nook,6/1/15,6/30/15,2,5.18,USD,US,2940148388548,9781620152690,,,,,,3.99,,2.59,5.18,The Dark Light of Day,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940150004825,9781620154229,,,,,,5.99,,3.89,3.89,The Frailty of Things,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,3.24,USD,US,2940148711827,9781620152737,,,,,,4.99,,3.24,3.24,These Sorrows We See (A Windsor Series Novel),,Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940150272798,9781620157015,,,,,,0.99,,0.4,0.4,Unblocked - Episode One,,Entice by Booktrope,6/4/15
Nook,6/1/15,6/30/15,1,3.24,USD,US,2940149440115,9781620153147,,,,,,4.99,,3.24,3.24,What Echoes Render,,Booktrope,6/4/15
Nook,6/1/15,6/30/15,17,6.8,USD,US,2940013272460,9781620150368,,,,,,0.99,,0.4,6.8,Bottom-Line Selling: The Sales Professional's Guide to Improving Customer Profits,,Booktrope Editions,6/5/15
Nook,6/1/15,6/30/15,1,0.46,GBP,GB,2940013272460,9781620150368,,,,,,0.75,,0.46,0.46,Bottom-Line Selling: The Sales Professional's Guide to Improving Customer Profits,,Booktrope Editions,6/5/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940151561518,9781620159859,,,,,,3.99,,2.59,2.59,Downcast,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940151466929,9781620157770,,,,,,2.99,,1.94,1.94,Golf Is No Ordinary Game,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,2,9.08,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,9.08,Harm None,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150312456,9781620154939,,,,,,3.99,,2.59,2.59,Paper Souls,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,1.94,USD,US,2940151345446,9781620157848,,,,,,2.99,,1.94,1.94,Rock Star's Girl,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,0.4,USD,US,2940150281356,9781620156377,,,,,,0.99,,0.4,0.4,Rules for the Perpetual Diet: A Novel,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,3.89,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,3.89,Seasons' End,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940150183667,9781620156834,,,,,,3.99,,2.59,2.59,Summer Champagne,,Booktrope,6/5/15
Nook,6/1/15,6/30/15,1,2.59,USD,US,2940148388548,9781620152690,,,,,,3.99,,2.59,2.59,The Dark Light of Day,,Booktrope,6/5/15
