Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type, KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Nook,7/1/15,7/31/15,1,1.94,USD,US,2940151108713,9781620159163,,,,,,2.99,,1.94,1.94,A Stunning Accusation,,Gravity,7/1/15
Nook,7/1/15,7/31/15,1,0.4,USD,US,2940148478515,9781620153345,,,,,,0.99,,0.4,0.4,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",,Booktrope,7/1/15
Nook,7/1/15,7/31/15,1,0.4,USD,US,2940148560333,9781620153161,,,,,,0.99,,0.4,0.4,Dirt Nap (A Marnie Baranuik ‰ÛÏBetween the Files‰Ûù Story),,Booktrope,7/1/15
Nook,7/1/15,7/31/15,1,1.94,USD,US,2940150820173,9781620159316,,,,,,2.99,,1.94,1.94,Home No More,,Booktrope Editions,7/1/15
Nook,7/1/15,7/31/15,1,1.94,USD,US,2940151273534,9781620159972,,,,,,2.99,,1.94,1.94,Lone Survivor,,Edge,7/1/15
Nook,7/1/15,7/31/15,1,2.59,USD,US,2940013856202,9781620150337,,,,,,3.99,,2.59,2.59,Memoirs Aren't Fairytales: A Story of Addiction,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,4,10.36,USD,US,2940150719804,9781620155158,,,,,,3.99,,2.59,10.36,My Fair Lily,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,2,5.18,USD,US,2940151532532,9781513701202,,,,,,3.99,,2.59,5.18,Rules for Reforming a Rake,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,1,3.24,USD,US,2940151336161,9781620159941,,,,,,4.99,,3.24,3.24,The Anonymous Source,,Booktrope Editions,7/1/15
Nook,7/1/15,7/31/15,1,2.59,USD,US,2940148388548,9781620152690,,,,,,3.99,,2.59,2.59,The Dark Light of Day,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,1,2.59,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,2.59,The Duke Im Going to Marry,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,2,7.78,USD,US,2940151419215,9781620159873,,,,,,5.99,,3.89,7.78,Too Clever By Half,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,1,3.24,USD,US,2940149764976,9781620154168,,,,,,4.99,,3.24,3.24,Zeus Is Dead: A Monstrously Inconvenient Adventure,,Booktrope,7/1/15
Nook,7/1/15,7/31/15,1,1.94,USD,US,2940149726790,9781620154700,,,,,,2.99,,1.94,1.94,Blue Midnight,,Booktrope,7/2/15
