Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Encore,8/1/15,8/31/15,44,61.17,USD,United States,,,,,B00OA9GDDA,,Standard,,,, 61.17 ,Tea and Primroses,Tess Thompson,,
Encore,8/1/15,8/31/15,5,6.95,USD,United States,,,,,B00OA9GDDA,,KOLL,,,, 6.95 ,Tea and Primroses,Tess Thompson,,
Encore,8/1/15,8/31/15,78,108.43,USD,United States,,,,,B00OA9GDDA,,KU,,,, 108.43 ,Tea and Primroses,Tess Thompson,,
Encore,8/1/15,8/31/15,1,1.35,USD,Australia,,,,,B00OA9GDDA,,Standard,,,, 1.35 ,Tea and Primroses,Tess Thompson,,
Encore,8/1/15,8/31/15,1,1.4,USD,United States,,,,,B00OA9GDCQ,,Standard,,,, 1.40 ,The Concealing,D.E.L. Connor,,
Encore,8/1/15,8/31/15,4,5.59,USD,United States,,,,,B00OA9GDCQ,,KU,,,, 5.59 ,The Concealing,D.E.L. Connor,,
Encore,8/1/15,8/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDCQ,,KU,,,, 1.57 ,The Concealing,D.E.L. Connor,,
Encore,8/1/15,8/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDCQ,,Standard,,,, 1.57 ,The Concealing,D.E.L. Connor,,
Encore,8/1/15,8/31/15,2,2.75,USD,United States,,,,,B00OA9GDGW,,KOLL,,,, 2.75 ,Pulled Beneath,Marni Mann,,
Encore,8/1/15,8/31/15,8,11,USD,United States,,,,,B00OA9GDGW,,Standard,,,, 11.00 ,Pulled Beneath,Marni Mann,,
Encore,8/1/15,8/31/15,21,28.87,USD,United States,,,,,B00OA9GDGW,,KU,,,, 28.87 ,Pulled Beneath,Marni Mann,,
Encore,8/1/15,8/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDGW,,KU,,,, 1.57 ,Pulled Beneath,Marni Mann,,
Encore,8/1/15,8/31/15,3,3.56,EUR,Italy,,,,,B00OA9GDGW,,KU,,,, 3.98 ,Pulled Beneath,Marni Mann,,
Encore,8/1/15,8/31/15,0,0,EUR,France,,,,,B00OA9GDGW,,Standard,,,, -   ,Pulled Beneath,Marni Mann,,
Encore,8/1/15,8/31/15,38,52.97,USD,United States,,,,,B00OA9GDCG,,KU,,,, 52.97 ,A State of Jane,Meredith Schorr,,
Encore,8/1/15,8/31/15,26,36.24,USD,United States,,,,,B00OA9GDCG,,Standard,,,, 36.24 ,A State of Jane,Meredith Schorr,,
