Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,Imprint,Sale Date
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9780984178605,,,,,16.95,,0, -   ,Unoriginal Misunderstanding - Press Freedom in Early America and Interpretation of the First Amendment,"Shear, Kenneth",Libertary Co.,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9780984178612,,,,,6.99,,0, -   ,Luscious Chocolate Smoothies: An Irresistible Collection of Healthy Cocoa Delights,"Constans, Gabriel",Libertary Co.,
LSI,8/1/15,8/31/15,17,92.14,USD,United States,,,9780984178629,,,,,18.95,,5.42, 92.14 ,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9780984178650,,,,,14.95,,0, -   ,The First Father Abraham: The Psychology and Culture of a Spiritual Revolutionary,"Abramovitch, Henry Hanoch",Libertary Co.,
LSI,8/1/15,8/31/15,3,7.26,USD,United States,,,9780984178667,,,,,13.95,,2.42, 7.26 ,Home Field: Writers Remember Baseball,"Alexie, Sherman",Libertary Co.,
LSI,8/1/15,8/31/15,4,13.36,USD,United States,,,9780984178674,,,,,12.95,,3.34, 13.36 ,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.,
LSI,8/1/15,8/31/15,5,11.65,USD,United States,,,9780984178681,,,,,12.95,,2.33, 11.65 ,"Paging Dr. Leff: Pride, Patriotism and Protest","Constans, Gabriel",Libertary Co.,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781513700014,,,,,16.95,,0, -   ,"Blood, Spirit & Bone","Thompson, Camela",Booktrope Editions,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781513700052,,,,,16.95,,0, -   ,Red Nights,"Ryan, Shari J.",Booktrope Editions,
LSI,8/1/15,8/31/15,3,10.23,USD,United States,,,9781513700199,,,,,17.95,,3.41, 10.23 ,Sugar Scars,"Norwood, Travis",Booktrope Editions,
LSI,8/1/15,8/31/15,1,2.4,USD,United States,,,9781513700205,,,,,11.95,,2.4, 2.40 ,The Devil Within,"Greene, Lauren",Booktrope Editions,
LSI,8/1/15,8/31/15,1,2.97,USD,United States,,,9781513700281,,,,,14.95,,2.97, 2.97 ,"Once Again, With Blood","Weiner, Larry",Forsaken,
LSI,8/1/15,8/31/15,4,11.68,USD,United States,,,9781513700311,,,,,14.95,,2.92, 11.68 ,Paradise Rot,"Weiner, Larry",Booktrope Editions,
LSI,8/1/15,8/31/15,1,2.67,USD,United States,,,9781513700342,,,,,12.95,,2.67, 2.67 ,The Dead Cat Paradox,"Rise, S.E.",Forsaken,
LSI,8/1/15,8/31/15,1,2.87,USD,United States,,,9781513700380,,,,,15.95,,2.87, 2.87 ,Dragon's Future,"Wyatt, Kandi J.",Updrift,
LSI,8/1/15,8/31/15,2,6.8,USD,United States,,,9781513700427,,,,,19.95,,3.4, 6.80 ,Devil's Nightmare,"Pruneda, Robert",Forsaken,
LSI,8/1/15,8/31/15,20,69.4,USD,United States,,,9781513700748,,,,,18.95,,3.47, 69.40 ,Monochrome,"Jones, H.M.",Gravity,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781513700755,,,,,20.95,,0, -   ,Josie Jameson and the Fourth Tombstone,"Hotes, Jennifer",Booktrope Editions,
LSI,8/1/15,8/31/15,1,3.37,USD,United States,,,9781513700786,,,,,18.95,,3.37, 3.37 ,Disenchanted,"Ursel, Janet",Vox Dei,
LSI,8/1/15,8/31/15,3,9.66,USD,United States,,,9781513700793,,,,,16.95,,3.22, 9.66 ,The Dark Side of the Rainbow,"Hogan, Rita",Booktrope Editions,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781513700809,,,,,11.95,,0, -   ,Falling for Him,"Stephens, Amy",Booktrope Editions,
LSI,8/1/15,8/31/15,6,20.46,USD,United States,,,9781513700885,,,,,17.95,,3.41, 20.46 ,Women in Red,"Rosenfeld, Jordan",Booktrope Editions,
LSI,8/1/15,8/31/15,29,78.01,USD,United States,,,9781513701219,,,,,12.95,,2.69, 78.01 ,Kolea,"Cahill, Russell",Booktrope Editions,
LSI,8/1/15,8/31/15,1,2.5,USD,United States,,,9781513701318,,,,,10.95,,2.5, 2.50 ,Unblocked - Episode Four,"Mann, Marni",Booktrope Entice,
LSI,8/1/15,8/31/15,2,5.4,USD,United States,,,9781513701691,,,,,13.95,,2.7, 5.40 ,The Secret of Strange Waters,"Hall, Kelly",Booktrope Editions,
LSI,8/1/15,8/31/15,1,2.6,USD,United States,,,9781513701998,,,,,13.95,,2.6, 2.60 ,Tales of Blood and Sulphur: Apocalypse Minor,"Clay, J.G.",Forsaken,
LSI,8/1/15,8/31/15,3,9.21,USD,United States,,,9781513702032,,,,,14.95,,3.07, 9.21 ,Magic Fishing Panties,"Dalferes, Kimberly J.",Booktrope Editions,
LSI,8/1/15,8/31/15,2,6.5,USD,United States,,,9781513702100,,,,,17.95,,3.25, 6.50 ,The House on Seventh Street,"Vorbeck Williams, Karen",Booktrope Editions,
LSI,8/1/15,8/31/15,1,2.91,USD,United States,,,9781513702117,,,,,13.95,,2.91, 2.91 ,Good Intentions,"Sinclair, Pembroke",Booktrope Editions,
LSI,8/1/15,8/31/15,1,3,USD,United States,,,9781513702292,,,,,14.95,,3, 3.00 ,Goddess of Suburbia,"Kepke, Stephanie",Booktrope Editions,
LSI,8/1/15,8/31/15,1,3.2,USD,United States,,,9781620151150,,,,,14.95,,3.2, 3.20 ,Heart and Sole,"Hinson Neely, Melinda",Booktrope Editions,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781620151181,,,,,17.95,,0, -   ,A Tainted Mind (a Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions,
LSI,8/1/15,8/31/15,4,5.36,USD,United States,,,9781620151242,,,,,9.95,,1.34, 5.36 ,Write Within Yourself: An Author's Companion,"Kenower, William",Booktrope Editions,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781620151259,,,,,29.95,,0, -   ,The Art of Selling Real Estate,"Cliff, Patricia",Booktrope Editions,
LSI,8/1/15,8/31/15,0,0,USD,United States,,,9781620151310,,,,,10.95,,0, -   ,Haunted,"Maksym, Eileen",Booktrope Editions,
