Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprints,Sale Date
Scribd,8/1/15,,,2,usd,United States,,9781620150054,,,,,,3.99,,,2,The Golden Theme,Brian McDonald,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United Kingdom,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,Ireland,,9781620150337,,,,,,2.99,,,1.5,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620150436,,,,,,2.99,,,1.5,Ring of Fire,,Booktrope Publishing,
Scribd,8/1/15,,,2,usd,United States,,9781620150689,,,,,,3.99,,,2,Scars from a Memoir,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,2,usd,United States,,9781620150689,,,,,,3.99,,,2,Scars from a Memoir,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,2,usd,United States,,9781620150689,,,,,,3.99,,,2,Scars from a Memoir,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,Canada,,9781620152416,,,,,,2.99,,,1.5,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620152416,,,,,,2.99,,,1.5,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,United States,,9781620152416,,,,,,2.99,,,1.5,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,Nigeria,,9781620152416,,,,,,2.99,,,1.5,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,1.5,usd,India,,9781620152416,,,,,,2.99,,,1.5,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Norway,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Romania,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Singapore,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Netherlands,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Nicaragua,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Spain,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Nigeria,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,United States,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,Australia,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
Scribd,8/1/15,,,0.5,usd,United Kingdom,,9781620150566,,,,,,9.99,,,0.5,Strategic Sales Presentations,Jack Malcolm,Booktrope Publishing,
