Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
iTunes,8/1/15,8/31/15,26,54.6,USD,US,,9781935961147,,440610146,,,,2.99,,, 54.60 ,Riversong,Tess Thompson,,
iTunes,8/1/15,8/31/15,7,14.7,USD,US,,9781620150313,,480519951,,,,2.99,,, 14.70 ,Suddenly a Spy,Heather Huffman,,
iTunes,8/1/15,8/31/15,7,14.7,USD,US,,9781620150382,,481266197,,,,2.99,,, 14.70 ,Ties that Bind,Heather Huffman,,
iTunes,8/1/15,8/31/15,9,18.9,USD,US,,9781620150344,,485468555,,,,2.99,,, 18.90 ,Jailbird,Heather Huffman,,
iTunes,8/1/15,8/31/15,52,109.2,USD,US,,9781620150436,,487424092,,,,2.99,,, 109.20 ,Ring of Fire,Heather Huffman,,
iTunes,8/1/15,8/31/15,3,8.4,USD,US,,9781620150337,,491314585,,,,3.99,,, 8.40 ,Memoirs Aren't Fairytales,Marni Mann,,
iTunes,8/1/15,8/31/15,48,33.6,USD,US,,9781620150467,,517235903,,,,0.99,,, 33.60 ,Tumbleweed,Heather Huffman,,
iTunes,8/1/15,8/31/15,3,8.4,USD,US,,9781620150689,,549635648,,,,3.99,,, 8.40 ,Scars from a Memoir,Marni Mann,,
iTunes,8/1/15,8/31/15,1,5.6,USD,US,,9781620150795,,582311219,,,,7.99,,, 5.60 ,Ink Spots,Brian McDonald,,
iTunes,8/1/15,8/31/15,5,21,USD,US,,9781620151273,,591472124,,,,5.99,,, 21.00 ,Fiery Hearts Collection,Heather Huffman,,
iTunes,8/1/15,8/31/15,8,16.8,USD,US,,9781620150573,,595802253,,,,2.99,,, 16.80 ,Roses in Ecuador,Heather Huffman,,
iTunes,8/1/15,8/31/15,6,16.8,USD,US,,9781620152386,,646742987,,,,3.99,,, 16.80 ,Riverbend,Tess Thompson,,
iTunes,8/1/15,8/31/15,1,3.5,USD,US,,9781620150054,,665100611,,,,4.99,,, 3.50 ,The Golden Theme,Brian McDonald,,
iTunes,8/1/15,8/31/15,12,25.2,USD,US,,9781620152478,,666120396,,,,2.99,,, 25.20 ,Fool's Game,Heather Huffman,,
iTunes,8/1/15,8/31/15,1,2.1,USD,US,,9781620152409,,681977690,,,,2.99,,, 2.10 ,Country Music's Jim Owen: A Life,Jim Owen,,
iTunes,8/1/15,8/31/15,2,5.6,USD,US,,9781620152423,,691556724,,,,3.99,,, 5.60 ,Riverstar,Tess Thompson,,
iTunes,8/1/15,8/31/15,9,6.3,USD,US,,9781620152546,,709567734,,,,0.99,,, 6.30 ,Just Friends With Benefits,Meredith Schorr,,
iTunes,8/1/15,8/31/15,4,8.4,USD,US,,9781620152546,,709567734,,,,2.99,,, 8.40 ,Just Friends With Benefits,Meredith Schorr,,
iTunes,8/1/15,8/31/15,41,114.8,USD,US,,9781620152690,,719581050,,,,3.99,,, 114.80 ,The Dark Light of Day,T.M. Frazier,,
iTunes,8/1/15,8/31/15,2,14,USD,US,,9781620150504,,729758943,,,,9.99,,, 14.00 ,Pick up the Damn Phone!,Joanne Black,,
iTunes,8/1/15,8/31/15,33,23.1,USD,US,,9781620150504,,729758943,,,,0.99,,, 23.10 ,Pick up the Damn Phone!,Joanne Black,,
iTunes,8/1/15,8/31/15,227,158.9,USD,US,,9781620152638,,738930170,,,,0.99,,, 158.90 ,The Old Cape House,Barbara Eppich Struna,,
iTunes,8/1/15,8/31/15,11,30.8,USD,US,,9781620152638,,738930170,,,,3.99,,, 30.80 ,The Old Cape House,Barbara Eppich Struna,,
iTunes,8/1/15,8/31/15,7,29.4,USD,US,,9781620152652,,794142892,,,,5.99,,, 29.40 ,Seasons' End,Will North,,
iTunes,8/1/15,8/31/15,1,0.7,USD,US,,9781620152652,,794142892,,,,0.99,,, 0.70 ,Seasons' End,Will North,,
iTunes,8/1/15,8/31/15,2,7,USD,US,,9781620150580,,811613539,,,,4.99,,, 7.00 ,The Girls: Sappho Goes to Hollywood,Diana McLellan,,
iTunes,8/1/15,8/31/15,1,2.1,USD,US,,9781620153031,,826791513,,,,2.99,,, 2.10 ,The Unintentional Time Traveler,Everett Maroon,,
iTunes,8/1/15,8/31/15,2,8.4,USD,US,,9781620153949,,840589202,,,,5.99,,, 8.40 ,Unbridled Hearts Collection,Heather Huffman,,
iTunes,8/1/15,8/31/15,1,4.9,USD,US,,9781620153628,,845684827,,,,6.99,,, 4.90 ,Memoirs Collection,Marni Mann,,
iTunes,8/1/15,8/31/15,1,3.5,USD,US,,9781620150207,,862929093,,,,4.99,,, 3.50 ,The Truth About Dragons,Hazard Adams,,
iTunes,8/1/15,8/31/15,2,5.6,USD,US,,9781620154212,,885177180,,,,3.99,,, 5.60 ,The Lycan Hunter,Kelsey Jordan,,
iTunes,8/1/15,8/31/15,2,5.6,USD,US,,9781620154502,,894710113,,,,3.99,,, 5.60 ,Winter Hopes,Jennifer Gracen,,
iTunes,8/1/15,8/31/15,3,2.1,USD,US,,9781620154700,,894711760,,,,0.99,,, 2.10 ,Blue Midnight,Tess Thompson,,
iTunes,8/1/15,8/31/15,2,7,USD,US,,9781620154168,,898564978,,,,4.99,,, 7.00 ,Zeus is Dead,Michael G. Munz,,
iTunes,8/1/15,8/31/15,1,2.8,USD,US,,9781620154885,,899402894,,,,3.99,,, 2.80 ,What I Really Learned In College,Addison Winters,,
iTunes,8/1/15,8/31/15,12,58.8,USD,US,,9781620153093,,904181911,,,,6.99,,, 58.80 ,Harm None,Will North,,
iTunes,8/1/15,8/31/15,1,3.5,USD,US,,9781620154076,,904184103,,,,4.99,,, 3.50 ,Under the Squatting Eagle,Dennis Fishel,,
iTunes,8/1/15,8/31/15,1,5.6,USD,US,,9781620154519,,910033626,,,,7.99,,, 5.60 ,My Fluorescent God,Joe Guppy,,
iTunes,8/1/15,8/31/15,2,5.6,USD,US,,9781620155165,,914288632,,,,3.99,,, 5.60 ,Waiting,Bonnie Dodge,,
iTunes,8/1/15,8/31/15,1,2.8,USD,US,,9781620154939,,917482526,,,,3.99,,, 2.80 ,Paper Souls,Allie Burke,,
iTunes,8/1/15,8/31/15,1,2.1,USD,US,,9781620154724,,924156420,,,,2.99,,, 2.10 ,The Music Book,Dave O'Leary,,
iTunes,8/1/15,8/31/15,2,5.6,USD,US,,9781620155271,,924190644,,,,3.99,,, 5.60 ,Spring Shadows,Jennifer Gracen,,
iTunes,8/1/15,8/31/15,1,0.7,USD,US,,9781620155660,,927769984,,,,0.99,,, 0.70 ,The Inn at Laurel Creek,Carolyn Ridder Aspenson,,
iTunes,8/1/15,8/31/15,1,2.1,USD,US,,9781620154557,,930287455,,,,2.99,,, 2.10 ,Heart of a Rocky,Kelsey Jordan,,
iTunes,8/1/15,8/31/15,6,16.8,USD,US,,9781620155158,,930738587,,,,3.99,,, 16.80 ,My Fair Lily,Meara Platt,,
iTunes,8/1/15,8/31/15,10,28,USD,US,,9781620156117,,930966919,,,,3.99,,, 28.00 ,The Old Cape Teapot,Barbara Eppich Struna,,
iTunes,8/1/15,8/31/15,1,3.5,USD,US,,9781620150771,,939981358,,,,4.99,,, 3.50 ,American Goulash,Stephanie Yuhas,,
iTunes,8/1/15,8/31/15,1,2.8,USD,US,,9781620156315,,941335873,,,,3.99,,, 2.80 ,Left to Chance,C.D. Taylor,,
