Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Inscribe,9/1/15,9/30/15,1,2.975,USD,USA,,9781620154106,,,,,,6.99,,,2.975,A Decent Woman,Eleanor Parker Sapia,,9/1/15
Inscribe,9/1/15,9/30/15,1,2.55,USD,USA,,9781620152867,,,,,,5.99,,,2.55,Arachnid,Christopher Turkel,,9/1/15
Inscribe,9/1/15,9/30/15,1,3.4,USD,Australia,,9781620155646,,,,,,7.99,,,3.4,Blue Moon Vegan,Paula Marie Coomer,,9/1/15
Inscribe,9/1/15,9/30/15,1,4.675,USD,USA,,9781620157008,,,,,,10.99,,,4.675,Broken Places,Rachel Thompson,,9/1/15
Inscribe,9/1/15,9/30/15,1,1.275,USD,USA,,9781620156827,,,,,,2.99,,,1.275,Death of a Tango Dancer,Lisa Fernow,,9/1/15
Inscribe,9/1/15,9/30/15,1,1.275,USD,USA,,9781620156827,,,,,,2.99,,,1.275,Death of a Tango Dancer,Lisa Fernow,,9/1/15
Inscribe,9/1/15,9/30/15,1,2.975,USD,USA,,9781620157817,,,,,,6.99,,,2.975,Fall of Knight,Steven Cross,,9/1/15
Inscribe,9/1/15,9/30/15,1,3.4,USD,USA,,9781620153093,,,,,,7.99,,,3.4,Harm None,Will North,,9/1/15
Inscribe,9/1/15,9/30/15,1,3.4,USD,Australia,,9781620150993,,,,,,7.99,,,3.4,Let the Dogs Speak!,Marianne McKiernan,,9/1/15
Inscribe,9/1/15,9/30/15,1,2.55,USD,Canada,,9781620150870,,,,,,5.99,,,2.55,Memoirs Aren't Fairytales: A Story of Addiction (Young Adult Edition),Marni Mann,,9/1/15
Inscribe,9/1/15,9/30/15,4,10.2,USD,USA,,9781620155158,,,,,,5.99,,,10.2,My Fair Lily,Meara Platt,,9/1/15
Inscribe,9/1/15,9/30/15,1,2.55,USD,USA,,9781620150627,,,,,,5.99,,,2.55,One Week,Nikki Van De Car,,9/1/15
Inscribe,9/1/15,9/30/15,3,8.925,USD,USA,,9781620156711,,,,,,6.99,,,8.925,The Duke I'm Going to Marry,Meara Platt,,9/1/15
Inscribe,9/1/15,9/30/15,2,5.95,USD,Germany,,9781620152676,,,,,,6.99,,,5.95,The Long Walk Home,Will North,,9/1/15
Inscribe,9/1/15,9/30/15,1,0.425,USD,Malaysia,,9781620155172,,,,,,0.99,,,0.425,The Lost Eyes,Elise Stephens,,9/1/15
Inscribe,9/1/15,9/30/15,1,3.4,USD,USA,,9781620154168,,,,,,7.99,,,3.4,Zeus is Dead,Michael G. Munz,,9/1/15
