Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
KDP,9/1/15,9/30/15,3,10.41,USD,US,,,,,B00408A724,70%,Standard,4.99,,,10.41,Home Field: Writers Remember Baseball,Sherman Alexie,
KDP,9/1/15,9/30/15,5,6.98,USD,US,,,,,B00408ASDM,35%,Standard,3.98,,,6.98,Invisible Ink,Brian McDonald,
KDP,9/1/15,9/30/15,73,251.09,USD,US,,,,,B00408ASDM,70%,Standard,4.96,,,251.09,Invisible Ink,Brian McDonald,
KDP,9/1/15,9/30/15,5,0,USD,US,,,,,B00408ASDM,70% - promo,Kindle MatchBook,4.99,,,0,Invisible Ink,Brian McDonald,
KDP,9/1/15,9/30/15,2,3.27,USD,US,,,,,B004A14QHI,35%,Standard,4.67,,,3.27,The Golden Theme,Brian McDonald,
KDP,9/1/15,9/30/15,12,32.46,USD,US,,,,,B004A14QHI,70%,Standard,4.82,,,32.46,The Golden Theme,Brian McDonald,
KDP,9/1/15,9/30/15,2,0,USD,US,,,,,B004A14QHI,70% - promo,Kindle MatchBook,4.99,,,0,The Golden Theme,Brian McDonald,
KDP,9/1/15,9/30/15,56,114.24,USD,US,,,,,B004WDRYVE,70%,Standard,2.99,,,114.24,Riversong,Tess Thompson,
KDP,9/1/15,9/30/15,1,2.74,USD,US,,,,,B005F7ENVU,70%,Standard,3.99,,,2.74,Cathedral of Dreams,Terry Persun,
KDP,9/1/15,9/30/15,1,1.55,USD,US,,,,,B005J6GYIM,70%,Standard,2.28,,,1.55,Throwaway,Heather Huffman,
KDP,9/1/15,9/30/15,381,0,USD,US,,,,,B005J6GYIM,N/A,Free - Price Match,2.99,,,0,Throwaway,Heather Huffman,
KDP,9/1/15,9/30/15,10,3.5,USD,US,,,,,B005M780C6,35%,Standard,0.99,,,3.5,Suddenly a Spy,Heather Huffman,
KDP,9/1/15,9/30/15,13,26.65,USD,US,,,,,B005M780C6,70%,Standard,2.99,,,26.65,Suddenly a Spy,Heather Huffman,
KDP,9/1/15,9/30/15,16,5.6,USD,US,,,,,B005S19K1G,35%,Standard,0.99,,,5.6,Ties That Bind,Heather Huffman,
KDP,9/1/15,9/30/15,2,4.12,USD,US,,,,,B005S19K1G,70%,Standard,2.99,,,4.12,Ties That Bind,Heather Huffman,
