Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type, KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Nook,9/1/15,9/1/15,1,0.4,USD,US,2940150801349,9781513701554,,,,,,0.99,,0.4,0.4,Between Heartbeats,,Booktrope Editions ,9/1/15
Nook,9/1/15,9/1/15,1,0.4,USD,US,2940149726790,9781620154700,,,,,,0.99,,0.4,0.4,Blue Midnight,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,1.94,USD,US,2940016713380,9781620152478,,,,,,2.99,,1.94,1.94,Fool's Game,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,2,3.88,USD,US,2940151150965,9781513701516,,,,,,2.99,,1.94,3.88,Full Count ,,Booktrope Editions ,9/1/15
Nook,9/1/15,9/1/15,1,2.59,USD,US,2940151121927,9781513702711,,,,,,3.99,,2.59,2.59,Goddess of Suburbia,,Booktrope Editions ,9/1/15
Nook,9/1/15,9/1/15,1,2.59,USD,US,2940150191693,9781620156087,,,,,,3.99,,2.59,2.59,How Do You Know?,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,2.59,USD,US,2940151004497,9781620159224,,,,,,3.99,,2.59,2.59,Journey,,Booktrope Editions ,9/1/15
Nook,9/1/15,9/1/15,2,0.8,USD,US,2940151591133,9781620159279,,,,,,0.99,,0.4,0.8,Simmering,,Entice by Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,0.8,USD,US,2940150582774,9781620155615,,,,,,1.99,,0.8,0.8,TAG,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,2,5.18,USD,US,2940148388548,9781620152690,,,,,,3.99,,2.59,5.18,The Dark Light of Day,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,2.59,USD,US,2940148596806,9781620152638,,,,,,3.99,,2.59,2.59,The Old Cape House,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,2.59,USD,US,2940150719835,9781620156117,,,,,,3.99,,2.59,2.59,The Old Cape Teapot,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,0.4,USD,US,2940013908055,9781620150467,,,,,,0.99,,0.4,0.4,Tumbleweed,,Booktrope Editions,9/1/15
Nook,9/1/15,9/1/15,1,2.59,USD,US,2940150679894,9781620155165,,,,,,3.99,,2.59,2.59,Waiting,,Booktrope,9/1/15
Nook,9/1/15,9/1/15,1,0.4,USD,US,2940150975859,9781513702476,,,,,,0.99,,0.4,0.4,You're It,,Booktrope Editions ,9/1/15
Nook,9/2/15,9/2/15,1,3.24,USD,US,2940151604598,9781620157428,,,,,,4.99,,3.24,3.24,A Memory in the Black,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,1.94,USD,US,2940150199057,9781620155684,,,,,,2.99,,1.94,1.94,A Shadow in the Flames,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,1.94,USD,US,2940151645966,9781620159323,,,,,,2.99,,1.94,1.94,Alien Love,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,3.24,USD,US,2940149952243,9781620155646,,,,,,4.99,,3.24,3.24,Blue Moon Vegan,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,2,5.18,USD,US,2940150995185,9781513700731,,,,,,3.99,,2.59,5.18,Devil's Nightmare,,Forsaken,9/2/15
Nook,9/2/15,9/2/15,1,0.4,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.4,Ghosts,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,2.59,USD,US,2940151121927,9781513702711,,,,,,3.99,,2.59,2.59,Goddess of Suburbia,,Booktrope Editions ,9/2/15
Nook,9/2/15,9/2/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,2,3.88,USD,US,2940150946064,9781513702698,,,,,,2.99,,1.94,3.88,Hell's Flower,,Entince,9/2/15
Nook,9/2/15,9/2/15,2,0.8,USD,US,2940150340725,9781620155288,,,,,,0.99,,0.4,0.8,Saving Jason,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,3.89,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,3.89,Seasons' End,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,0.8,USD,US,2940150582774,9781620155615,,,,,,1.99,,0.8,0.8,TAG,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,3,7.77,USD,US,2940148388548,9781620152690,,,,,,3.99,,2.59,7.77,The Dark Light of Day,,Booktrope,9/2/15
Nook,9/2/15,9/2/15,1,2.59,USD,US,2940148596806,9781620152638,,,,,,3.99,,2.59,2.59,The Old Cape House,,Booktrope,9/2/15
Nook,9/3/15,9/3/15,1,0.8,USD,US,2940150918818,9781620159255,,,,,,1.99,,0.8,0.8,Explicit Detail,,Entice,9/3/15
Nook,9/3/15,9/3/15,1,4.54,USD,US,2940149662463,9781620153093,,,,,,6.99,,4.54,4.54,Harm None,,Booktrope,9/3/15
Nook,9/3/15,9/3/15,1,1.94,USD,US,2940150946064,9781513702698,,,,,,2.99,,1.94,1.94,Hell's Flower,,Entince,9/3/15
Nook,9/3/15,9/3/15,1,1.94,USD,US,2940148525332,9781620152546,,,,,,2.99,,1.94,1.94,Just Friends with Benefits,,Booktrope,9/3/15
Nook,9/3/15,9/3/15,1,1.94,USD,US,2940150794856,9781513701431,,,,,,2.99,,1.94,1.94,Macyn's Awakening,,Booktrope Editions,9/3/15
Nook,9/3/15,9/3/15,1,1.94,USD,US,2940012509062,9781620150474,,,,,,2.99,,1.94,1.94,Riversong,,Booktrope,9/3/15
Nook,9/3/15,9/3/15,2,5.18,USD,US,2940148388548,9781620152690,,,,,,3.99,,2.59,5.18,The Dark Light of Day,,Booktrope,9/3/15
Nook,9/3/15,9/3/15,1,2.59,USD,US,2940150185067,9781620156711,,,,,,3.99,,2.59,2.59,The Duke Im Going to Marry,,Booktrope,9/3/15
Nook,9/3/15,9/3/15,1,4.54,USD,US,2940151419215,9781620159873,,,,,,6.99,,4.54,4.54,Too Clever By Half,,Booktrope,9/3/15
Nook,9/4/15,9/4/15,1,2.59,USD,US,2940151150194,9781513701141,,,,,,3.99,,2.59,2.59,Broken Promises,,Booktrope Editions ,9/4/15
Nook,9/4/15,9/4/15,1,1.94,USD,US,2940150858206,9781513701059,,,,,,2.99,,1.94,1.94,Crossing the Line,,Booktrope Editions,9/4/15
Nook,9/4/15,9/4/15,1,1.89,GBP,GB,2940016352800,9781620151037,,,,,,1.91,,1.89,1.89,Dizzy in Karachi: A Journey to Pakistan,,Booktrope,9/4/15
Nook,9/4/15,9/4/15,1,0.4,USD,US,2940150642904,9781620156575,,,,,,0.99,,0.4,0.4,Ghosts,,Booktrope,9/4/15
Nook,9/4/15,9/4/15,2,5.18,USD,US,2940151121927,9781513702711,,,,,,3.99,,2.59,5.18,Goddess of Suburbia,,Booktrope Editions ,9/4/15
Nook,9/4/15,9/4/15,1,1.94,USD,US,2940150946064,9781513702698,,,,,,2.99,,1.94,1.94,Hell's Flower,,Entince,9/4/15
Nook,9/4/15,9/4/15,1,2.59,USD,US,2940151150095,9781513703695,,,,,,3.99,,2.59,2.59,Jasmine,,Entice,9/4/15
Nook,9/4/15,9/4/15,1,2.59,USD,US,2940150719804,9781620155158,,,,,,3.99,,2.59,2.59,My Fair Lily,,Booktrope,9/4/15
Nook,9/4/15,9/4/15,1,2.59,USD,US,2940150857407,9781513701509,,,,,,3.99,,2.59,2.59,Prince Charming,,Booktrope Editions,9/4/15
Nook,9/4/15,9/4/15,1,1.94,USD,US,2940150977747,9781513703572,,,,,,2.99,,1.94,1.94,Saving Leah,,Booktrope Editions ,9/4/15
Nook,9/4/15,9/4/15,2,7.78,USD,US,2940148220442,9781620152652,,,,,,5.99,,3.89,7.78,Seasons' End,,Booktrope,9/4/15
