Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Scribd,9/1/15,9/30/15,1,4.5,usd,United States,,9781620150931,,,,,,8.99,,,4.50,The Art of Selling Real Estate,,,
Scribd,9/1/15,9/30/15,1,2.5,usd,United States,,9781620150016,,,,,,4.99,,,2.50,Invisible Ink,Brian McDonald,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,United States,,9781620150542,,,,,,2.99,,,1.50,Revision 7: DNA,Terry Persun,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,Canada,,9781620150375,,,,,,2.99,,,1.50,Bumbling into Body Hair: A Transsexual's Memoir,Everett Maroon,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,2,usd,United States,,9781620150054,,,,,,3.99,,,2.00,The Golden Theme,Brian McDonald,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,United States,,9781620151037,,,,,,2.99,,,1.50,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.50,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,United States,,9781620150337,,,,,,2.99,,,1.50,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,2,usd,United States,,9781620150689,,,,,,3.99,,,2.00,Scars from a Memoir,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,2,usd,United States,,9781620150689,,,,,,3.99,,,2.00,Scars from a Memoir,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,United States,,9781620152416,,,,,,2.99,,,1.50,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,United States,,9781620152416,,,,,,2.99,,,1.50,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,Saudi Arabia,,9781620152416,,,,,,2.99,,,1.50,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,South Africa,,9781620152416,,,,,,2.99,,,1.50,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,Canada,,9781620152416,,,,,,2.99,,,1.50,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,1.5,usd,Romania,,9781620152416,,,,,,2.99,,,1.50,Seductive Shadows,Marni Mann,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,0.25,usd,United States,,9781620150016,,,,,,4.99,,,0.25,Invisible Ink,Brian McDonald,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,0.25,usd,United States,,9781620150016,,,,,,4.99,,,0.25,Invisible Ink,Brian McDonald,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,0.25,usd,United States,,9781620150016,,,,,,4.99,,,0.25,Invisible Ink,Brian McDonald,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,0.25,usd,United States,,9781620150016,,,,,,4.99,,,0.25,Invisible Ink,Brian McDonald,Booktrope Publishing,
Scribd,9/1/15,9/30/15,1,0.25,usd,Russian Federation,,9781620150016,,,,,,4.99,,,0.25,Invisible Ink,Brian McDonald,Booktrope Publishing,
