Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,4/1/15,4/30/15,1,1.38,USD,United States,,,,,B00U9WWU9S,,KOLL,,,,1.38,Lori Culwell,The Dirt
Encore,4/1/15,4/30/15,1,1.38,USD,United States,,,,,B00U9WWU9S,,KINDLE,,,,1.38,Lori Culwell,The Dirt
Encore,4/1/15,4/30/15,329,456.73,USD,United States,,,,,B00OA9GDGW,,KU,,,,456.73,Marni Mann,Pulled Beneath
Encore,4/1/15,4/30/15,72,99.95,USD,United States,,,,,B00OA9GDGW,,KOLL,,,,99.95,Marni Mann,Pulled Beneath
Encore,4/1/15,4/30/15,175,242.94,USD,United States,,,,,B00OA9GDGW,,KINDLE,,,,242.94,Marni Mann,Pulled Beneath
Encore,4/1/15,4/30/15,3,3.06,GBP,United Kingdom,,,,,B00OA9GDGW,,KU,,,,4.7064024,Marni Mann,Pulled Beneath
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDGW,,KINDLE,,,,3.1376016,Marni Mann,Pulled Beneath
Encore,4/1/15,4/30/15,102,140.6,USD,United States,,,,,B00OA9GDCG,,KU,,,,140.6,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,22,30.33,USD,United States,,,,,B00OA9GDCG,,KOLL,,,,30.33,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,84,115.79,USD,United States,,,,,B00OA9GDCG,,KINDLE,,,,115.79,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,9,9.17,GBP,United Kingdom,,,,,B00OA9GDCG,,KU,,,,14.1038268,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDCG,,KOLL,,,,3.1376016,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,14,14.26,GBP,United Kingdom,,,,,B00OA9GDCG,,KINDLE,,,,21.9324504,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,1,1.19,EUR,France,,,,,B00OA9GDCG,,KOLL,,,,1.3123796,Meredith Schorr,A State of Jane
Encore,4/1/15,4/30/15,42,58.37,USD,United States,,,,,B00TG14YRO,,KU,,,,58.37,Meredith Schorr,Blogger Girl
Encore,4/1/15,4/30/15,9,12.51,USD,United States,,,,,B00TG14YRO,,KOLL,,,,12.51,Meredith Schorr,Blogger Girl
Encore,4/1/15,4/30/15,58,80.61,USD,United States,,,,,B00TG14YRO,,KINDLE,,,,80.61,Meredith Schorr,Blogger Girl
Encore,4/1/15,4/30/15,1,1.44,USD,Canada,,,,,B00TG14YRO,,KU,,,,1.44,Meredith Schorr,Blogger Girl
Encore,4/1/15,4/30/15,4,4.07,GBP,United Kingdom,,,,,B00TG14YRO,,KU,,,,6.2598228,Meredith Schorr,Blogger Girl
Encore,4/1/15,4/30/15,12,12.22,GBP,United Kingdom,,,,,B00TG14YRO,,KINDLE,,,,18.7948488,Meredith Schorr,Blogger Girl
Encore,4/1/15,4/30/15,27,37.71,USD,United States,,,,,B00OA9GDGM,,KU,,,,37.71,Mike McNeff,GOTU
Encore,4/1/15,4/30/15,7,9.78,USD,United States,,,,,B00OA9GDGM,,KOLL,,,,9.78,Mike McNeff,GOTU
Encore,4/1/15,4/30/15,26,36.31,USD,United States,,,,,B00OA9GDGM,,KINDLE,,,,36.31,Mike McNeff,GOTU
Encore,4/1/15,4/30/15,4,1.74,GBP,United Kingdom,,,,,B00OA9GDGM,,KINDLE,,,,2.6761896,Mike McNeff,GOTU
Encore,4/1/15,4/30/15,14,19.55,USD,United States,,,,,B00OA9GDEO,,KU,,,,19.55,Mike McNeff,Necessary Retribution
Encore,4/1/15,4/30/15,4,5.59,USD,United States,,,,,B00OA9GDEO,,KOLL,,,,5.59,Mike McNeff,Necessary Retribution
Encore,4/1/15,4/30/15,32,44.69,USD,United States,,,,,B00OA9GDEO,,KINDLE,,,,44.69,Mike McNeff,Necessary Retribution
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00U9WWU5M,,KINDLE,,,,1.4,Shari J. Ryan,Schasm
Encore,4/1/15,4/30/15,9,12.57,USD,United States,,,,,B00U9WWU5M,,KU,,,,12.57,Shari J. Ryan,Schasm
Encore,4/1/15,4/30/15,1,1.03,EUR,Germany,,,,,B00U9WWU5M,,KU,,,,1.1359252,Shari J. Ryan,Schasm
Encore,4/1/15,4/30/15,8,11.17,USD,United States,,,,,B00OA9GE34,,KU,,,,11.17,Tamsen Schultz,The Puppeteer
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00OA9GE34,,KOLL,,,,1.4,Tamsen Schultz,The Puppeteer
Encore,4/1/15,4/30/15,7,9.78,USD,United States,,,,,B00OA9GE34,,KINDLE,,,,9.78,Tamsen Schultz,The Puppeteer
Encore,4/1/15,4/30/15,1,1.19,EUR,France,,,,,B00OA9GE34,,KINDLE,,,,1.3123796,Tamsen Schultz,The Puppeteer
Encore,4/1/15,4/30/15,10,15.01,USD,United States,,,,,B00OA9GDYY,,KU,,,,15.01,Tamsen Schultz,A Tainted Mind
Encore,4/1/15,4/30/15,4,6.01,USD,United States,,,,,B00OA9GDYY,,KINDLE,,,,6.01,Tamsen Schultz,A Tainted Mind
Encore,4/1/15,4/30/15,5,6.98,USD,United States,,,,,B00TG14Z9G,,KU,,,,6.98,Terry Persun,Doublesight
Encore,4/1/15,4/30/15,1,0.99,GBP,United Kingdom,,,,,B00TG14Z9G,,KU,,,,1.5226596,Terry Persun,Doublesight
Encore,4/1/15,4/30/15,1,0.99,GBP,United Kingdom,,,,,B00TG14Z9G,,KINDLE,,,,1.5226596,Terry Persun,Doublesight
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00TG14Z7S,,KINDLE,,,,1.4,Terry Persun,Revision 7: DNA
Encore,4/1/15,4/30/15,1,1.4,USD,United States,,,,,B00TG14Z7S,,KU,,,,1.4,Terry Persun,Revision 7: DNA
Encore,4/1/15,4/30/15,109,150.28,USD,United States,,,,,B00OA9GDDA,,KU,,,,150.28,Tess Thompson,Tea and Primroses
Encore,4/1/15,4/30/15,6,8.27,USD,United States,,,,,B00OA9GDDA,,KOLL,,,,8.27,Tess Thompson,Tea and Primroses
Encore,4/1/15,4/30/15,67,92.37,USD,United States,,,,,B00OA9GDDA,,KINDLE,,,,92.37,Tess Thompson,Tea and Primroses
Kindle,4/1/15,4/30/15,376,317.37,EUR,Germany,,,,,B004WDRYVE,,KU,,,,350.0083308,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Kindle,4/1/15,4/30/15,35,29.54,EUR,Germany,,,,,B004WDRYVE,,KOLL,,,,32.5778936,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Kindle,4/1/15,4/30/15,211,178.1,EUR,Germany,,,,,B004WDRYVE,,KINDLE,,,,196.415804,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Kindle,4/1/15,4/30/15,2,1.49,EUR,Germany,,,,,B004WDRYVE,,Amazon Website,,,,1.6432316,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
