Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],TITLE,AUTHOR,RETAILER,PERIOD
Inscribe,6/1/15,,1,3.3065,USD,Canada,,9781620155158,,,,,,5.99,,,3.3065,My Fair Lily,Meara Platt,3M Retail Sales CAN,P06 15 (Jun 15)
Inscribe,6/1/15,,1,6.069,USD,Canada,,9781620156032,,,,,,10.99,,,6.069,Op-Dec: Operation Deceipt,K. Williams,3M Retail Sales CAN,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.859,USD,Canada,,9781620156339,,,,,,6.99,,,3.859,Out from Under,"Dee Middleton-Taylor, Melanie Donithan, Suzanne Curry",3M Retail Sales CAN,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.859,USD,Canada,,9781620156711,,,,,,6.99,,,3.859,The Duke I'm Going to Marry,Meara Platt,3M Retail Sales CAN,P06 15 (Jun 15)
Inscribe,6/1/15,,1,4.4115,USD,United States of America,,9781620156346,,,,,,7.99,,,4.4115,Rainbow Curve,Michael Boylan,3M Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.4,USD,New Zealand,,9781620156186,,,,,,7.99,,,3.4,Auggie Appleby's Wild Goose Chase,"Billie Morton, Robin Maxwell",OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.4,USD,New Zealand,,9781620156162,,,,,,7.99,,,3.4,Blood & Spirits,Dennis Sharpe,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.4,USD,United States of America,,9781620155646,,,,,,7.99,,,3.4,Blue Moon Vegan,Paula Marie Coomer,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,4.675,USD,United States of America,,9781620157008,,,,,,10.99,,,4.675,Broken Places,Rachel Thompson,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,2.975,USD,United States of America,,9781620155301,,,,,,6.99,,,2.975,Crazy Little Thing Called Matchmaking,Maggie Van Well,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,1.275,USD,United States of America,,9781620156827,,,,,,2.99,,,1.275,Death of a Tango Dancer,Lisa Fernow,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,1.275,USD,New Zealand,,9781620157022,,,,,,2.99,,,1.275,Destroyer of Worlds,Dennis Sharpe,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,2.975,USD,Canada,,9781620157404,,,,,,6.99,,,2.975,Duet for Three Hands,Tess Thompson,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,2,5.1,USD,United States of America,,9781620157350,,,,,,5.99,,,5.1,Granted Wishes,Tanya Vought,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.4,USD,United States of America,,9781620153093,,,,,,7.99,,,3.4,Harm None,Will North,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,3.4,USD,United States of America,,9781620155721,,,,,,7.99,,,3.4,Misadventures of Princess Sydney,Chris Minich,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,6,15.3,USD,United States of America,,9781620155158,,,,,,5.99,,,15.3,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,4.675,USD,Canada,,9781620156032,,,,,,10.99,,,4.675,Op-Dec: Operation Deceipt,K. Williams,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,2.975,USD,United States of America,,9781620156377,,,,,,6.99,,,2.975,Rules for the Perpetual Diet,K.S.R. Burns,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,2.55,USD,Canada,,9781620156605,,,,,,5.99,,,2.55,Seven Weeks to Forever,Jennifer Farwell,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,2,5.95,USD,United States of America,,9781620155271,,,,,,6.99,,,5.95,Spring Shadows,Jennifer Gracen,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
