Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
Oyster,5/1/15,5/31/15,1,1.5,USD,,,9781620150597,,,,,,2.99,,1.5,1.5,"Demon Weather: Da Silva Tales, Volume 1",Chico Kidd,Booktrope Editions
Oyster,5/1/15,5/31/15,1,1.5,USD,,,9781620152454,,,,,,2.99,,1.5,1.5,Godspeed,February Grace,Booktrope Editions
Oyster,5/1/15,5/31/15,3,4.5,USD,,,9781620150283,,,,,,2.99,,1.5,4.5,Throwaway,Heather Huffman,Booktrope Editions
Oyster,5/1/15,5/31/15,1,1.5,USD,,,9781620150382,,,,,,2.99,,1.5,1.5,Ties That Bind,Heather Huffman,Booktrope Editions
Oyster,5/1/15,5/31/15,10,15,USD,,,9781620150337,,,,,,2.99,,1.5,15,Memoirs Aren't Fairytales,Marni Mann,Booktrope Editions
Oyster,5/1/15,5/31/15,1,1.5,USD,,,9781620150870,,,,,,2.99,,1.5,1.5,Memoirs Aren't Fairytales (Young Adult Edition),Marni Mann,Booktrope Editions
Oyster,5/1/15,5/31/15,29,43.5,USD,,,9781620152546,,,,,,2.99,,1.5,43.5,Just Friends with Benefits,Meredith Schorr,Booktrope Editions
Oyster,5/1/15,5/31/15,1,1.5,USD,,,9781620150511,,,,,,2.99,,1.5,1.5,Tulip Season: A Mitra Basu Mystery,Bharti Kirchner,Booktrope Editions
Oyster,5/1/15,5/31/15,1,2.5,USD,,,9781620150016,,,,,,4.99,,2.5,2.5,Invisible Ink,Brian McDonald,Booktrope Editions
Oyster,5/1/15,5/31/15,1,2,USD,,,9781620150054,,,,,,3.99,,2,2,The Golden Theme,Brian McDonald,Booktrope Editions
Oyster,5/1/15,5/31/15,2,3,USD,,,9781620150221,,,,,,2.99,,1.5,3,Thank You for Flying Air Zoe,Erik Atwell,Booktrope Editions
Oyster,5/1/15,5/31/15,5,7.5,USD,,,9781620150344,,,,,,2.99,,1.5,7.5,Jailbird,Heather Huffman,Booktrope Editions
Oyster,5/1/15,5/31/15,14,7,USD,,,9781620150467,,,,,,0.99,,0.5,7,Tumbleweed,Heather Huffman,Booktrope Editions
Oyster,5/1/15,5/31/15,6,12,USD,,,9781620150689,,,,,,3.99,,2,12,Scars from a Memoir,Marni Mann,Booktrope Editions
Oyster,5/1/15,5/31/15,1,2,USD,,,9781620150948,,,,,,3.99,,2,2,Scars from a Memoir (Young Adult Edition),Marni Mann,Booktrope Editions
Oyster,5/1/15,5/31/15,1,4.5,USD,,,9781620150931,,,,,,8.99,,4.5,4.5,The Art of Selling Real Estate,Patricia Cliff,Booktrope Editions
Oyster,5/1/15,5/31/15,1,2,USD,,,9781620152638,,,,,,3.99,,2,2,The Old Cape House,Barbara Eppich Struna,Booktrope Editions
Oyster,5/1/15,5/31/15,1,4.98,USD,,,9781620150504,,,,,,9.95,,4.98,4.98,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",Joanne Black,Booktrope Editions
Oyster,5/1/15,5/31/15,1,2,USD,,,9781620152652,,,,,,3.99,,2,2,Seasons' End,"North, Will",Booktrope Editions
Oyster,5/1/15,5/31/15,2,5,USD,,,9781620154168,,,,,,4.99,,2.5,5,Zeus is Dead,Michael G. Munz,Booktrope Editions
Oyster,5/1/15,5/31/15,1,2,USD,,,9781620156087,,,,,,3.99,,2,2,How do you Know?,Meredith Schorr,Booktrope Editions
Oyster,5/1/15,5/31/15,2,4,USD,,,9781620156834,,,,,,3.99,,2,4,Summer Champagne,Jennifer Gracen,Booktrope Editions
Oyster,5/1/15,5/31/15,2,3.96,USD,,,9781620157466,,,,,,3.95,,1.98,3.96,By the River,Jae Carvel,Booktrope Editions
Oyster,6/1/15,6/30/15,1,1.5,USD,,,9781620151037,,,,,,2.99,,1.5,1.5,Dizzy in Karachi,Maliha Masood,Booktrope Editions
Oyster,6/1/15,6/30/15,7,10.5,USD,,,9781620150337,,,,,,2.99,,1.5,10.5,Memoirs Aren't Fairytales,Marni Mann,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2.5,USD,,,9781620151051,,,,,,4.99,,2.5,2.5,"Heart and Sole: How 26 Ran a Marathon (And You Can, Too)",Melinda HinsonNeely,Booktrope Editions
Oyster,6/1/15,6/30/15,29,43.5,USD,,,9781620152546,,,,,,2.99,,1.5,43.5,Just Friends with Benefits,Meredith Schorr,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2,USD,,,9781620152690,,,,,,3.99,,2,2,The Dark Light of Day,T.M. Frazier,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2.5,USD,,,9781620150016,,,,,,4.99,,2.5,2.5,Invisible Ink,Brian McDonald,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2.5,USD,,,9781620150795,,,,,,4.99,,2.5,2.5,Ink Spots,Brian McDonald,Booktrope Editions
Oyster,6/1/15,6/30/15,1,1.5,USD,,,9781620150498,,,,,,2.99,,1.5,1.5,Phobia,Daniel Lance Wright,Booktrope Editions
Oyster,6/1/15,6/30/15,2,3,USD,,,9781620150221,,,,,,2.99,,1.5,3,Thank You for Flying Air Zoe,Erik Atwell,Booktrope Editions
Oyster,6/1/15,6/30/15,2,3,USD,,,9781620150344,,,,,,2.99,,1.5,3,Jailbird,Heather Huffman,Booktrope Editions
Oyster,6/1/15,6/30/15,7,3.5,USD,,,9781620150467,,,,,,0.99,,0.5,3.5,Tumbleweed,Heather Huffman,Booktrope Editions
Oyster,6/1/15,6/30/15,2,4,USD,,,9781620150689,,,,,,3.99,,2,4,Scars from a Memoir,Marni Mann,Booktrope Editions
Oyster,6/1/15,6/30/15,2,4,USD,,,9781620150948,,,,,,3.99,,2,4,Scars from a Memoir (Young Adult Edition),Marni Mann,Booktrope Editions
Oyster,6/1/15,6/30/15,1,4.5,USD,,,9781620150931,,,,,,8.99,,4.5,4.5,The Art of Selling Real Estate,Patricia Cliff,Booktrope Editions
Oyster,6/1/15,6/30/15,1,1.5,USD,,,9781620152904,,,,,,2.99,,1.5,1.5,"Be Strong, Be Smart: A Father Talks to His Daughter About Sex",John Thomas Wood,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2,USD,,,9781620152652,,,,,,3.99,,2,2,Seasons' End,"North, Will",Booktrope Editions
Oyster,6/1/15,6/30/15,1,2,USD,,,9781620154243,,,,,,3.99,,2,2,Last Impressions,A.J. Aalto,Booktrope Editions
Oyster,6/1/15,6/30/15,2,5,USD,,,9781620154168,,,,,,4.99,,2.5,5,Zeus is Dead,Michael G. Munz,Booktrope Editions
Oyster,6/1/15,6/30/15,1,1.5,USD,,,9781620155981,,,,,,2.99,,1.5,1.5,Dead Girl Walking,Ruth Silver,Booktrope Editions
Oyster,6/1/15,6/30/15,2,4,USD,,,9781620156087,,,,,,3.99,,2,4,How do you Know?,Meredith Schorr,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2,USD,,,9781620156711,,,,,,3.99,,2,2,The Duke I'm Going to Marry,Meara Platt,Booktrope Editions
