Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type, KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620153673,,,,,,,,5.27,If I Say Yes,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620154793,,,,,,,,5.22,If I Say No,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620155875,,,,,,,,6.11,How Do You Know?,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9780984178629,,,,,,,,8.48,Invisible Ink,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620154618,,,,,,,,6.13,The Paragraph Ranch,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620155899,,,,,,,,5.32,Ride of Your Life,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781935961895,,,,,,,,6.49,The Art of Selling Real Estate,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620151815,,,,,,,,3.84,Bending Time,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620157213,,,,,,,,3.56,"The Adventures of Emery Jones, Boy Science Wonder: The Hard Problem",,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620157244,,,,,,,,4.72,By the River,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620156919,,,,,,,,6.66,This Thing We Call Sex: A Radically Sensible Look at Sex in America,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9780984178629,,,,,,,,8.48,Invisible Ink,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9780984178674,,,,,,,,5.48,The Golden Theme,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620155875,,,,,,,,6.11,How Do You Know?,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620152126,,,,,,,,6.08,Exodus 2022,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620157602,,,,,,,,4.98,Fall of Knight,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620157602,,,,,,,,4.98,Fall of Knight,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9780984178674,,,,,,,,5.48,The Golden Theme,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781935961758,,,,,,,,3.35,Ink Spots,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620154410,,,,,,,,5.70,My Fluorescent God,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620157602,,,,,,,,4.98,Fall of Knight,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781935961291,,,,,,,,5.68,Memoirs Aren't Fairytales: A Story of Addiction,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620152133,,,,,,,,6.18,Harm None,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620151860,,,,,,,,4.12,Zips Goes Wandering,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781935961147,,,,,,,,6.13,Riversong,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620151464,,,,,,,,6.42,Riverstar,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620151716,,,,,,,,6.06,The Long Walk Home,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781935961420,,,,,,,,3.01,Tumbleweed,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620151426,,,,,,,,6.06,Riverbend,,,
CreateSpace,4/1/15,4/30/15,1,,USD,US,,,9781620151709,,,,,,,,5.75,"Water, Stone, Heart",,,
