Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
CreateSpace,9/1/15,9/30/15,1,6.73,USD,US,,,9781935961468,,,,,16.95,,,,"Pick Up the Damn Phone! How People, Not Technology, Seal the Deal",,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.74,USD,US,,,9781620158883,,,,,11.95,,,,Kindness Wins,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,2.55,GBP,UK,,,9781513701998,,,,,8.95,,,,Tales of Blood and Sulphur: Apocalypse Minor,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.74,USD,US,,,9781620158883,,,,,11.95,,,,Kindness Wins,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.05,USD,US,,,9781620157718,,,,,13.95,,,,Underwater Secrets,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.51,USD,US,,,9781513702292,,,,,14.95,,,,Goddess of Suburbia,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.32,USD,US,,,9781620155899,,,,,13.95,,,,Ride of Your Life,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.26,USD,US,,,9781620157619,,,,,11.95,,,,The Legend of the Light Keeper,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,8.48,USD,US,,,9780984178629,,,,,18.95,,,,Invisible Ink,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,6.37,USD,US,,,9781620154267,,,,,20.95,,,,Zeus Is Dead: A Monstrously Inconvenient Adventure,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.09,USD,US,,,9781513701769,,,,,10.95,,,,Veronika Layne Has a Nose for News,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.09,USD,US,,,9781513701769,,,,,10.95,,,,Veronika Layne Has a Nose for News,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.32,USD,US,,,9781620155899,,,,,13.95,,,,Ride of Your Life,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,6.37,USD,US,,,9781513700052,,,,,16.95,,,,Red Nights,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.09,USD,US,,,9781513701769,,,,,10.95,,,,Veronika Layne Has a Nose for News,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,2.81,GBP,UK,,,9781620151891,,,,,9.89,,,,Revontuli,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.38,EUR,EU,,,9781935961895,,,,,13.03,,,,The Art of Selling Real Estate,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.51,USD,US,,,9781513701189,,,,,14.95,,,,The Girl's Guide to the Apocalypse,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,7.93,USD,US,,,9781620155479,,,,,23.95,,,,Parallel Extinction,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,3.64,USD,US,,,9781935961185,,,,,11.95,,,,Let the Dogs Speak!,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,2.4,GBP,UK,,,9781620151730,,,,,9.48,,,,The Dark Light of Day,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.17,USD,US,,,9781620151679,,,,,15.95,,,,The Old Cape House,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,6.47,USD,US,,,9781513700199,,,,,17.95,,,,Sugar Scars,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.74,USD,US,,,9781620158883,,,,,11.95,,,,Kindness Wins,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.48,USD,US,,,9781620154625,,,,,15.95,,,,The Music Book,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,4.33,USD,US,,,9781935961994,,,,,12.95,,,,Dizzy in Karachi: A Journey to Pakistan,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.65,USD,US,,,9781935961260,,,,,14.95,,,,The Essential Stay-at-Home Mom Manual,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.27,USD,US,,,9781620151754,,,,,12.95,,,,Living and Dying with Dogs,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,7.12,USD,US,,,9781620157565,,,,,19.95,,,,Golf Is No Ordinary Game,,,9/1/15
CreateSpace,9/1/15,9/30/15,1,5.24,USD,US,,,9781620154649,,,,,13.95,,,,Dangled Carat,,,9/2/15
