Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date,9/30/15
Encore,9/1/15,,28,39.1,USD,United States,,,,,B00OA9GDDA,,Standard,,,,39.1,Tea and Primroses,Tess Thompson,,,1
Encore,9/1/15,,51,71.22,USD,United States,,,,,B00OA9GDDA,,KU,,,,71.22,Tea and Primroses,Tess Thompson,,,1
Encore,9/1/15,,1,1.37,USD,Australia,,,,,B00OA9GDDA,,Standard,,,,1.37,Tea and Primroses,Tess Thompson,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDA,,KU,,,,1.5467688,Tea and Primroses,Tess Thompson,,,1.51644
Encore,9/1/15,,1,1.4,USD,United States,,,,,B00OA9GDCQ,,Standard,,,,1.4,The Concealing,D.E.L. Connor,,,1
Encore,9/1/15,,3,4.19,USD,United States,,,,,B00OA9GDCQ,,KU,,,,4.19,The Concealing,D.E.L. Connor,,,1
Encore,9/1/15,,3,4.19,USD,United States,,,,,B00OA9GDGW,,Standard,,,,4.19,Pulled Beneath,Marni Mann,,,1
Encore,9/1/15,,1,1.4,USD,United States,,,,,B00OA9GDGW,,KOLL,,,,1.4,Pulled Beneath,Marni Mann,,,1
Encore,9/1/15,,8,11.17,USD,United States,,,,,B00OA9GDGW,,KU,,,,11.17,Pulled Beneath,Marni Mann,,,1
Encore,9/1/15,,49,17.83,GBP,United Kingdom,,,,,B00OA9GDGW,,KU,,,,27.0381252,Pulled Beneath,Marni Mann,,,1.51644
Encore,9/1/15,,323,117.55,GBP,United Kingdom,,,,,B00OA9GDGW,,Standard,,,,178.257522,Pulled Beneath,Marni Mann,,,1.51644
Encore,9/1/15,,6,8.25,USD,United States,,,,,B00OA9GDCG,,KOLL,,,,8.25,A State of Jane,Meredith,,,1
Encore,9/1/15,,24,33.02,USD,United States,,,,,B00OA9GDCG,,Standard,,,,33.02,A State of Jane,Meredith,,,1
Encore,9/1/15,,40,55.03,USD,United States,,,,,B00OA9GDCG,,KU,,,,55.03,A State of Jane,Meredith,,,1
Encore,9/1/15,,1,1.39,USD,Canada,,,,,B00OA9GDCG,,KU,,,,1.39,A State of Jane,Meredith,,,1
Encore,9/1/15,,1,1.39,USD,Canada,,,,,B00OA9GDCG,,Standard,,,,1.39,A State of Jane,Meredith,,,1
Encore,9/1/15,,4,4.07,GBP,United Kingdom,,,,,B00OA9GDCG,,KU,,,,6.1719108,A State of Jane,Meredith,,,1.51644
Encore,9/1/15,,6,6.11,GBP,United Kingdom,,,,,B00OA9GDCG,,Standard,,,,9.2654484,A State of Jane,Meredith,,,1.51644
Encore,9/1/15,,148,106.34,USD,United States,,,,,B00OA9GDD0,,Standard,,,,106.34,Next Year I'll be Perfect,Laura Kilmartin,,,1
Encore,9/1/15,,12,8.62,USD,United States,,,,,B00OA9GDD0,,KOLL,,,,8.62,Next Year I'll be Perfect,Laura Kilmartin,,,1
Encore,9/1/15,,77,55.32,USD,United States,,,,,B00OA9GDD0,,KU,,,,55.32,Next Year I'll be Perfect,Laura Kilmartin,,,1
Encore,9/1/15,,2,1.38,USD,India,,,,,B00OA9GDD0,,KU,,,,1.38,Next Year I'll be Perfect,Laura Kilmartin,,,1
Encore,9/1/15,,97,70.5,USD,United States,,,,,B00OA9GDFI,,Standard,,,,70.5,Blogger Girl,Meredith,,,1
Encore,9/1/15,,6,4.36,USD,United States,,,,,B00OA9GDFI,,KOLL,,,,4.36,Blogger Girl,Meredith,,,1
Encore,9/1/15,,42,30.53,USD,United States,,,,,B00OA9GDFI,,KU,,,,30.53,Blogger Girl,Meredith,,,1
Encore,9/1/15,,3,1.57,USD,Canada,,,,,B00OA9GDFI,,Standard,,,,1.57,Blogger Girl,Meredith,,,1
Encore,9/1/15,,2,2.04,GBP,United Kingdom,,,,,B00OA9GDFI,,KU,,,,3.0935376,Blogger Girl,Meredith,,,1.51644
Encore,9/1/15,,4,4.07,GBP,United Kingdom,,,,,B00OA9GDFI,,Standard,,,,6.1719108,Blogger Girl,Meredith,,,1.51644
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDFI,,KOLL,,,,1.5467688,Blogger Girl,Meredith,,,1.51644
Encore,9/1/15,,1,1.03,EUR,Germany,,,,,B00OA9GDFI,,Standard,,,,1.1580496,Blogger Girl,Meredith,,,1.12432
Encore,9/1/15,,218,223.02,USD,United States,,,,,B00OA9GDEY,,KU,,,,223.02,"Water, Stone Heart",Will North,,,1
Encore,9/1/15,,32,32.74,USD,United States,,,,,B00OA9GDEY,,KOLL,,,,32.74,"Water, Stone Heart",Will North,,,1
Encore,9/1/15,,381,389.77,USD,United States,,,,,B00OA9GDEY,,Standard,,,,389.77,"Water, Stone Heart",Will North,,,1
Encore,9/1/15,,1,1.37,USD,Canada,,,,,B00OA9GDEY,,Standard,,,,1.37,"Water, Stone Heart",Will North,,,1
Encore,9/1/15,,2,2.73,USD,Canada,,,,,B00OA9GDEY,,KU,,,,2.73,"Water, Stone Heart",Will North,,,1
Encore,9/1/15,,1,1.33,USD,Australia,,,,,B00OA9GDEY,,Standard,,,,1.33,"Water, Stone Heart",Will North,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEY,,KOLL,,,,1.5467688,"Water, Stone Heart",Will North,,,1.51644
Encore,9/1/15,,2,2.04,GBP,United Kingdom,,,,,B00OA9GDEY,,Standard,,,,3.0935376,"Water, Stone Heart",Will North,,,1.51644
Encore,9/1/15,,2,2.04,GBP,United Kingdom,,,,,B00OA9GDEY,,KU,,,,3.0935376,"Water, Stone Heart",Will North,,,1.51644
