Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,publisher_imprint,Sale Date
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9780984178605,,,,,16.95,,,,Unoriginal Misunderstanding - Press Freedom in Early America and Interpretation of the First Amendment,"Shear, Kenneth",Libertary Co.,
LSI,9/1/15,9/30/15,2,3.78,USD,United States,,,9780984178612,,,,,6.99,,,,Luscious Chocolate Smoothies: An Irresistible Collection of Healthy Cocoa Delights,"Constans, Gabriel",Libertary Co.,
LSI,9/1/15,9/30/15,20,108.4,USD,United States,,,9780984178629,,,,,18.95,,,,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,1,5.42,USD,Germany,,,9780984178629,,,,,18.95,,,,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,1,5.42,USD,United States,,,9780984178629,,,,,18.95,,,,Invisible Ink: A Practical Guide to Building Stories That Resonate,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9780984178650,,,,,14.95,,,,The First Father Abraham: The Psychology and Culture of a Spiritual Revolutionary,"Abramovitch, Henry Hanoch",Libertary Co.,
LSI,9/1/15,9/30/15,4,9.68,USD,United States,,,9780984178667,,,,,13.95,,,,Home Field: Writers Remember Baseball,"Alexie, Sherman",Libertary Co.,
LSI,9/1/15,9/30/15,8,26.72,USD,United States,,,9780984178674,,,,,12.95,,,,The Golden Theme: How to Make Your Writing Appeal to the Highest Common Denominator,"McDonald, Brian",Libertary Co.,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9780984178681,,,,,12.95,,,,"Paging Dr. Leff: Pride, Patriotism and Protest","Constans, Gabriel",Libertary Co.,
LSI,9/1/15,9/30/15,3,9.36,USD,United States,,,9781513700014,,,,,16.95,,,,"Blood, Spirit & Bone","Thompson, Camela",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700052,,,,,16.95,,,,Red Nights,"Ryan, Shari J.",Booktrope Editions,
LSI,9/1/15,9/30/15,4,13.64,USD,United States,,,9781513700199,,,,,17.95,,,,Sugar Scars,"Norwood, Travis",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700205,,,,,11.95,,,,The Devil Within,"Greene, Lauren",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.31,USD,United States,,,9781513700229,,,,,10.95,,,,The Hippity Dippity Witch,"O'Byrne, Lorraine",Updrift,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700281,,,,,14.95,,,,"Once Again, With Blood","Weiner, Larry",Forsaken,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700311,,,,,14.95,,,,Paradise Rot,"Weiner, Larry",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700342,,,,,12.95,,,,The Dead Cat Paradox,"Rise, S.E.",Forsaken,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700380,,,,,15.95,,,,Dragon's Future,"Wyatt, Kandi J.",Updrift,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700427,,,,,19.95,,,,Devil's Nightmare,"Pruneda, Robert",Forsaken,
LSI,9/1/15,9/30/15,6,20.82,USD,United States,,,9781513700748,,,,,18.95,,,,Monochrome,"Jones, H.M.",Gravity,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781513700755,,,,,20.95,,,,Josie Jameson and the Fourth Tombstone,"Hotes, Jennifer",Booktrope Editions,
LSI,9/1/15,9/30/15,7,23.59,USD,United States,,,9781513700786,,,,,18.95,,,,Disenchanted,"Ursel, Janet",Vox Dei,
LSI,9/1/15,9/30/15,1,3.22,USD,United States,,,9781513700793,,,,,16.95,,,,The Dark Side of the Rainbow,"Hogan, Rita",Booktrope Editions,
