Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,List Price [multi-ccy],ASIN,KDP - Royalty Type,KDP - Transaction Type,ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
Oyster,9/1/15,9/30/15,1,1.5,USD,,,9781620150283,,,2.99,,,,,,1.5,Throwaway,Heather Huffman,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,1.5,USD,,,9781620150382,,,2.99,,,,,,1.5,Ties That Bind,Heather Huffman,Booktrope Editions,
Oyster,9/1/15,9/30/15,6,9,USD,,,9781620151037,,,2.99,,,,,,9,Dizzy in Karachi,Maliha Masood,Booktrope Editions,
Oyster,9/1/15,9/30/15,8,12,USD,,,9781620150337,,,2.99,,,,,,12,Memoirs Aren't Fairytales,Marni Mann,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,1.5,USD,,,9781620150870,,,2.99,,,,,,1.5,Memoirs Aren't Fairytales (Young Adult Edition),Marni Mann,Booktrope Editions,
Oyster,9/1/15,9/30/15,10,15,USD,,,9781620152546,,,2.99,,,,,,15,Just Friends with Benefits,Meredith Schorr,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,4.98,USD,,,9781620150955,,,9.95,,,,,,4.98,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,Booktrope Editions,
Oyster,9/1/15,9/30/15,5,10,USD,,,9781620152690,,,3.99,,,,,,10,The Dark Light of Day,T.M. Frazier,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,2.5,USD,,,9781620150016,,,4.99,,,,,,2.5,Invisible Ink,Brian McDonald,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,1.5,USD,,,9781620150498,,,2.99,,,,,,1.5,Phobia,Daniel Lance Wright,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,1.5,USD,,,9781620150443,,,2.99,,,,,,1.5,"Don Juan in Hankey, PA",Gale Martin,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,1.5,USD,,,9781620150313,,,2.99,,,,,,1.5,Suddenly a Spy,Heather Huffman,Booktrope Editions,
Oyster,9/1/15,9/30/15,6,3,USD,,,9781620150467,,,0.99,,,,,,3,Tumbleweed,Heather Huffman,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,2,USD,,,9781620150948,,,3.99,,,,,,2,Scars from a Memoir (Young Adult Edition),Marni Mann,Booktrope Editions,
Oyster,9/1/15,9/30/15,1,2.5,USD,,,9781620150306,,,4.99,,,,,,2.5,The Essential Stay at Home Mom Manual: How to Have a Wondrous Life Amidst Kids and Chaos,Shannon HylandTassava,Booktrope Editions,
Oyster,9/1/15,9/30/15,2,7,USD,,,9781620153628,,,6.99,,,,,,7,Memoirs Collection,Marni Mann,Booktrope Editions,
